Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,Mask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature,day
1,0,94.5403,0,460,1105,2857,4205,651,11.5,200,0,1,102.6273,0,2,02-Dec-2015 08:29:51,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
2,1,112.9055,0,460,1105,2857,4205,651,11.5,200,0,1,119.5922,0,2,02-Dec-2015 08:30:09,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
3,1,127.764,0,460,1105,2857,4205,651,11.5,200,0,1,129.1702,0,2,02-Dec-2015 08:30:24,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
4,1,136.3822,0,460,1105,2857,4205,651,11.5,200,0,0,138.102,1,2,02-Dec-2015 08:30:33,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
5,0,142.123,0,460,1105,2857,4205,1001,8.5,200,0,0,143.3952,1,2,02-Dec-2015 08:30:38,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
6,0,148.8984,1,460,1105,2857,4205,751,5.5,200,0,0,155.0333,1,2,02-Dec-2015 08:30:45,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
7,0,159.8034,0,730,2058,2857,4205,801,-3.5,200,1,1,161.415,1,2,02-Dec-2015 08:30:56,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
8,0,166.1851,0,460,1105,2857,4205,501,2.5,200,0,0,167.8439,1,2,02-Dec-2015 08:31:02,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
9,0,172.9379,0,460,1105,2857,4205,851,14.5,200,0,1,174.2517,0,2,02-Dec-2015 08:31:09,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
10,1,180.2906,0,460,1105,2857,4205,851,14.5,200,0,1,181.8209,0,2,02-Dec-2015 08:31:17,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
11,1,189.9204,0,460,1105,2857,4205,851,14.5,200,0,0,190.9273,1,2,02-Dec-2015 08:31:26,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
12,0,196.8098,0,730,2058,2857,4205,951,11.5,200,1,0,198.4812,0,2,02-Dec-2015 08:31:33,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
13,1,205.1848,0,730,2058,2857,4205,951,11.5,200,1,1,208.0326,1,2,02-Dec-2015 08:31:41,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
14,0,216.1987,0,730,2058,2857,4205,701,5.5,200,1,1,217.8721,1,2,02-Dec-2015 08:31:52,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
15,0,227.38,1,460,1105,2857,4205,901,-0.5,200,0,0,232.1887,1,2,02-Dec-2015 08:32:04,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
16,0,236.8803,0,730,2058,2857,4205,551,-0.5,200,1,1,240.051,1,2,02-Dec-2015 08:32:13,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
17,0,248.6139,1,730,2058,2857,4205,551,2.5,200,1,0,254.9092,0,2,02-Dec-2015 08:32:25,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
18,1,261.9651,0,730,2058,2857,4205,551,2.5,200,1,0,263.7092,0,2,02-Dec-2015 08:32:38,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
19,1,269.6795,0,730,2058,2857,4205,551,2.5,200,1,1,271.7181,1,2,02-Dec-2015 08:32:46,02_12_2015 level21_continuous_Robin 08_28_16.745 log.txt,37,37,736300
