Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,noiseAtten,opto,laserOnset,laserOffset,Mask,sessionDate
1,0,5.61,0,730,2058,2857,4205,901,-3.3,200,1,8,6.681,0,10,0,-150,100,1,2021-03-10 17:56:00
2,1,10.62,0,730,2058,2857,4205,901,-3.3,200,1,8,11.436,0,10,0,-150,100,1,2021-03-10 17:56:00
3,1,19.148,0,730,2058,2857,4205,901,-3.3,200,1,8,20.196,0,10,0,-150,100,1,2021-03-10 17:56:00
4,1,27.387,0,730,2058,2857,4205,901,-3.3,200,1,2,29.0,1,10,0,-150,100,1,2021-03-10 17:56:00
5,0,46.258,0,460,1105,2857,4205,1001,0.0,200,0,8,47.009,1,10,1,-150,100,1,2021-03-10 17:56:00
6,0,57.193,0,730,2058,2857,4205,801,-10.0,200,1,2,57.891,1,10,1,-150,100,1,2021-03-10 17:56:00
7,0,65.574,0,460,1105,2857,4205,701,10.0,200,0,8,66.189,1,10,0,-150,100,1,2021-03-10 17:56:00
8,0,78.578,0,730,2058,2857,4205,601,6.7,200,1,2,79.569,1,10,0,-150,100,1,2021-03-10 17:56:00
9,0,88.594,0,460,1105,2857,4205,601,3.3,200,0,8,89.143,1,10,0,-150,100,1,2021-03-10 17:56:00
10,0,98.896,0,730,2058,2857,4205,501,10.0,200,1,2,99.586,1,10,1,-150,100,1,2021-03-10 17:56:00
11,0,110.658,0,460,1105,2857,4205,1001,0.0,200,0,8,111.486,1,10,1,-150,100,1,2021-03-10 17:56:00
12,0,122.265,0,730,2058,2857,4205,701,3.3,200,1,8,122.878,0,10,0,-150,100,1,2021-03-10 17:56:00
13,1,129.316,0,730,2058,2857,4205,701,3.3,200,1,8,130.186,0,10,0,-150,100,1,2021-03-10 17:56:00
14,1,133.914,0,730,2058,2857,4205,701,3.3,200,1,8,134.714,0,10,0,-150,100,1,2021-03-10 17:56:00
15,1,138.511,0,730,2058,2857,4205,701,3.3,200,1,8,139.168,0,10,0,-150,100,1,2021-03-10 17:56:00
16,1,142.95,0,730,2058,2857,4205,701,3.3,200,1,2,143.88,1,10,0,-150,100,1,2021-03-10 17:56:00
17,0,158.315,0,460,1105,2857,4205,801,-6.7,200,0,8,158.975,1,10,0,-150,100,1,2021-03-10 17:56:00
18,0,170.837,0,730,2058,2857,4205,501,6.7,200,1,2,171.573,1,10,0,-150,100,1,2021-03-10 17:56:00
19,0,192.663,0,460,1105,2857,4205,801,-10.0,200,0,2,193.183,0,10,0,-150,100,1,2021-03-10 17:56:00
20,1,197.012,0,460,1105,2857,4205,801,-10.0,200,0,8,197.58,1,10,0,-150,100,1,2021-03-10 17:56:00
21,0,210.094,0,460,1105,2857,4205,601,-6.7,200,0,8,210.855,1,10,1,-150,100,1,2021-03-10 17:56:00
22,0,223.478,0,460,1105,2857,4205,901,10.0,200,0,2,224.24,0,10,1,-150,100,1,2021-03-10 17:56:00
