Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,SpatialCondition,VowelLocation
1,5.4249,0,460,1105,2857,4205,651,10.0,200,0,0,9.6501,1,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
2,15.2161,0,460,1105,2857,4205,701,10.0,200,0,1,16.3344,0,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
6,71.1764,0,460,1105,2857,4205,901,10.0,200,0,0,71.8206,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
7,77.2989,1,730,2058,2857,4205,601,10.0,200,1,1,79.0783,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
8,89.0657,0,730,2058,2857,4205,851,10.0,200,1,0,90.0143,0,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
11,124.005,0,730,2058,2857,4205,951,10.0,200,1,0,124.9325,0,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
13,147.9873,0,460,1105,2857,4205,1001,10.0,200,0,0,149.7252,1,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
14,155.3924,0,730,2058,2857,4205,501,10.0,200,1,0,156.0199,0,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
16,167.1079,0,460,1105,2857,4205,551,10.0,200,0,0,167.9658,1,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
17,173.0851,0,730,2058,2857,4205,801,10.0,200,1,0,173.4595,0,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
20,204.5157,0,460,1105,2857,4205,651,10.0,200,0,0,204.9757,1,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
21,210.3109,0,730,2058,2857,4205,801,10.0,200,1,1,211.0988,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
22,225.4608,0,730,2058,2857,4205,551,10.0,200,1,0,226.2999,0,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
24,240.9485,0,730,2058,2857,4205,951,10.0,200,1,1,241.7505,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
25,253.6862,1,730,2058,2857,4205,701,10.0,200,1,1,254.9576,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
26,268.5648,1,460,1105,2857,4205,601,10.0,200,0,0,269.1717,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
27,277.8369,1,730,2058,2857,4205,901,10.0,200,1,0,279.5832,0,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
29,296.6257,0,730,2058,2857,4205,1001,10.0,200,1,0,297.2343,0,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
32,327.5523,0,460,1105,2857,4205,501,10.0,200,0,0,328.0324,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
33,337.6059,0,730,2058,2857,4205,751,10.0,200,1,0,339.9839,0,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
35,359.0532,0,460,1105,2857,4205,901,10.0,200,0,0,359.5671,1,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
36,365.4799,0,460,1105,2857,4205,601,10.0,200,0,0,366.6869,1,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
37,372.0292,0,460,1105,2857,4205,751,10.0,200,0,0,372.7425,1,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
38,377.8456,0,730,2058,2857,4205,551,10.0,200,1,0,378.9781,0,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
40,403.4603,0,730,2058,2857,4205,801,10.0,200,1,0,405.6574,0,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
42,422.6531,0,730,2058,2857,4205,651,10.0,200,1,0,423.1844,0,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
45,449.5324,0,730,2058,2857,4205,501,10.0,200,1,0,450.7483,0,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
47,472.3156,0,730,2058,2857,4205,1001,10.0,200,1,1,474.4765,1,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
48,486.0058,0,460,1105,2857,4205,701,10.0,200,0,0,486.412,1,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
49,495.9841,0,460,1105,2857,4205,951,10.0,200,0,0,496.3731,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
50,507.8397,0,730,2058,2857,4205,951,10.0,200,1,0,508.6971,0,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
52,531.4007,0,460,1105,2857,4205,751,10.0,200,0,0,531.8755,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
53,537.1861,0,460,1105,2857,4205,601,10.0,200,0,0,538.2505,1,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
54,543.6114,0,460,1105,2857,4205,551,10.0,200,0,0,544.0671,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
55,550.1572,0,460,1105,2857,4205,851,10.0,200,0,0,550.7882,1,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
56,556.6806,0,460,1105,2857,4205,1001,10.0,200,0,0,557.3564,1,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
57,563.4273,0,460,1105,2857,4205,901,10.0,200,0,0,563.938,1,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
58,571.4658,0,730,2058,2857,4205,651,10.0,200,1,1,572.9176,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
59,583.4824,1,730,2058,2857,4205,501,10.0,200,1,0,584.3375,0,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
61,609.9026,0,460,1105,2857,4205,801,10.0,200,0,0,610.3333,1,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
62,618.8332,0,460,1105,2857,4205,601,10.0,200,0,0,619.5388,1,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
