Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,SpatialCondition,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,VowelLocation
1,12.287,0,437,2761,2975,4263,576,-11.0,200,0,0,12.9087,1,5,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,68.0,1.0,2014-11-27,False,right
2,20.3939,0,936,1551,2975,4263,626,-11.0,200,1,0,20.7317,0,1,colocated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,68.0,1.0,2014-11-27,False,right
5,42.0879,0,437,2761,2975,4263,501,-10.0,200,0,0,42.7145,1,5,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,67.0,0.0,2014-11-27,False,right
6,47.0409,0,936,1551,2975,4263,726,-12.0,200,1,0,47.4917,0,2,separated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,69.0,2.0,2014-11-27,False,left
10,84.7535,0,936,1551,2975,4263,526,-12.0,200,1,1,85.3159,1,1,colocated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,69.0,2.0,2014-11-27,False,right
11,91.0703,0,936,1551,2975,4263,701,-12.0,200,1,1,91.8121,1,4,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,69.0,2.0,2014-11-27,False,left
12,101.7852,0,437,2761,2975,4263,601,-10.0,200,0,0,102.55,1,3,separated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,67.0,0.0,2014-11-27,False,right
13,112.7718,0,437,2761,2975,4263,751,-11.0,200,0,0,113.4605,1,4,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,68.0,1.0,2014-11-27,False,left
14,118.002,0,936,1551,2975,4263,651,-15.0,200,1,1,118.5504,1,4,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,72.0,5.0,2014-11-27,False,left
15,124.2897,1,437,2761,2975,4263,676,-12.0,200,0,0,124.7889,1,4,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,69.0,2.0,2014-11-27,False,left
16,129.9123,0,437,2761,2975,4263,726,-15.0,200,0,0,130.1716,1,3,separated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,72.0,5.0,2014-11-27,False,right
17,134.8299,0,936,1551,2975,4263,751,-15.0,200,1,1,135.3295,1,3,separated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,72.0,5.0,2014-11-27,False,right
18,140.5874,0,437,2761,2975,4263,601,-14.0,200,0,0,141.5767,1,3,separated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,71.0,4.0,2014-11-27,False,right
19,147.1293,0,437,2761,2975,4263,651,-15.0,200,0,0,147.5257,1,4,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,72.0,5.0,2014-11-27,False,left
20,152.0834,0,936,1551,2975,4263,526,-10.0,200,1,1,152.5542,1,4,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,67.0,0.0,2014-11-27,False,left
21,158.7088,0,936,1551,2975,4263,701,-10.0,200,1,0,159.0599,0,0,colocated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,67.0,0.0,2014-11-27,False,left
23,172.7781,0,437,2761,2975,4263,501,-14.0,200,0,0,173.2685,1,4,single_speaker,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,71.0,4.0,2014-11-27,False,left
24,178.0394,0,437,2761,2975,4263,626,-14.0,200,0,0,178.3884,1,1,colocated,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37,1216,71.0,4.0,2014-11-27,False,right
