Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature,fNum,day,meanTemp,treatment,vowel_level,SNR,SpatialCondition,VowelLocation
2,12.4947,1,460,1105,2857,4205,508,2.5,200,0,1,17.768,0,1,736350.350089383,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,right
4,37.378,0,460,1105,2857,4205,507,-9.5,200,0,0,38.7512,1,0,736350.350377384,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,colocated,left
15,131.5758,0,730,2058,2857,4205,509,-3.5,200,1,1,137.0217,1,0,736350.351467637,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,60.5,-6.5,colocated,left
19,164.8371,0,730,2058,2857,4205,509,2.5,200,1,1,166.5428,1,1,736350.351852605,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,right
20,171.1025,1,460,1105,2857,4205,508,-9.5,200,0,1,174.9826,0,1,736350.351925122,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,colocated,right
28,239.0597,1,730,2058,2857,4205,511,-9.5,200,1,1,244.2146,1,1,736350.352711663,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,colocated,right
33,280.4023,1,460,1105,2857,4205,510,-0.5,200,0,1,283.7482,0,1,736350.353190165,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,colocated,right
43,367.1937,0,460,1105,2857,4205,506,-12.5,200,0,1,369.4726,0,1,736350.354194696,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,colocated,right
45,382.4891,1,460,1105,2857,4205,502,-12.5,200,0,1,385.9608,0,0,736350.354371726,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,colocated,left
51,431.7619,1,460,1105,2857,4205,504,2.5,200,0,1,435.6346,0,0,736350.354942013,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,left
53,452.8234,1,730,2058,2857,4205,506,-12.5,200,1,1,456.6165,1,1,736350.35518578,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,colocated,right
56,480.4076,1,460,1105,2857,4205,507,-0.5,200,0,1,484.3739,0,0,736350.355505042,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,colocated,left
60,511.5522,1,460,1105,2857,4205,501,-6.5,200,0,1,515.8089,0,0,736350.355865512,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,63.5,-3.5,colocated,left
71,605.9045,1,730,2058,2857,4205,502,2.5,200,1,1,609.4665,1,0,736350.356957552,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,left
22,1378.1769,0,730,2058,2857,4205,502,-3.5,200,1,0,1379.4812,0,1,736350.700751191,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,18.0,18.0,1509,2016-01-21,18.0,True,60.5,-6.5,colocated,right
27,1421.4365,0,460,1105,2857,4205,507,-0.5,200,0,0,1422.8149,1,0,736350.701251881,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,17.0,17.0,1509,2016-01-21,17.0,True,57.5,-9.5,colocated,left
31,1448.2366,0,460,1105,2857,4205,508,-3.5,200,0,1,1449.5803,0,0,736350.701562067,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,16.0,16.0,1509,2016-01-21,16.0,True,60.5,-6.5,colocated,left
35,1497.1301,1,460,1105,2857,4205,509,2.5,200,0,0,1501.8467,1,0,736350.702127964,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,15.0,15.0,1509,2016-01-21,15.0,True,54.5,-12.5,colocated,left
40,1538.5233,1,730,2058,2857,4205,503,-6.5,200,1,0,1542.7451,0,0,736350.702607052,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,14.0,14.0,1509,2016-01-21,14.0,True,63.5,-3.5,colocated,left
43,1568.2064,0,730,2058,2857,4205,510,-0.5,200,1,1,1573.0083,1,1,736350.702950606,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,14.0,14.0,1509,2016-01-21,14.0,True,57.5,-9.5,colocated,right
44,1584.1067,1,730,2058,2857,4205,502,-0.5,200,1,0,1589.3404,0,0,736350.703134638,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,14.0,14.0,1509,2016-01-21,14.0,True,57.5,-9.5,colocated,left
