Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,SpatialCondition,VowelLocation
80,668.6321,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,0.0,670.3649,1.0,0.0,27_11_2014 level23_spatial_F+V 10_50 Block7-31.txt,37,37,1201,47.0,-20.0,2014-11-27,False,colocated,left
144,1554.4939,0,460,1105.0,2857.0,4205.0,701.0,10.0,200.0,0.0,0.0,1555.9564,1.0,0.0,22_05_2015 level23_spatial_F+V 10_27 Block10-54.txt,37,37,1201,47.0,-20.0,2015-05-22,False,colocated,left
27,345.3263,0,460,1105.0,2857.0,4205.0,801.0,10.0,200.0,0.0,0.0,346.9077,1.0,0.0,12_08_2014 level23_spatial_F+V 10_04 Block6-61.txt,37,37,1201,47.0,-20.0,2014-08-12,False,colocated,left
45,445.6385,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,1.0,446.5347,0.0,0.0,30_04_2015 level23_spatial_F+V 08_58 Block10-18.txt,37,37,1201,47.0,-20.0,2015-04-30,False,colocated,left
60,657.3866,0,460,1105.0,2857.0,4205.0,601.0,10.0,200.0,0.0,0.0,659.0942,1.0,0.0,01_04_2015 level23_spatial_F+V 14_35 Block9-7.txt,37,37,1201,47.0,-20.0,2015-04-01,False,colocated,left
97,817.6436,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,0.0,819.1492,1.0,0.0,12_01_2015 level23_spatial_F+V 09_32 Block7-74.txt,37,37,1201,47.0,-20.0,2015-01-12,False,colocated,left
13,209.9321,0,460,1105.0,2857.0,4205.0,901.0,10.0,200.0,0.0,1.0,211.7405,0.0,0.0,22_05_2015 level23_spatial_F+V 10_27 Block10-54.txt,37,37,1201,47.0,-20.0,2015-05-22,False,colocated,left
4,28.6155,1,460,1105.0,2857.0,4205.0,551.0,10.0,200.0,0.0,0.0,29.4781,1.0,0.0,21_05_2015 level23_spatial_F+V 10_00 Block10-51.txt,37,37,1201,47.0,-20.0,2015-05-21,False,colocated,left
115,1455.7107,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,1.0,1459.3597,0.0,0.0,14_10_2014 level23_spatial_F+V 10_43 Block7-3.txt,37,37,1201,47.0,-20.0,2014-10-14,False,colocated,left
8,85.1342,1,460,1105.0,2857.0,4205.0,501.0,10.0,200.0,0.0,0.0,86.503,1.0,0.0,09_01_2015 level23_spatial_F+V 09_25 Block7-70.txt,37,37,1201,47.0,-20.0,2015-01-09,False,colocated,left
150,1618.0485,0,460,1105.0,2857.0,4205.0,901.0,10.0,200.0,0.0,0.0,1619.0534,1.0,0.0,01_05_2015 level23_spatial_F+V 10_23 Block10-20.txt,37,37,1201,47.0,-20.0,2015-05-01,False,colocated,left
148,1585.6357,0,460,1105.0,2857.0,4205.0,1001.0,10.0,200.0,0.0,0.0,1587.1743,1.0,0.0,01_05_2015 level23_spatial_F+V 10_23 Block10-20.txt,37,37,1201,47.0,-20.0,2015-05-01,False,colocated,left
