SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
colocated,False,1248,858,68.75,0
separated,False,1248,887,71.07371794871796,0
single_speaker,False,936,801,85.57692307692307,0
colocated,False,1248,864,69.23076923076923,1
separated,False,1248,895,71.71474358974359,1
single_speaker,False,936,766,81.83760683760684,1
colocated,False,1248,866,69.39102564102564,2
separated,False,1248,910,72.91666666666666,2
single_speaker,False,936,779,83.22649572649573,2
colocated,False,1248,889,71.23397435897436,3
separated,False,1248,882,70.67307692307693,3
single_speaker,False,936,795,84.93589743589743,3
colocated,False,1248,860,68.91025641025641,4
separated,False,1248,896,71.7948717948718,4
single_speaker,False,936,778,83.11965811965813,4
colocated,False,1248,870,69.71153846153845,5
separated,False,1248,894,71.63461538461539,5
single_speaker,False,936,781,83.44017094017094,5
colocated,False,1248,860,68.91025641025641,6
separated,False,1248,916,73.3974358974359,6
single_speaker,False,936,790,84.4017094017094,6
colocated,False,1248,860,68.91025641025641,7
separated,False,1248,887,71.07371794871796,7
single_speaker,False,936,783,83.65384615384616,7
colocated,False,1248,881,70.59294871794873,8
separated,False,1248,895,71.71474358974359,8
single_speaker,False,936,770,82.26495726495726,8
colocated,False,1248,888,71.15384615384616,9
separated,False,1248,866,69.39102564102564,9
single_speaker,False,936,779,83.22649572649573,9
colocated,False,1248,859,68.8301282051282,10
separated,False,1248,879,70.4326923076923,10
single_speaker,False,936,773,82.58547008547008,10
colocated,False,1248,884,70.83333333333334,11
separated,False,1248,910,72.91666666666666,11
single_speaker,False,936,787,84.08119658119658,11
colocated,False,1248,869,69.63141025641025,12
separated,False,1248,880,70.51282051282051,12
single_speaker,False,936,793,84.72222222222221,12
colocated,False,1248,891,71.39423076923077,13
separated,False,1248,882,70.67307692307693,13
single_speaker,False,936,782,83.54700854700855,13
colocated,False,1248,875,70.11217948717949,14
separated,False,1248,916,73.3974358974359,14
single_speaker,False,936,767,81.94444444444444,14
colocated,False,1248,869,69.63141025641025,15
separated,False,1248,877,70.2724358974359,15
single_speaker,False,936,781,83.44017094017094,15
colocated,False,1248,867,69.47115384615384,16
separated,False,1248,894,71.63461538461539,16
single_speaker,False,936,800,85.47008547008546,16
colocated,False,1248,888,71.15384615384616,17
separated,False,1248,903,72.35576923076923,17
single_speaker,False,936,774,82.6923076923077,17
colocated,False,1248,870,69.71153846153845,18
separated,False,1248,900,72.11538461538461,18
single_speaker,False,936,774,82.6923076923077,18
colocated,False,1248,881,70.59294871794873,19
separated,False,1248,889,71.23397435897436,19
single_speaker,False,936,783,83.65384615384616,19
colocated,False,1248,850,68.10897435897436,20
