SpatialCondition,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
colocated,False,-20.0,364,219,60.16483516483516,0
colocated,False,-10.0,364,271,74.45054945054946,0
colocated,False,-5.0,364,240,65.93406593406593,0
separated,False,-20.0,364,214,58.791208791208796,0
separated,False,-10.0,364,277,76.0989010989011,0
separated,False,-5.0,364,257,70.6043956043956,0
single_speaker,False,-20.0,364,279,76.64835164835165,0
single_speaker,False,-10.0,364,328,90.10989010989012,0
single_speaker,False,-5.0,364,310,85.16483516483517,0
colocated,False,-20.0,364,224,61.53846153846154,1
colocated,False,-10.0,364,285,78.2967032967033,1
colocated,False,-5.0,364,240,65.93406593406593,1
separated,False,-20.0,364,228,62.637362637362635,1
separated,False,-10.0,364,266,73.07692307692307,1
separated,False,-5.0,364,268,73.62637362637363,1
single_speaker,False,-20.0,364,262,71.97802197802197,1
single_speaker,False,-10.0,364,324,89.01098901098901,1
single_speaker,False,-5.0,364,330,90.65934065934066,1
colocated,False,-20.0,364,222,60.98901098901099,2
colocated,False,-10.0,364,275,75.54945054945054,2
colocated,False,-5.0,364,232,63.73626373626373,2
separated,False,-20.0,364,214,58.791208791208796,2
separated,False,-10.0,364,275,75.54945054945054,2
separated,False,-5.0,364,259,71.15384615384616,2
single_speaker,False,-20.0,364,270,74.17582417582418,2
single_speaker,False,-10.0,364,326,89.56043956043956,2
single_speaker,False,-5.0,364,313,85.98901098901099,2
colocated,False,-20.0,364,216,59.34065934065934,3
colocated,False,-10.0,364,272,74.72527472527473,3
colocated,False,-5.0,364,234,64.28571428571429,3
separated,False,-20.0,364,225,61.81318681318682,3
separated,False,-10.0,364,274,75.27472527472527,3
separated,False,-5.0,364,279,76.64835164835165,3
single_speaker,False,-20.0,364,269,73.9010989010989,3
single_speaker,False,-10.0,364,321,88.18681318681318,3
single_speaker,False,-5.0,364,314,86.26373626373626,3
colocated,False,-20.0,364,233,64.01098901098901,4
colocated,False,-10.0,364,278,76.37362637362637,4
colocated,False,-5.0,364,244,67.03296703296702,4
separated,False,-20.0,364,214,58.791208791208796,4
separated,False,-10.0,364,264,72.52747252747253,4
separated,False,-5.0,364,262,71.97802197802197,4
single_speaker,False,-20.0,364,274,75.27472527472527,4
single_speaker,False,-10.0,364,317,87.08791208791209,4
single_speaker,False,-5.0,364,323,88.73626373626374,4
colocated,False,-20.0,364,231,63.46153846153846,5
colocated,False,-10.0,364,292,80.21978021978022,5
colocated,False,-5.0,364,236,64.83516483516483,5
separated,False,-20.0,364,228,62.637362637362635,5
separated,False,-10.0,364,277,76.0989010989011,5
separated,False,-5.0,364,265,72.8021978021978,5
single_speaker,False,-20.0,364,274,75.27472527472527,5
single_speaker,False,-10.0,364,325,89.28571428571429,5
single_speaker,False,-5.0,364,305,83.79120879120879,5
colocated,False,-20.0,364,229,62.91208791208791,6
colocated,False,-10.0,364,280,76.92307692307693,6
colocated,False,-5.0,364,238,65.38461538461539,6
separated,False,-20.0,364,220,60.43956043956044,6
separated,False,-10.0,364,281,77.1978021978022,6
separated,False,-5.0,364,254,69.78021978021978,6
single_speaker,False,-20.0,364,275,75.54945054945054,6
single_speaker,False,-10.0,364,320,87.91208791208791,6
single_speaker,False,-5.0,364,314,86.26373626373626,6
colocated,False,-20.0,364,223,61.26373626373627,7
colocated,False,-10.0,364,292,80.21978021978022,7
colocated,False,-5.0,364,233,64.01098901098901,7
separated,False,-20.0,364,216,59.34065934065934,7
separated,False,-10.0,364,266,73.07692307692307,7
separated,False,-5.0,364,261,71.7032967032967,7
single_speaker,False,-20.0,364,272,74.72527472527473,7
single_speaker,False,-10.0,364,322,88.46153846153845,7
single_speaker,False,-5.0,364,314,86.26373626373626,7
colocated,False,-20.0,364,223,61.26373626373627,8
colocated,False,-10.0,364,277,76.0989010989011,8
colocated,False,-5.0,364,243,66.75824175824175,8
separated,False,-20.0,364,224,61.53846153846154,8
separated,False,-10.0,364,259,71.15384615384616,8
separated,False,-5.0,364,275,75.54945054945054,8
single_speaker,False,-20.0,364,274,75.27472527472527,8
single_speaker,False,-10.0,364,315,86.53846153846155,8
single_speaker,False,-5.0,364,319,87.63736263736264,8
colocated,False,-20.0,364,225,61.81318681318682,9
colocated,False,-10.0,364,279,76.64835164835165,9
colocated,False,-5.0,364,229,62.91208791208791,9
separated,False,-20.0,364,238,65.38461538461539,9
separated,False,-10.0,364,282,77.47252747252747,9
separated,False,-5.0,364,265,72.8021978021978,9
single_speaker,False,-20.0,364,270,74.17582417582418,9
single_speaker,False,-10.0,364,339,93.13186813186813,9
single_speaker,False,-5.0,364,318,87.36263736263736,9
colocated,False,-20.0,364,228,62.637362637362635,10
colocated,False,-10.0,364,279,76.64835164835165,10
colocated,False,-5.0,364,247,67.85714285714286,10
separated,False,-20.0,364,216,59.34065934065934,10
separated,False,-10.0,364,272,74.72527472527473,10
separated,False,-5.0,364,261,71.7032967032967,10
single_speaker,False,-20.0,364,274,75.27472527472527,10
single_speaker,False,-10.0,364,329,90.38461538461539,10
single_speaker,False,-5.0,364,315,86.53846153846155,10
colocated,False,-20.0,364,210,57.692307692307686,11
colocated,False,-10.0,364,280,76.92307692307693,11
colocated,False,-5.0,364,254,69.78021978021978,11
separated,False,-20.0,364,231,63.46153846153846,11
separated,False,-10.0,364,274,75.27472527472527,11
separated,False,-5.0,364,274,75.27472527472527,11
single_speaker,False,-20.0,364,278,76.37362637362637,11
single_speaker,False,-10.0,364,328,90.10989010989012,11
single_speaker,False,-5.0,364,315,86.53846153846155,11
colocated,False,-20.0,364,220,60.43956043956044,12
colocated,False,-10.0,364,290,79.67032967032966,12
colocated,False,-5.0,364,234,64.28571428571429,12
separated,False,-20.0,364,228,62.637362637362635,12
separated,False,-10.0,364,277,76.0989010989011,12
separated,False,-5.0,364,260,71.42857142857143,12
single_speaker,False,-20.0,364,280,76.92307692307693,12
single_speaker,False,-10.0,364,329,90.38461538461539,12
single_speaker,False,-5.0,364,312,85.71428571428571,12
colocated,False,-20.0,364,209,57.417582417582416,13
colocated,False,-10.0,364,270,74.17582417582418,13
colocated,False,-5.0,364,244,67.03296703296702,13
separated,False,-20.0,364,215,59.065934065934066,13
separated,False,-10.0,364,269,73.9010989010989,13
separated,False,-5.0,364,270,74.17582417582418,13
single_speaker,False,-20.0,364,267,73.35164835164835,13
single_speaker,False,-10.0,364,322,88.46153846153845,13
single_speaker,False,-5.0,364,317,87.08791208791209,13
colocated,False,-20.0,364,212,58.24175824175825,14
colocated,False,-10.0,364,278,76.37362637362637,14
colocated,False,-5.0,364,236,64.83516483516483,14
separated,False,-20.0,364,227,62.362637362637365,14
separated,False,-10.0,364,282,77.47252747252747,14
separated,False,-5.0,364,275,75.54945054945054,14
single_speaker,False,-20.0,364,263,72.25274725274726,14
single_speaker,False,-10.0,364,328,90.10989010989012,14
single_speaker,False,-5.0,364,300,82.41758241758241,14
colocated,False,-20.0,364,212,58.24175824175825,15
colocated,False,-10.0,364,275,75.54945054945054,15
colocated,False,-5.0,364,236,64.83516483516483,15
separated,False,-20.0,364,229,62.91208791208791,15
separated,False,-10.0,364,277,76.0989010989011,15
separated,False,-5.0,364,274,75.27472527472527,15
single_speaker,False,-20.0,364,269,73.9010989010989,15
single_speaker,False,-10.0,364,322,88.46153846153845,15
single_speaker,False,-5.0,364,317,87.08791208791209,15
colocated,False,-20.0,364,210,57.692307692307686,16
colocated,False,-10.0,364,273,75.0,16
colocated,False,-5.0,364,216,59.34065934065934,16
separated,False,-20.0,364,221,60.71428571428571,16
separated,False,-10.0,364,263,72.25274725274726,16
separated,False,-5.0,364,262,71.97802197802197,16
single_speaker,False,-20.0,364,260,71.42857142857143,16
single_speaker,False,-10.0,364,336,92.3076923076923,16
single_speaker,False,-5.0,364,317,87.08791208791209,16
colocated,False,-20.0,364,215,59.065934065934066,17
colocated,False,-10.0,364,275,75.54945054945054,17
colocated,False,-5.0,364,237,65.10989010989012,17
separated,False,-20.0,364,220,60.43956043956044,17
separated,False,-10.0,364,276,75.82417582417582,17
separated,False,-5.0,364,260,71.42857142857143,17
single_speaker,False,-20.0,364,277,76.0989010989011,17
single_speaker,False,-10.0,364,328,90.10989010989012,17
single_speaker,False,-5.0,364,316,86.81318681318682,17
colocated,False,-20.0,364,218,59.89010989010989,18
colocated,False,-10.0,364,282,77.47252747252747,18
colocated,False,-5.0,364,253,69.5054945054945,18
separated,False,-20.0,364,203,55.769230769230774,18
separated,False,-10.0,364,279,76.64835164835165,18
separated,False,-5.0,364,254,69.78021978021978,18
single_speaker,False,-20.0,364,289,79.3956043956044,18
single_speaker,False,-10.0,364,317,87.08791208791209,18
single_speaker,False,-5.0,364,318,87.36263736263736,18
colocated,False,-20.0,364,219,60.16483516483516,19
colocated,False,-10.0,364,287,78.84615384615384,19
colocated,False,-5.0,364,232,63.73626373626373,19
separated,False,-20.0,364,225,61.81318681318682,19
separated,False,-10.0,364,277,76.0989010989011,19
separated,False,-5.0,364,258,70.87912087912088,19
single_speaker,False,-20.0,364,280,76.92307692307693,19
single_speaker,False,-10.0,364,329,90.38461538461539,19
single_speaker,False,-5.0,364,319,87.63736263736264,19
colocated,False,-20.0,364,209,57.417582417582416,20
colocated,False,-10.0,364,277,76.0989010989011,20
colocated,False,-5.0,364,252,69.23076923076923,20
separated,False,-20.0,364,221,60.71428571428571,20
separated,False,-10.0,364,265,72.8021978021978,20
separated,False,-5.0,364,263,72.25274725274726,20
single_speaker,False,-20.0,364,262,71.97802197802197,20
single_speaker,False,-10.0,364,316,86.81318681318682,20
single_speaker,False,-5.0,364,315,86.53846153846155,20
colocated,False,-20.0,364,222,60.98901098901099,21
colocated,False,-10.0,364,284,78.02197802197803,21
colocated,False,-5.0,364,243,66.75824175824175,21
separated,False,-20.0,364,235,64.56043956043956,21
separated,False,-10.0,364,271,74.45054945054946,21
separated,False,-5.0,364,257,70.6043956043956,21
single_speaker,False,-20.0,364,266,73.07692307692307,21
single_speaker,False,-10.0,364,329,90.38461538461539,21
single_speaker,False,-5.0,364,314,86.26373626373626,21
colocated,False,-20.0,364,232,63.73626373626373,22
colocated,False,-10.0,364,277,76.0989010989011,22
colocated,False,-5.0,364,236,64.83516483516483,22
separated,False,-20.0,364,237,65.10989010989012,22
separated,False,-10.0,364,278,76.37362637362637,22
separated,False,-5.0,364,277,76.0989010989011,22
single_speaker,False,-20.0,364,274,75.27472527472527,22
single_speaker,False,-10.0,364,326,89.56043956043956,22
single_speaker,False,-5.0,364,303,83.24175824175825,22
colocated,False,-20.0,364,214,58.791208791208796,23
colocated,False,-10.0,364,293,80.4945054945055,23
colocated,False,-5.0,364,247,67.85714285714286,23
separated,False,-20.0,364,229,62.91208791208791,23
separated,False,-10.0,364,278,76.37362637362637,23
separated,False,-5.0,364,267,73.35164835164835,23
single_speaker,False,-20.0,364,275,75.54945054945054,23
single_speaker,False,-10.0,364,320,87.91208791208791,23
single_speaker,False,-5.0,364,336,92.3076923076923,23
colocated,False,-20.0,364,218,59.89010989010989,24
colocated,False,-10.0,364,286,78.57142857142857,24
colocated,False,-5.0,364,238,65.38461538461539,24
separated,False,-20.0,364,227,62.362637362637365,24
separated,False,-10.0,364,263,72.25274725274726,24
