Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,SpatialCondition,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,VowelLocation
48,250.078,0,437,2761,2975,4263,506,-6.0,200,0,0,251.2367,1,0,colocated,08_07_2014 level23_spatial_Mini 17_43 log.txt,37,37,1216,63.0,-4.0,2014-07-08,False,left
44,1119.5809,0,437,2761,2975,4263,510,-6.0,200,0,0,1121.5944,1,0,colocated,25_04_2014 level23_spatial_Mini 10_51 log.txt,37,37,1216,63.0,-4.0,2014-04-25,False,left
48,282.5879,0,437,2761,2975,4263,504,-6.0,200,0,1,283.5942,0,0,colocated,14_03_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,left
44,1119.5809,0,437,2761,2975,4263,510,-6.0,200,0,0,1121.5944,1,0,colocated,25_04_2014 level23_spatial_Mini 10_51 log.txt,37,37,1216,63.0,-4.0,2014-04-25,False,left
98,1023.35,0,437,2761,2975,4263,508,-6.0,200,0,1,1024.3827,0,0,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,left
113,549.648,0,437,2761,2975,4263,504,-6.0,200,0,1,550.4182,0,0,colocated,13_03_2014 level23_spatial_Mini 16_17 log.txt,37,37,1216,63.0,-4.0,2014-03-13,False,left
80,851.3589,1,437,2761,2975,4263,510,-6.0,200,0,0,855.3221,1,0,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,left
1,67.8352,0,437,2761,2975,4263,511,-6.0,200,0,0,68.1849,1,0,colocated,20_11_2014 level23_spatial_Mini 14_10 log.txt,37,37,1216,63.0,-4.0,2014-11-20,False,left
1,26.9426,1,437,2761,2975,4263,503,-6.0,200,0,1,27.3298,0,0,colocated,04_02_2014 level23_spatial_Mini 10_44 log.txt,37,37,1216,63.0,-4.0,2014-02-04,False,left
113,549.648,0,437,2761,2975,4263,504,-6.0,200,0,1,550.4182,0,0,colocated,13_03_2014 level23_spatial_Mini 16_17 log.txt,37,37,1216,63.0,-4.0,2014-03-13,False,left
25,144.9273,1,437,2761,2975,4263,511,-6.0,200,0,0,147.3304,1,0,colocated,17_11_2014 level23_spatial_Mini 15_46 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
72,507.7833,1,437,2761,2975,4263,508,-6.0,200,0,1,510.6588,0,0,colocated,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37,1216,63.0,-4.0,2014-04-10,False,left
48,282.5879,0,437,2761,2975,4263,504,-6.0,200,0,1,283.5942,0,0,colocated,14_03_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,left
81,464.1126,0,437,2761,2975,4263,501,-6.0,200,0,1,465.0652,0,0,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,left
50,281.1638,0,437,2761,2975,4263,504,-6.0,200,0,0,282.4815,1,0,colocated,10_07_2014 level23_spatial_Mini 14_03 log.txt,37,37,1216,63.0,-4.0,2014-07-10,False,left
59,381.9202,1,437,2761,2975,4263,511,-6.0,200,0,0,383.4711,1,0,colocated,31_10_2014 level23_spatial_Mini 14_15 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
59,381.9202,1,437,2761,2975,4263,511,-6.0,200,0,0,383.4711,1,0,colocated,31_10_2014 level23_spatial_Mini 14_15 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
57,389.8074,1,437,2761,2975,4263,510,-6.0,200,0,1,390.6729,0,0,colocated,23_04_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,left
53,565.5678,0,437,2761,2975,4263,507,-6.0,200,0,1,566.613,0,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,left
25,144.9273,1,437,2761,2975,4263,511,-6.0,200,0,0,147.3304,1,0,colocated,17_11_2014 level23_spatial_Mini 15_46 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
83,467.3301,0,437,2761,2975,4263,501,-6.0,200,0,0,468.5515,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
53,565.5678,0,437,2761,2975,4263,507,-6.0,200,0,1,566.613,0,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,left
96,834.1946,0,437,2761,2975,4263,502,-6.0,200,0,1,835.3364,0,0,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,63.0,-4.0,2014-08-08,False,left
83,467.3301,0,437,2761,2975,4263,501,-6.0,200,0,0,468.5515,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
36,365.6912,0,437,2761,2975,4263,505,-6.0,200,0,1,366.6332,0,0,colocated,09_04_2014 level23_spatial_Mini 13_52 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,left
4,27.2907,1,437,2761,2975,4263,510,-6.0,200,0,1,29.0586,0,0,colocated,11_03_2014 level23_spatial_Mini 10_12 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,left
88,573.7257,1,437,2761,2975,4263,509,-6.0,200,0,0,589.0338,1,0,colocated,09_04_2014 level23_spatial_Mini 09_15 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,left
39,269.4044,0,437,2761,2975,4263,509,-6.0,200,0,1,270.154,0,0,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,left
84,555.2214,1,437,2761,2975,4263,503,-6.0,200,0,0,557.9121,1,0,colocated,04_02_2014 level23_spatial_Mini 10_44 log.txt,37,37,1216,63.0,-4.0,2014-02-04,False,left
24,583.8365,0,936,1551,2975,4263,502,-6.0,200,1,1,584.2655,1,0,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,left
95,533.8189,1,936,1551,2975,4263,507,-6.0,200,1,1,536.194,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
74,599.4707,1,936,1551,2975,4263,511,-6.0,200,1,1,600.4013,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
34,210.5632,0,936,1551,2975,4263,501,-6.0,200,1,1,212.0523,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
33,178.0581,1,936,1551,2975,4263,502,-6.0,200,1,0,179.7979,0,0,colocated,30_10_2014 level23_spatial_Mini 08_01 log.txt,37,37,1216,63.0,-4.0,2014-10-30,False,left
67,380.1675,0,936,1551,2975,4263,501,-6.0,200,1,0,381.4882,0,0,colocated,09_07_2014 level23_spatial_Mini 14_31 log.txt,37,37,1216,63.0,-4.0,2014-07-09,False,left
90,590.6024,0,936,1551,2975,4263,509,-6.0,200,1,1,591.5316,1,0,colocated,11_03_2014 level23_spatial_Mini 10_12 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,left
74,599.4707,1,936,1551,2975,4263,511,-6.0,200,1,1,600.4013,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
34,210.5632,0,936,1551,2975,4263,501,-6.0,200,1,1,212.0523,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
35,282.2881,0,936,1551,2975,4263,501,-6.0,200,1,1,286.1888,1,0,colocated,13_03_2014 level23_spatial_Mini 08_35 log.txt,37,37,1216,63.0,-4.0,2014-03-13,False,left
34,385.1441,0,936,1551,2975,4263,505,-6.0,200,1,0,390.4969,0,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,left
29,1212.0326,0,936,1551,2975,4263,502,-6.0,200,1,1,1212.9184,1,0,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,left
74,762.2504,0,936,1551,2975,4263,507,-6.0,200,1,1,763.45,1,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,left
18,139.5336,1,936,1551,2975,4263,511,-6.0,200,1,0,142.2633,0,0,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,left
4,26.949,1,936,1551,2975,4263,502,-6.0,200,1,1,29.228,1,0,colocated,10_07_2014 level23_spatial_Mini 14_03 log.txt,37,37,1216,63.0,-4.0,2014-07-10,False,left
150,1334.6921,0,936,1551,2975,4263,508,-6.0,200,1,1,1335.6803,1,0,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,left
35,1068.3881,0,936,1551,2975,4263,511,-6.0,200,1,1,1068.7326,1,0,colocated,25_04_2014 level23_spatial_Mini 10_51 log.txt,37,37,1216,63.0,-4.0,2014-04-25,False,left
90,590.6024,0,936,1551,2975,4263,509,-6.0,200,1,1,591.5316,1,0,colocated,11_03_2014 level23_spatial_Mini 10_12 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,left
34,357.716,1,936,1551,2975,4263,507,-6.0,200,1,1,358.6184,1,0,colocated,19_11_2014 level23_spatial_Mini 13_54 log.txt,37,37,1216,63.0,-4.0,2014-11-19,False,left
51,317.4807,0,936,1551,2975,4263,501,-6.0,200,1,1,318.5307,1,0,colocated,09_04_2014 level23_spatial_Mini 09_15 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,left
51,317.4807,0,936,1551,2975,4263,501,-6.0,200,1,1,318.5307,1,0,colocated,09_04_2014 level23_spatial_Mini 09_15 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,left
29,1212.0326,0,936,1551,2975,4263,502,-6.0,200,1,1,1212.9184,1,0,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,left
74,762.2504,0,936,1551,2975,4263,507,-6.0,200,1,1,763.45,1,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,left
3,125.6878,0,936,1551,2975,4263,510,-6.0,200,1,0,126.6201,0,0,colocated,25_04_2014 level23_spatial_Mini 15_26 log.txt,37,37,1216,63.0,-4.0,2014-04-25,False,left
33,178.0581,1,936,1551,2975,4263,502,-6.0,200,1,0,179.7979,0,0,colocated,30_10_2014 level23_spatial_Mini 08_01 log.txt,37,37,1216,63.0,-4.0,2014-10-30,False,left
18,93.6179,1,936,1551,2975,4263,508,-6.0,200,1,1,95.9056,1,0,colocated,14_03_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,left
31,182.1526,1,936,1551,2975,4263,502,-6.0,200,1,1,182.8661,1,0,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,left
34,385.1441,0,936,1551,2975,4263,505,-6.0,200,1,0,390.4969,0,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,left
18,139.5336,1,936,1551,2975,4263,511,-6.0,200,1,0,142.2633,0,0,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,left
103,890.506,0,437,2761,2975,4263,505,-6.0,200,0,1,891.4412,0,1,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,63.0,-4.0,2014-08-08,False,right
107,1084.7502,0,437,2761,2975,4263,511,-6.0,200,0,1,1085.9971,0,1,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,right
26,921.2128,1,437,2761,2975,4263,502,-6.0,200,0,1,923.4267,0,1,colocated,25_04_2014 level23_spatial_Mini 10_51 log.txt,37,37,1216,63.0,-4.0,2014-04-25,False,right
20,268.8045,0,437,2761,2975,4263,507,-6.0,200,0,0,275.1514,1,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
5,104.1771,0,437,2761,2975,4263,502,-6.0,200,0,1,108.8723,0,1,colocated,13_03_2014 level23_spatial_Mini 08_35 log.txt,37,37,1216,63.0,-4.0,2014-03-13,False,right
35,259.1388,1,437,2761,2975,4263,505,-6.0,200,0,1,261.5892,0,1,colocated,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37,1216,63.0,-4.0,2014-04-10,False,right
42,248.2661,0,437,2761,2975,4263,503,-6.0,200,0,1,249.4188,0,1,colocated,14_03_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,right
10,87.5468,0,437,2761,2975,4263,504,-6.0,200,0,1,89.3122,0,1,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,right
10,74.2785,0,437,2761,2975,4263,503,-6.0,200,0,1,75.2653,0,1,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,right
56,345.4219,1,437,2761,2975,4263,502,-6.0,200,0,1,346.029,0,1,colocated,09_04_2014 level23_spatial_Mini 09_15 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,right
10,87.5468,0,437,2761,2975,4263,504,-6.0,200,0,1,89.3122,0,1,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,right
108,712.516,1,437,2761,2975,4263,501,-6.0,200,0,1,713.4703,0,1,colocated,04_02_2014 level23_spatial_Mini 10_44 log.txt,37,37,1216,63.0,-4.0,2014-02-04,False,right
11,57.8663,0,437,2761,2975,4263,501,-6.0,200,0,1,58.6828,0,1,colocated,09_07_2014 level23_spatial_Mini 14_31 log.txt,37,37,1216,63.0,-4.0,2014-07-09,False,right
12,1088.5865,1,437,2761,2975,4263,502,-6.0,200,0,0,1091.7109,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
10,87.5468,0,437,2761,2975,4263,504,-6.0,200,0,1,89.3122,0,1,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,right
77,390.075,1,437,2761,2975,4263,511,-6.0,200,0,1,392.6248,0,1,colocated,08_07_2014 level23_spatial_Mini 17_43 log.txt,37,37,1216,63.0,-4.0,2014-07-08,False,right
5,104.1771,0,437,2761,2975,4263,502,-6.0,200,0,1,108.8723,0,1,colocated,13_03_2014 level23_spatial_Mini 08_35 log.txt,37,37,1216,63.0,-4.0,2014-03-13,False,right
3,33.1726,1,437,2761,2975,4263,508,-6.0,200,0,1,36.1082,0,1,colocated,24_03_2014 level23_spatial_Mini 14_04 log.txt,37,37,1216,63.0,-4.0,2014-03-24,False,right
2,156.4595,0,437,2761,2975,4263,508,-6.0,200,0,0,157.7945,1,1,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,right
20,268.8045,0,437,2761,2975,4263,507,-6.0,200,0,0,275.1514,1,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
12,1088.5865,1,437,2761,2975,4263,502,-6.0,200,0,0,1091.7109,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
11,57.8663,0,437,2761,2975,4263,501,-6.0,200,0,1,58.6828,0,1,colocated,09_07_2014 level23_spatial_Mini 14_31 log.txt,37,37,1216,63.0,-4.0,2014-07-09,False,right
77,390.075,1,437,2761,2975,4263,511,-6.0,200,0,1,392.6248,0,1,colocated,08_07_2014 level23_spatial_Mini 17_43 log.txt,37,37,1216,63.0,-4.0,2014-07-08,False,right
49,448.4574,0,437,2761,2975,4263,502,-6.0,200,0,1,449.1064,0,1,colocated,19_11_2014 level23_spatial_Mini 13_54 log.txt,37,37,1216,63.0,-4.0,2014-11-19,False,right
84,652.8934,1,437,2761,2975,4263,504,-6.0,200,0,0,656.8809,1,1,colocated,09_04_2014 level23_spatial_Mini 13_52 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,right
12,1088.5865,1,437,2761,2975,4263,502,-6.0,200,0,0,1091.7109,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
2,156.4595,0,437,2761,2975,4263,508,-6.0,200,0,0,157.7945,1,1,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,right
56,375.0762,0,437,2761,2975,4263,506,-6.0,200,0,0,376.5646,1,1,colocated,11_03_2014 level23_spatial_Mini 10_12 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,right
2,156.4595,0,437,2761,2975,4263,508,-6.0,200,0,0,157.7945,1,1,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,right
176,1283.5853,1,936,1551,2975,4263,510,-6.0,200,1,0,1286.2763,0,1,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,right
50,282.784,1,936,1551,2975,4263,506,-6.0,200,1,0,285.2338,0,1,colocated,17_11_2014 level23_spatial_Mini 15_46 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,right
64,356.7403,1,936,1551,2975,4263,501,-6.0,200,1,1,359.8307,1,1,colocated,30_10_2014 level23_spatial_Mini 08_01 log.txt,37,37,1216,63.0,-4.0,2014-10-30,False,right
25,193.8833,0,936,1551,2975,4263,502,-6.0,200,1,0,195.2509,0,1,colocated,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37,1216,63.0,-4.0,2014-04-10,False,right
66,445.5962,1,936,1551,2975,4263,507,-6.0,200,1,1,447.3328,1,1,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,right
62,388.3592,0,936,1551,2975,4263,507,-6.0,200,1,1,389.8393,1,1,colocated,09_04_2014 level23_spatial_Mini 09_15 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,right
51,722.0512,0,936,1551,2975,4263,504,-6.0,200,1,1,723.6042,1,1,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,right
5,42.8446,1,936,1551,2975,4263,502,-6.0,200,1,1,45.6712,1,1,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,right
84,560.2911,1,936,1551,2975,4263,502,-6.0,200,1,0,563.216,0,1,colocated,11_03_2014 level23_spatial_Mini 10_12 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,right
68,612.3121,1,936,1551,2975,4263,502,-6.0,200,1,1,614.4771,1,1,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,63.0,-4.0,2014-08-08,False,right
88,909.9904,0,936,1551,2975,4263,506,-6.0,200,1,0,910.6704,0,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
108,849.2244,0,936,1551,2975,4263,504,-6.0,200,1,0,850.5409,0,1,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,right
58,512.7635,0,936,1551,2975,4263,511,-6.0,200,1,0,513.6087,0,1,colocated,19_11_2014 level23_spatial_Mini 13_54 log.txt,37,37,1216,63.0,-4.0,2014-11-19,False,right
