Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,SpatialCondition,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,VowelLocation
81,464.1126,0,437,2761,2975,4263,501,-6.0,200,0,1,465.0652,0,0,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,left
96,834.1946,0,437,2761,2975,4263,502,-6.0,200,0,1,835.3364,0,0,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,63.0,-4.0,2014-08-08,False,left
50,281.1638,0,437,2761,2975,4263,504,-6.0,200,0,0,282.4815,1,0,colocated,10_07_2014 level23_spatial_Mini 14_03 log.txt,37,37,1216,63.0,-4.0,2014-07-10,False,left
83,467.3301,0,437,2761,2975,4263,501,-6.0,200,0,0,468.5515,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
27,1201.0646,1,437,2761,2975,4263,510,-6.0,200,0,0,1203.3861,1,0,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,left
25,144.9273,1,437,2761,2975,4263,511,-6.0,200,0,0,147.3304,1,0,colocated,17_11_2014 level23_spatial_Mini 15_46 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
48,250.078,0,437,2761,2975,4263,506,-6.0,200,0,0,251.2367,1,0,colocated,08_07_2014 level23_spatial_Mini 17_43 log.txt,37,37,1216,63.0,-4.0,2014-07-08,False,left
57,389.8074,1,437,2761,2975,4263,510,-6.0,200,0,1,390.6729,0,0,colocated,23_04_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,left
48,250.078,0,437,2761,2975,4263,506,-6.0,200,0,0,251.2367,1,0,colocated,08_07_2014 level23_spatial_Mini 17_43 log.txt,37,37,1216,63.0,-4.0,2014-07-08,False,left
191,1410.1193,1,437,2761,2975,4263,507,-6.0,200,0,0,1412.3814,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
44,241.0297,1,437,2761,2975,4263,504,-6.0,200,0,0,243.1817,1,0,colocated,30_10_2014 level23_spatial_Mini 08_01 log.txt,37,37,1216,63.0,-4.0,2014-10-30,False,left
3,17.1916,1,437,2761,2975,4263,510,-6.0,200,0,1,19.4693,0,0,colocated,09_07_2014 level23_spatial_Mini 14_31 log.txt,37,37,1216,63.0,-4.0,2014-07-09,False,left
25,144.9273,1,437,2761,2975,4263,511,-6.0,200,0,0,147.3304,1,0,colocated,17_11_2014 level23_spatial_Mini 15_46 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
83,467.3301,0,437,2761,2975,4263,501,-6.0,200,0,0,468.5515,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
72,507.7833,1,437,2761,2975,4263,508,-6.0,200,0,1,510.6588,0,0,colocated,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37,1216,63.0,-4.0,2014-04-10,False,left
113,549.648,0,437,2761,2975,4263,504,-6.0,200,0,1,550.4182,0,0,colocated,13_03_2014 level23_spatial_Mini 16_17 log.txt,37,37,1216,63.0,-4.0,2014-03-13,False,left
45,508.6689,1,437,2761,2975,4263,507,-6.0,200,0,1,510.0882,0,0,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,left
59,381.9202,1,437,2761,2975,4263,511,-6.0,200,0,0,383.4711,1,0,colocated,31_10_2014 level23_spatial_Mini 14_15 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
1,26.9426,1,437,2761,2975,4263,503,-6.0,200,0,1,27.3298,0,0,colocated,04_02_2014 level23_spatial_Mini 10_44 log.txt,37,37,1216,63.0,-4.0,2014-02-04,False,left
80,851.3589,1,437,2761,2975,4263,510,-6.0,200,0,0,855.3221,1,0,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,left
44,241.0297,1,437,2761,2975,4263,504,-6.0,200,0,0,243.1817,1,0,colocated,30_10_2014 level23_spatial_Mini 08_01 log.txt,37,37,1216,63.0,-4.0,2014-10-30,False,left
57,389.8074,1,437,2761,2975,4263,510,-6.0,200,0,1,390.6729,0,0,colocated,23_04_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,left
25,144.9273,1,437,2761,2975,4263,511,-6.0,200,0,0,147.3304,1,0,colocated,17_11_2014 level23_spatial_Mini 15_46 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
80,851.3589,1,437,2761,2975,4263,510,-6.0,200,0,0,855.3221,1,0,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,left
32,618.7338,0,437,2761,2975,4263,505,-6.0,200,0,1,619.3678,0,0,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,left
81,464.1126,0,437,2761,2975,4263,501,-6.0,200,0,1,465.0652,0,0,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,left
44,241.0297,1,437,2761,2975,4263,504,-6.0,200,0,0,243.1817,1,0,colocated,30_10_2014 level23_spatial_Mini 08_01 log.txt,37,37,1216,63.0,-4.0,2014-10-30,False,left
36,365.6912,0,437,2761,2975,4263,505,-6.0,200,0,1,366.6332,0,0,colocated,09_04_2014 level23_spatial_Mini 13_52 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,left
98,1023.35,0,437,2761,2975,4263,508,-6.0,200,0,1,1024.3827,0,0,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,left
19,195.2151,0,936,1551,2975,4263,501,-6.0,200,1,1,196.3825,1,0,colocated,31_03_2014 level23_spatial_Mini 15_41 log.txt,37,37,1216,63.0,-4.0,2014-03-31,False,left
21,127.6958,0,936,1551,2975,4263,510,-6.0,200,1,1,129.1078,1,0,colocated,31_10_2014 level23_spatial_Mini 14_15 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
74,762.2504,0,936,1551,2975,4263,507,-6.0,200,1,1,763.45,1,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,left
18,139.5336,1,936,1551,2975,4263,511,-6.0,200,1,0,142.2633,0,0,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,left
74,599.4707,1,936,1551,2975,4263,511,-6.0,200,1,1,600.4013,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
165,1215.806,0,936,1551,2975,4263,507,-6.0,200,1,1,1216.9698,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,left
51,317.4807,0,936,1551,2975,4263,501,-6.0,200,1,1,318.5307,1,0,colocated,09_04_2014 level23_spatial_Mini 09_15 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,left
