SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
colocated,False,704,410,58.23863636363637,0
separated,False,704,424,60.22727272727273,0
single_speaker,False,704,534,75.85227272727273,0
colocated,False,704,423,60.08522727272727,1
separated,False,704,445,63.21022727272727,1
single_speaker,False,704,550,78.125,1
colocated,False,704,429,60.9375,2
separated,False,704,457,64.91477272727273,2
single_speaker,False,704,543,77.13068181818183,2
colocated,False,704,415,58.94886363636363,3
separated,False,704,445,63.21022727272727,3
single_speaker,False,704,563,79.9715909090909,3
colocated,False,704,395,56.10795454545454,4
separated,False,704,435,61.78977272727273,4
single_speaker,False,704,565,80.25568181818183,4
colocated,False,704,409,58.09659090909091,5
separated,False,704,447,63.49431818181818,5
single_speaker,False,704,564,80.11363636363636,5
colocated,False,704,427,60.65340909090909,6
separated,False,704,437,62.07386363636363,6
single_speaker,False,704,565,80.25568181818183,6
colocated,False,704,426,60.51136363636363,7
separated,False,704,432,61.36363636363637,7
single_speaker,False,704,547,77.69886363636364,7
colocated,False,704,409,58.09659090909091,8
separated,False,704,438,62.21590909090909,8
single_speaker,False,704,564,80.11363636363636,8
colocated,False,704,415,58.94886363636363,9
separated,False,704,440,62.5,9
single_speaker,False,704,540,76.70454545454545,9
colocated,False,704,415,58.94886363636363,10
separated,False,704,444,63.06818181818182,10
single_speaker,False,704,559,79.4034090909091,10
colocated,False,704,399,56.67613636363637,11
separated,False,704,437,62.07386363636363,11
single_speaker,False,704,568,80.68181818181817,11
colocated,False,704,431,61.22159090909091,12
separated,False,704,426,60.51136363636363,12
single_speaker,False,704,545,77.41477272727273,12
colocated,False,704,415,58.94886363636363,13
separated,False,704,430,61.07954545454546,13
single_speaker,False,704,551,78.26704545454545,13
colocated,False,704,434,61.64772727272727,14
separated,False,704,444,63.06818181818182,14
single_speaker,False,704,556,78.97727272727273,14
colocated,False,704,427,60.65340909090909,15
separated,False,704,434,61.64772727272727,15
single_speaker,False,704,567,80.53977272727273,15
colocated,False,704,403,57.24431818181818,16
separated,False,704,445,63.21022727272727,16
single_speaker,False,704,551,78.26704545454545,16
colocated,False,704,423,60.08522727272727,17
separated,False,704,447,63.49431818181818,17
single_speaker,False,704,561,79.6875,17
colocated,False,704,401,56.96022727272727,18
separated,False,704,432,61.36363636363637,18
single_speaker,False,704,549,77.98295454545455,18
colocated,False,704,449,63.77840909090909,19
separated,False,704,428,60.79545454545454,19
single_speaker,False,704,568,80.68181818181817,19
colocated,False,704,418,59.375,20
separated,False,704,435,61.78977272727273,20
single_speaker,False,704,554,78.69318181818183,20
colocated,False,704,425,60.36931818181818,21
separated,False,704,420,59.65909090909091,21
single_speaker,False,704,552,78.4090909090909,21
colocated,False,704,438,62.21590909090909,22
separated,False,704,412,58.52272727272727,22
single_speaker,False,704,564,80.11363636363636,22
colocated,False,704,434,61.64772727272727,23
separated,False,704,434,61.64772727272727,23
single_speaker,False,704,553,78.55113636363636,23
colocated,False,704,410,58.23863636363637,24
separated,False,704,431,61.22159090909091,24
single_speaker,False,704,542,76.98863636363636,24
colocated,False,704,429,60.9375,25
separated,False,704,434,61.64772727272727,25
single_speaker,False,704,567,80.53977272727273,25
colocated,False,704,427,60.65340909090909,26
separated,False,704,429,60.9375,26
single_speaker,False,704,565,80.25568181818183,26
colocated,False,704,422,59.94318181818182,27
separated,False,704,432,61.36363636363637,27
single_speaker,False,704,572,81.25,27
colocated,False,704,406,57.67045454545454,28
separated,False,704,443,62.92613636363637,28
single_speaker,False,704,550,78.125,28
colocated,False,704,398,56.53409090909091,29
separated,False,704,406,57.67045454545454,29
single_speaker,False,704,555,78.83522727272727,29
colocated,False,704,425,60.36931818181818,30
separated,False,704,405,57.52840909090909,30
single_speaker,False,704,565,80.25568181818183,30
colocated,False,704,408,57.95454545454546,31
separated,False,704,443,62.92613636363637,31
single_speaker,False,704,550,78.125,31
colocated,False,704,417,59.23295454545454,32
separated,False,704,443,62.92613636363637,32
single_speaker,False,704,572,81.25,32
colocated,False,704,404,57.38636363636363,33
separated,False,704,426,60.51136363636363,33
single_speaker,False,704,556,78.97727272727273,33
colocated,False,704,421,59.80113636363637,34
separated,False,704,428,60.79545454545454,34
single_speaker,False,704,573,81.39204545454545,34
colocated,False,704,408,57.95454545454546,35
separated,False,704,434,61.64772727272727,35
single_speaker,False,704,537,76.2784090909091,35
colocated,False,704,415,58.94886363636363,36
separated,False,704,427,60.65340909090909,36
single_speaker,False,704,574,81.5340909090909,36
colocated,False,704,410,58.23863636363637,37
separated,False,704,457,64.91477272727273,37
single_speaker,False,704,552,78.4090909090909,37
