Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,SpatialCondition,VowelLocation
121,1096.6912,0,460,1105,2857,4205,951,10.0,200,1,1,1097.3112,1,0,07_08_2014 level23_spatial_Clio 15_05 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
130,1196.3782,0,460,1105,2857,4205,701,10.0,200,1,1,1197.1371,1,0,07_08_2014 level23_spatial_Clio 15_05 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
86,965.4895,1,460,1105,2857,4205,901,10.0,200,1,0,969.8188,0,0,07_08_2014 level23_spatial_Clio 09_14 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
117,1023.505,0,460,1105,2857,4205,801,10.0,200,1,1,1024.3735,1,0,06_08_2014 level23_spatial_Clio 15_42 log.txt,37,37,1217,47.0,-20.0,2014-08-06,False,colocated,left
69,803.4743,0,460,1105,2857,4205,1001,10.0,200,1,0,804.8022,0,0,07_08_2014 level23_spatial_Clio 09_14 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
44,527.0999,0,460,1105,2857,4205,601,10.0,200,1,1,528.1729,1,0,08_08_2014 level23_spatial_Clio 09_37 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
125,1068.4812,0,460,1105,2857,4205,901,10.0,200,1,1,1069.3518,1,0,06_08_2014 level23_spatial_Clio 15_42 log.txt,37,37,1217,47.0,-20.0,2014-08-06,False,colocated,left
74,734.4158,0,460,1105,2857,4205,851,10.0,200,1,0,735.7614,0,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
86,965.4895,1,460,1105,2857,4205,901,10.0,200,1,0,969.8188,0,0,07_08_2014 level23_spatial_Clio 09_14 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
55,601.8968,0,460,1105,2857,4205,851,10.0,200,1,0,603.7872,0,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
138,1281.9115,1,460,1105,2857,4205,801,10.0,200,1,1,1282.5349,1,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
38,367.4691,0,460,1105,2857,4205,601,10.0,200,1,1,368.4861,1,0,07_08_2014 level23_spatial_Clio 15_05 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
118,1027.8093,0,460,1105,2857,4205,551,10.0,200,1,1,1028.296,1,0,06_08_2014 level23_spatial_Clio 15_42 log.txt,37,37,1217,47.0,-20.0,2014-08-06,False,colocated,left
26,283.822,0,460,1105,2857,4205,851,10.0,200,1,0,284.3312,0,0,07_08_2014 level23_spatial_Clio 15_05 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
40,488.4068,0,460,1105,2857,4205,851,10.0,200,1,1,489.2778,1,0,06_08_2014 level23_spatial_Clio 15_42 log.txt,37,37,1217,47.0,-20.0,2014-08-06,False,colocated,left
103,975.6566,0,460,1105,2857,4205,751,10.0,200,1,1,976.1106,1,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
21,369.7707,0,460,1105,2857,4205,951,10.0,200,1,1,370.3913,1,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
21,369.7707,0,460,1105,2857,4205,951,10.0,200,1,1,370.3913,1,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
121,1096.6912,0,460,1105,2857,4205,951,10.0,200,1,1,1097.3112,1,0,07_08_2014 level23_spatial_Clio 15_05 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
38,427.6583,0,460,1105,2857,4205,551,10.0,200,1,0,429.6355,0,0,07_08_2014 level23_spatial_Clio 09_14 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
171,1360.8423,0,460,1105,2857,4205,551,10.0,200,1,0,1364.0393,0,0,06_08_2014 level23_spatial_Clio 15_42 log.txt,37,37,1217,47.0,-20.0,2014-08-06,False,colocated,left
65,754.6057,0,460,1105,2857,4205,651,10.0,200,1,0,755.7279,0,0,07_08_2014 level23_spatial_Clio 09_14 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
84,826.3832,0,460,1105,2857,4205,901,10.0,200,1,0,827.6108,0,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
38,427.6583,0,460,1105,2857,4205,551,10.0,200,1,0,429.6355,0,0,07_08_2014 level23_spatial_Clio 09_14 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
36,416.5011,0,460,1105,2857,4205,951,10.0,200,1,1,416.9599,1,0,07_08_2014 level23_spatial_Clio 09_14 log.txt,37,37,1217,47.0,-20.0,2014-08-07,False,colocated,left
63,653.6725,0,460,1105,2857,4205,701,10.0,200,1,0,654.4182,0,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
138,1281.9115,1,460,1105,2857,4205,801,10.0,200,1,1,1282.5349,1,0,08_08_2014 level23_spatial_Clio 15_31 log.txt,37,37,1217,47.0,-20.0,2014-08-08,False,colocated,left
