Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature,fNum,day,meanTemp,treatment,vowel_level,SNR,SpatialCondition,VowelLocation
16,292.4609,0,460,1105,2857,4205,504,8.5,200,0,1,293.7325,0,0,736414.371403633,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,48.5,-18.5,colocated,left
46,543.9354,1,460,1105,2857,4205,508,8.5,200,0,1,547.705,0,0,736412.365958431,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,48.5,-18.5,colocated,left
18,319.0686,0,460,1105,2857,4205,504,8.5,200,0,0,320.4983,1,0,736413.351651581,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,48.5,-18.5,colocated,left
46,543.9354,1,460,1105,2857,4205,508,8.5,200,0,1,547.705,0,0,736412.365958431,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,48.5,-18.5,colocated,left
46,543.9354,1,460,1105,2857,4205,508,8.5,200,0,1,547.705,0,0,736412.365958431,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,48.5,-18.5,colocated,left
47,473.8687,0,460,1105,2857,4205,501,8.5,200,0,1,475.0219,0,0,736406.35475348,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,48.5,-18.5,colocated,left
16,292.4609,0,460,1105,2857,4205,504,8.5,200,0,1,293.7325,0,0,736414.371403633,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,48.5,-18.5,colocated,left
60,453.2844,1,730,2058,2857,4205,508,8.5,200,1,1,457.4537,1,0,736379.372310363,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,48.5,-18.5,colocated,left
60,453.2844,1,730,2058,2857,4205,508,8.5,200,1,1,457.4537,1,0,736379.372310363,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,48.5,-18.5,colocated,left
60,453.2844,1,730,2058,2857,4205,508,8.5,200,1,1,457.4537,1,0,736379.372310363,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,48.5,-18.5,colocated,left
73,693.6447,1,730,2058,2857,4205,509,8.5,200,1,1,697.9254,1,0,736413.355986953,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,48.5,-18.5,colocated,left
73,693.6447,1,730,2058,2857,4205,509,8.5,200,1,1,697.9254,1,0,736413.355986953,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,48.5,-18.5,colocated,left
60,453.2844,1,730,2058,2857,4205,508,8.5,200,1,1,457.4537,1,0,736379.372310363,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,48.5,-18.5,colocated,left
45,498.0432,0,730,2058,2857,4205,507,8.5,200,1,1,500.2323,1,0,736414.373783058,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,48.5,-18.5,colocated,left
6,210.8684,1,460,1105,2857,4205,509,8.5,200,0,1,214.6896,0,1,736414.370459275,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,48.5,-18.5,colocated,right
12,236.9892,0,460,1105,2857,4205,510,8.5,200,0,0,237.9303,1,1,736406.352011819,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,48.5,-18.5,colocated,right
44,532.5852,0,460,1105,2857,4205,510,8.5,200,0,1,534.7374,0,1,736412.365827063,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,48.5,-18.5,colocated,right
14,284.8302,0,460,1105,2857,4205,506,8.5,200,0,0,285.9358,1,1,736413.351255303,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,48.5,-18.5,colocated,right
12,236.9892,0,460,1105,2857,4205,510,8.5,200,0,0,237.9303,1,1,736406.352011819,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,48.5,-18.5,colocated,right
44,532.5852,0,460,1105,2857,4205,510,8.5,200,0,1,534.7374,0,1,736412.365827063,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,48.5,-18.5,colocated,right
14,284.8302,0,460,1105,2857,4205,506,8.5,200,0,0,285.9358,1,1,736413.351255303,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,48.5,-18.5,colocated,right
26,392.2843,1,730,2058,2857,4205,506,8.5,200,1,1,396.7658,1,1,736412.36420321,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,48.5,-18.5,colocated,right
14,253.4223,0,730,2058,2857,4205,503,8.5,200,1,0,254.117,0,1,736406.352202017,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,48.5,-18.5,colocated,right
26,392.2843,1,730,2058,2857,4205,506,8.5,200,1,1,396.7658,1,1,736412.36420321,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,48.5,-18.5,colocated,right
14,253.4223,0,730,2058,2857,4205,503,8.5,200,1,0,254.117,0,1,736406.352202017,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,48.5,-18.5,colocated,right
14,253.4223,0,730,2058,2857,4205,503,8.5,200,1,0,254.117,0,1,736406.352202017,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,48.5,-18.5,colocated,right
14,253.4223,0,730,2058,2857,4205,503,8.5,200,1,0,254.117,0,1,736406.352202017,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,48.5,-18.5,colocated,right
26,392.2843,1,730,2058,2857,4205,506,8.5,200,1,1,396.7658,1,1,736412.36420321,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,48.5,-18.5,colocated,right
65,650.6662,0,460,1105,2857,4205,505,5.5,200,0,1,652.1965,0,0,736414.375549528,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,51.5,-15.5,colocated,left
65,650.6662,0,460,1105,2857,4205,505,5.5,200,0,1,652.1965,0,0,736414.375549528,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,51.5,-15.5,colocated,left
37,476.2332,0,460,1105,2857,4205,511,5.5,200,0,0,477.2587,1,0,736412.36517484,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,51.5,-15.5,colocated,left
65,650.6662,0,460,1105,2857,4205,505,5.5,200,0,1,652.1965,0,0,736414.375549528,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,51.5,-15.5,colocated,left
16,122.6568,0,460,1105,2857,4205,503,5.5,200,0,0,124.5757,1,0,736379.368483655,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,51.5,-15.5,colocated,left
80,745.827,1,460,1105,2857,4205,511,5.5,200,0,1,751.1016,0,0,736413.356590914,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,51.5,-15.5,colocated,left
40,428.9526,0,460,1105,2857,4205,507,5.5,200,0,1,430.0524,0,0,736406.354233618,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,51.5,-15.5,colocated,left
30,399.4708,0,730,2058,2857,4205,502,5.5,200,1,1,400.8211,1,0,736413.352582162,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,51.5,-15.5,colocated,left
30,399.4708,0,730,2058,2857,4205,502,5.5,200,1,1,400.8211,1,0,736413.352582162,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,51.5,-15.5,colocated,left
30,399.4708,0,730,2058,2857,4205,502,5.5,200,1,1,400.8211,1,0,736413.352582162,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,51.5,-15.5,colocated,left
30,232.3343,0,730,2058,2857,4205,502,5.5,200,1,1,234.1127,1,0,736379.369753071,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,51.5,-15.5,colocated,left
27,400.4385,0,730,2058,2857,4205,507,5.5,200,1,0,401.6484,0,0,736412.364297587,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,51.5,-15.5,colocated,left
10,217.822,0,730,2058,2857,4205,502,5.5,200,1,0,218.7436,0,0,736406.351789977,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,51.5,-15.5,colocated,left
30,399.4708,0,730,2058,2857,4205,502,5.5,200,1,1,400.8211,1,0,736413.352582162,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,51.5,-15.5,colocated,left
11,250.4377,0,460,1105,2857,4205,505,5.5,200,0,1,251.792,0,1,736414.370917253,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,51.5,-15.5,colocated,right
38,290.8723,0,460,1105,2857,4205,504,5.5,200,0,1,292.5763,0,1,736379.370430594,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,51.5,-15.5,colocated,right
11,250.4377,0,460,1105,2857,4205,505,5.5,200,0,1,251.792,0,1,736414.370917253,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,51.5,-15.5,colocated,right
18,145.0005,0,460,1105,2857,4205,501,5.5,200,0,0,146.0469,1,1,736411.366267031,22_03_2016 level23_spatial_Robin 08_45_00.471 log.txt,37.0,37.0,1509,2016-03-22,37.0,False,51.5,-15.5,colocated,right
18,145.0005,0,460,1105,2857,4205,501,5.5,200,0,0,146.0469,1,1,736411.366267031,22_03_2016 level23_spatial_Robin 08_45_00.471 log.txt,37.0,37.0,1509,2016-03-22,37.0,False,51.5,-15.5,colocated,right
38,290.8723,0,460,1105,2857,4205,504,5.5,200,0,1,292.5763,0,1,736379.370430594,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,51.5,-15.5,colocated,right
11,250.4377,0,460,1105,2857,4205,505,5.5,200,0,1,251.792,0,1,736414.370917253,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,51.5,-15.5,colocated,right
20,303.7394,1,730,2058,2857,4205,507,5.5,200,1,1,307.9153,1,1,736406.352784391,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,51.5,-15.5,colocated,right
20,303.7394,1,730,2058,2857,4205,507,5.5,200,1,1,307.9153,1,1,736406.352784391,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,51.5,-15.5,colocated,right
19,315.6004,1,730,2058,2857,4205,502,5.5,200,1,1,319.9816,1,1,736414.371671451,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,51.5,-15.5,colocated,right
20,303.7394,1,730,2058,2857,4205,507,5.5,200,1,1,307.9153,1,1,736406.352784391,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,51.5,-15.5,colocated,right
7,47.6888,1,730,2058,2857,4205,502,5.5,200,1,1,50.8818,1,1,736379.36761597,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,51.5,-15.5,colocated,right
65,634.8072,0,730,2058,2857,4205,505,5.5,200,1,1,636.6765,1,1,736413.355305963,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,51.5,-15.5,colocated,right
24,182.2429,0,730,2058,2857,4205,503,5.5,200,1,1,183.4886,1,1,736411.366698078,22_03_2016 level23_spatial_Robin 08_45_00.471 log.txt,37.0,37.0,1509,2016-03-22,37.0,False,51.5,-15.5,colocated,right
1,11.1754,0,460,1105,2857,4205,510,2.5,200,0,0,11.2266,1,0,736364.350532065,04_02_2016 level23_spatial_Robin 08_24_34.795 log.txt,37.0,37.0,1509,2016-02-04,37.0,False,54.5,-12.5,colocated,left
34,393.0442,1,460,1105,2857,4205,502,2.5,200,0,1,396.8147,0,0,736406.353818012,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,54.5,-12.5,colocated,left
75,909.3575,0,460,1105,2857,4205,510,2.5,200,0,1,911.1538,0,0,736355.362544392,26_01_2016 level23_spatial_Robin 08_26_54.478 log.txt,37.0,37.0,1509,2016-01-26,37.0,False,54.5,-12.5,colocated,left
51,431.7619,1,460,1105,2857,4205,504,2.5,200,0,1,435.6346,0,0,736350.354942013,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,left
1,11.1754,0,460,1105,2857,4205,510,2.5,200,0,0,11.2266,1,0,736364.350532065,04_02_2016 level23_spatial_Robin 08_24_34.795 log.txt,37.0,37.0,1509,2016-02-04,37.0,False,54.5,-12.5,colocated,left
28,216.1014,1,460,1105,2857,4205,503,2.5,200,0,0,219.8684,1,0,736379.36956519,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,54.5,-12.5,colocated,left
98,695.6197,0,460,1105,2857,4205,503,2.5,200,0,1,696.9722,0,0,736405.441077636,16_03_2016 level23_spatial_Robin 10_23_33.488 log.txt,37.0,37.0,1509,2016-03-16,37.0,False,54.5,-12.5,colocated,left
79,740.3431,0,730,2058,2857,4205,505,2.5,200,1,1,741.8686,1,0,736413.356527443,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,54.5,-12.5,colocated,left
71,605.9045,1,730,2058,2857,4205,502,2.5,200,1,1,609.4665,1,0,736350.356957552,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,left
9,402.4736,0,730,2058,2857,4205,501,2.5,200,1,0,404.1334,0,0,736355.356677681,26_01_2016 level23_spatial_Robin 08_26_54.478 log.txt,37.0,37.0,1509,2016-01-26,37.0,False,54.5,-12.5,colocated,left
98,738.0775,0,730,2058,2857,4205,503,2.5,200,1,1,739.3525,1,0,736379.37560658,19_02_2016 level23_spatial_Robin 08_48_34.331 log.txt,37.0,37.0,1509,2016-02-19,37.0,False,54.5,-12.5,colocated,left
71,605.9045,1,730,2058,2857,4205,502,2.5,200,1,1,609.4665,1,0,736350.356957552,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,left
