Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	25.6604	0	730	2058	2857	4205	751	-7.0	200	1	0	27.9321	0	0	
2	1	36.8529	1	730	2058	2857	4205	751	-7.0	200	1	1	41.3377	1	0	
3	0	46.3368	0	460	1105	2857	4205	901	-5.0	200	0	1	47.1447	0	1	
4	1	61.1275	0	460	1105	2857	4205	901	-5.0	200	0	1	66.3712	0	1	
5	1	73.4084	0	460	1105	2857	4205	901	-5.0	200	0	0	74.0654	1	1	
6	0	84.3778	0	460	1105	2857	4205	951	-5.0	200	0	0	89.6220	1	5	
7	0	110.9769	0	460	1105	2857	4205	1001	-5.0	200	0	0	111.5235	1	1	
8	0	123.4831	0	460	1105	2857	4205	701	-5.0	200	0	0	123.9724	1	2	
9	0	132.0556	1	730	2058	2857	4205	651	-7.0	200	1	1	132.8069	1	1	
10	0	137.5624	0	460	1105	2857	4205	851	-5.0	200	0	1	140.5737	0	2	
11	1	154.0023	0	460	1105	2857	4205	851	-5.0	200	0	0	154.6300	1	2	
12	0	161.7011	0	460	1105	2857	4205	551	-5.0	200	0	1	162.6229	0	4	
13	1	172.3170	0	460	1105	2857	4205	551	-5.0	200	0	0	172.7892	1	4	
14	0	183.3798	0	730	2058	2857	4205	801	-7.0	200	1	1	184.0375	1	4	
15	0	187.9508	0	730	2058	2857	4205	601	-7.0	200	1	0	189.6192	0	3	
16	1	204.5929	0	730	2058	2857	4205	601	-7.0	200	1	1	205.5705	1	3	
17	0	210.0363	1	460	1105	2857	4205	801	-5.0	200	0	0	211.0300	1	3	
18	0	217.8922	0	460	1105	2857	4205	751	-5.0	200	0	0	221.1352	1	3	
19	0	229.5846	0	730	2058	2857	4205	1001	-7.0	200	1	1	230.1633	1	3	
20	0	234.1669	0	730	2058	2857	4205	551	-7.0	200	1	1	234.9192	1	1	
21	0	240.1378	1	730	2058	2857	4205	851	-7.0	200	1	1	241.1627	1	4	
22	0	245.9290	0	460	1105	2857	4205	901	-5.0	200	0	0	249.7852	1	5	
23	0	258.3348	0	460	1105	2857	4205	951	-5.0	200	0	1	258.8627	0	2	
24	1	275.9668	0	460	1105	2857	4205	951	-5.0	200	0	0	278.0379	1	2	
25	0	291.0259	0	730	2058	2857	4205	501	-7.0	200	1	1	291.8384	1	2	
26	0	295.6671	0	460	1105	2857	4205	601	-5.0	200	0	1	296.3480	0	0	
27	1	303.5884	0	460	1105	2857	4205	601	-5.0	200	0	0	305.4464	1	0	
28	0	314.3655	0	730	2058	2857	4205	651	-7.0	200	1	1	315.0488	1	4	
29	0	318.8327	1	460	1105	2857	4205	801	-5.0	200	0	1	319.8950	0	3	
30	1	333.4687	0	460	1105	2857	4205	801	-5.0	200	0	0	334.6774	1	3	
31	0	342.3312	0	730	2058	2857	4205	901	-7.0	200	1	1	342.9904	1	3	
32	0	348.0517	0	460	1105	2857	4205	751	-5.0	200	0	0	349.1000	1	4	
33	0	356.8105	0	460	1105	2857	4205	651	-5.0	200	0	0	357.9008	1	5	
34	0	367.0310	0	730	2058	2857	4205	851	-7.0	200	1	1	367.4609	1	2	
35	0	372.4493	0	460	1105	2857	4205	601	-5.0	200	0	0	373.3191	1	1	
36	0	381.6251	1	730	2058	2857	4205	551	-7.0	200	1	1	387.0283	1	5	
37	0	391.5992	0	460	1105	2857	4205	1001	-5.0	200	0	0	392.5913	1	0	
38	0	400.9424	1	730	2058	2857	4205	951	-7.0	200	1	1	401.5522	1	5	
39	0	406.0882	0	460	1105	2857	4205	701	-5.0	200	0	1	408.3920	0	0	
40	1	416.2773	0	460	1105	2857	4205	701	-5.0	200	0	0	422.0453	1	0	
41	0	430.4247	0	730	2058	2857	4205	701	-7.0	200	1	1	431.4401	1	1	
42	0	435.9858	0	730	2058	2857	4205	651	-7.0	200	1	1	436.8742	1	5	
43	0	441.2458	0	730	2058	2857	4205	551	-7.0	200	1	0	442.6336	0	0	
44	1	449.6797	0	730	2058	2857	4205	551	-7.0	200	1	1	450.7724	1	0	
45	0	454.1816	0	730	2058	2857	4205	801	-7.0	200	1	1	454.8961	1	2	
46	0	459.4101	0	730	2058	2857	4205	851	-7.0	200	1	1	460.4942	1	0	
47	0	465.4934	0	460	1105	2857	4205	751	-5.0	200	0	0	466.7699	1	4	
48	0	475.5272	0	460	1105	2857	4205	501	-5.0	200	0	0	477.2957	1	5	
49	0	485.6552	0	730	2058	2857	4205	901	-7.0	200	1	1	486.1974	1	3	
50	0	499.5574	0	460	1105	2857	4205	951	-5.0	200	0	0	501.1491	1	5	
51	0	507.3619	0	460	1105	2857	4205	1001	-5.0	200	0	1	507.8559	0	0	
52	1	515.6192	0	460	1105	2857	4205	1001	-5.0	200	0	0	516.9157	1	0	
53	0	529.2552	0	460	1105	2857	4205	501	-5.0	200	0	0	530.9406	1	2	
54	0	536.8949	0	460	1105	2857	4205	951	-5.0	200	0	0	538.3510	1	0	
55	0	545.3323	0	730	2058	2857	4205	801	-7.0	200	1	1	545.8675	1	2	
56	0	550.3644	0	460	1105	2857	4205	701	-5.0	200	0	1	551.4896	0	4	
57	1	560.0991	0	460	1105	2857	4205	701	-5.0	200	0	0	562.4065	1	4	
58	0	568.0555	0	730	2058	2857	4205	1001	-7.0	200	1	1	568.6755	1	4	
