Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	6.8488	0	460	1105	2857	4205	901	-5.0	200	0	1	9.0840	0	4	
2	1	20.0521	0	460	1105	2857	4205	901	-5.0	200	0	0	21.2608	1	4	
3	0	28.0573	0	730	2058	2857	4205	501	-7.0	200	1	1	28.7710	1	0	
4	0	33.6453	0	460	1105	2857	4205	751	-5.0	200	0	1	34.2574	0	0	
5	1	43.3350	0	460	1105	2857	4205	751	-5.0	200	0	0	44.2190	1	0	
6	0	55.4661	0	460	1105	2857	4205	801	-5.0	200	0	1	57.3066	0	2	
7	1	65.9028	0	460	1105	2857	4205	801	-5.0	200	0	1	66.7346	0	2	
8	1	75.3011	0	460	1105	2857	4205	801	-5.0	200	0	0	76.5191	1	2	
9	0	82.8606	0	730	2058	2857	4205	601	-7.0	200	1	1	83.6267	1	1	
10	0	88.7524	0	730	2058	2857	4205	1001	-7.0	200	1	1	89.5186	1	5	
11	0	95.5324	0	460	1105	2857	4205	651	-5.0	200	0	0	96.9186	1	3	
12	0	105.5224	0	730	2058	2857	4205	851	-7.0	200	1	0	106.5325	0	0	
13	1	115.1952	0	730	2058	2857	4205	851	-7.0	200	1	1	115.9543	1	0	
14	0	121.2062	0	730	2058	2857	4205	951	-7.0	200	1	1	122.1512	1	4	
15	0	127.3277	0	730	2058	2857	4205	551	-7.0	200	1	0	128.6178	0	2	
16	1	137.0216	0	730	2058	2857	4205	551	-7.0	200	1	1	138.1570	1	2	
17	0	143.2689	0	460	1105	2857	4205	601	-5.0	200	0	0	144.5197	1	5	
18	0	152.7534	0	460	1105	2857	4205	851	-5.0	200	0	0	153.6340	1	0	
19	0	162.4167	0	730	2058	2857	4205	551	-7.0	200	1	1	163.1214	1	0	
20	0	167.8497	0	460	1105	2857	4205	501	-5.0	200	0	0	169.0188	1	3	
21	0	176.3108	0	730	2058	2857	4205	701	-7.0	200	1	1	177.1636	1	2	
