Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	75.2172	0	460	1105	2857	4205	901	-10.0	200	0	0	76.4005	1	3	
2	0	78.4502	0	460	1105	2857	4205	851	-10.0	200	0	0	78.9754	1	1	
3	0	82.0216	0	460	1105	2857	4205	751	-10.0	200	0	1	83.0362	0	2	
4	1	96.2221	0	460	1105	2857	4205	751	-10.0	200	0	0	104.2719	1	2	
5	0	110.5993	0	730	2058	2857	4205	601	-12.0	200	1	0	111.4957	0	0	
6	1	118.8534	0	730	2058	2857	4205	601	-12.0	200	1	1	119.6460	1	0	
7	0	125.1258	0	460	1105	2857	4205	1001	-10.0	200	0	0	125.4880	1	2	
8	0	130.7671	0	460	1105	2857	4205	651	-10.0	200	0	0	131.2126	1	1	
9	0	138.4953	0	730	2058	2857	4205	801	-12.0	200	1	0	138.7337	0	1	
10	1	145.5722	0	730	2058	2857	4205	801	-12.0	200	1	1	146.0505	1	1	
11	0	150.7566	0	730	2058	2857	4205	501	-12.0	200	1	0	151.2340	0	2	
12	1	161.3664	0	730	2058	2857	4205	501	-12.0	200	1	1	163.3967	1	2	
13	0	180.1418	0	460	1105	2857	4205	951	-10.0	200	0	1	180.7023	0	2	
14	1	192.7427	0	460	1105	2857	4205	951	-10.0	200	0	1	193.0092	0	2	
15	1	202.8095	0	460	1105	2857	4205	951	-10.0	200	0	1	202.9738	0	2	
16	1	211.7025	1	460	1105	2857	4205	951	-10.0	200	0	0	212.2124	1	2	
17	0	215.6337	0	460	1105	2857	4205	551	-10.0	200	0	0	224.0331	1	0	
18	0	239.1567	0	730	2058	2857	4205	1001	-12.0	200	1	1	239.4525	1	3	
19	0	244.2997	0	730	2058	2857	4205	501	-12.0	200	1	1	244.8636	1	0	
20	0	249.5434	0	730	2058	2857	4205	751	-12.0	200	1	1	250.1902	1	2	
21	0	255.0408	0	730	2058	2857	4205	851	-12.0	200	1	1	255.3858	1	1	
22	0	260.5928	0	460	1105	2857	4205	651	-10.0	200	0	0	260.9231	1	0	
23	0	270.3652	0	460	1105	2857	4205	601	-10.0	200	0	1	271.3745	0	3	
24	1	282.5179	0	460	1105	2857	4205	601	-10.0	200	0	0	283.6497	1	3	
25	0	291.5681	0	730	2058	2857	4205	901	-12.0	200	1	1	294.9436	1	0	
26	0	300.6838	1	730	2058	2857	4205	801	-12.0	200	1	1	300.9082	1	1	
27	0	306.8476	0	460	1105	2857	4205	551	-10.0	200	0	1	308.3090	0	1	
28	1	323.0971	1	460	1105	2857	4205	551	-10.0	200	0	0	323.8611	1	1	
29	0	334.4297	0	730	2058	2857	4205	951	-12.0	200	1	1	335.1013	1	3	
30	0	340.1724	0	460	1105	2857	4205	951	-10.0	200	0	0	340.8114	1	3	
31	0	350.5613	0	730	2058	2857	4205	801	-12.0	200	1	1	350.9117	1	3	
32	0	356.1953	0	730	2058	2857	4205	501	-12.0	200	1	1	356.9046	1	2	
33	0	362.4233	0	460	1105	2857	4205	851	-10.0	200	0	1	363.6243	0	0	
34	1	420.9365	0	460	1105	2857	4205	851	-10.0	200	0	1	430.2664	0	0	
35	1	574.0962	0	460	1105	2857	4205	851	-10.0	200	0	1	579.6395	0	0	
36	1	624.7718	0	460	1105	2857	4205	851	-10.0	200	0	1	628.3630	0	0	
37	1	983.9703	0	460	1105	2857	4205	851	-10.0	200	0	1	988.9364	0	0	
38	1	1024.1590	0	460	1105	2857	4205	851	-10.0	200	0	1	1026.6409	0	0	
