Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	5.4026	0	460	1105	2857	4205	751	-5.0	200	0	1	6.0584	0	0	
2	1	18.5681	0	460	1105	2857	4205	751	-5.0	200	0	1	20.0002	0	0	
3	1	26.2037	0	460	1105	2857	4205	751	-5.0	200	0	0	28.0011	1	0	
4	0	37.7023	0	460	1105	2857	4205	651	-5.0	200	0	1	38.1733	0	1	
5	1	48.5406	0	460	1105	2857	4205	651	-5.0	200	0	1	49.9992	0	1	
6	1	58.3682	0	460	1105	2857	4205	651	-5.0	200	0	0	61.2238	1	1	
7	0	79.1720	0	730	2058	2857	4205	851	-7.0	200	1	1	79.7892	1	1	
8	0	93.4372	0	730	2058	2857	4205	1001	-7.0	200	1	1	93.9245	1	1	
9	0	100.0801	0	460	1105	2857	4205	601	-5.0	200	0	0	101.6471	1	2	
10	0	107.6374	0	730	2058	2857	4205	501	-7.0	200	1	1	108.4211	1	1	
11	0	116.1662	0	730	2058	2857	4205	801	-7.0	200	1	1	116.7508	1	3	
12	0	123.2271	0	730	2058	2857	4205	701	-7.0	200	1	1	123.6142	1	0	
13	0	129.9030	0	460	1105	2857	4205	551	-5.0	200	0	1	130.5174	0	1	
14	1	138.5236	0	460	1105	2857	4205	551	-5.0	200	0	1	139.2757	0	1	
15	1	149.9913	0	460	1105	2857	4205	551	-5.0	200	0	1	151.3022	0	1	
16	1	161.6567	0	460	1105	2857	4205	551	-5.0	200	0	0	163.7570	1	1	
17	0	166.1424	0	730	2058	2857	4205	951	-7.0	200	1	1	166.5521	1	3	
18	0	186.4334	0	460	1105	2857	4205	901	-5.0	200	0	1	186.9485	0	3	
19	1	193.0049	0	460	1105	2857	4205	901	-5.0	200	0	1	193.6927	0	3	
20	1	202.9054	0	460	1105	2857	4205	901	-5.0	200	0	0	204.4005	1	3	
21	0	212.5460	0	460	1105	2857	4205	701	-5.0	200	0	1	212.9370	0	2	
22	1	220.1564	0	460	1105	2857	4205	701	-5.0	200	0	1	221.1599	0	2	
23	1	229.4931	0	460	1105	2857	4205	701	-5.0	200	0	1	230.2707	0	2	
24	1	250.4992	0	460	1105	2857	4205	701	-5.0	200	0	1	251.2856	0	2	
25	1	258.7772	0	460	1105	2857	4205	701	-5.0	200	0	1	259.2492	0	2	
26	1	265.6536	0	460	1105	2857	4205	701	-5.0	200	0	0	267.9337	1	2	
27	0	276.3801	1	460	1105	2857	4205	651	-5.0	200	0	0	277.6455	1	1	
28	0	290.8118	0	730	2058	2857	4205	801	-7.0	200	1	1	291.5994	1	2	
29	0	301.5558	1	730	2058	2857	4205	601	-7.0	200	1	1	302.2400	1	0	
30	0	308.6858	0	730	2058	2857	4205	551	-7.0	200	1	1	314.3643	1	2	
31	0	324.6521	0	460	1105	2857	4205	1001	-5.0	200	0	1	325.1460	0	0	
32	1	331.3869	0	460	1105	2857	4205	1001	-5.0	200	0	0	333.1163	1	0	
33	0	341.1161	1	460	1105	2857	4205	951	-5.0	200	0	0	342.6492	1	0	
34	0	350.6582	0	730	2058	2857	4205	751	-7.0	200	1	1	357.4520	1	2	
35	0	363.0022	0	460	1105	2857	4205	501	-5.0	200	0	1	363.5474	0	3	
36	1	370.3812	0	460	1105	2857	4205	501	-5.0	200	0	0	372.1108	1	3	
37	0	381.1917	0	460	1105	2857	4205	651	-5.0	200	0	0	383.1710	1	3	
38	0	391.8905	0	730	2058	2857	4205	801	-7.0	200	1	0	393.1971	0	3	
39	1	404.9419	0	730	2058	2857	4205	801	-7.0	200	1	1	405.4256	1	3	
40	0	412.3618	0	730	2058	2857	4205	501	-7.0	200	1	1	413.1721	1	0	
41	0	419.7665	0	460	1105	2857	4205	701	-5.0	200	0	1	420.7217	0	2	
42	1	430.3522	0	460	1105	2857	4205	701	-5.0	200	0	0	431.9052	1	2	
43	0	440.5780	0	460	1105	2857	4205	951	-5.0	200	0	0	441.9276	1	2	
44	0	449.8168	0	730	2058	2857	4205	601	-7.0	200	1	0	451.2630	0	0	
45	1	466.0152	0	730	2058	2857	4205	601	-7.0	200	1	1	466.5769	1	0	
46	0	474.1564	0	460	1105	2857	4205	751	-5.0	200	0	0	475.6023	1	1	
47	0	481.0854	0	460	1105	2857	4205	551	-5.0	200	0	0	482.5348	1	2	
48	0	492.3111	0	730	2058	2857	4205	901	-7.0	200	1	1	492.8800	1	2	
49	0	506.4032	0	730	2058	2857	4205	1001	-7.0	200	1	1	506.8359	1	1	
50	0	523.1998	0	460	1105	2857	4205	901	-5.0	200	0	0	524.5796	1	3	
51	0	531.3030	0	730	2058	2857	4205	551	-7.0	200	1	1	532.1479	1	3	
52	0	539.0853	0	460	1105	2857	4205	851	-5.0	200	0	1	539.5907	0	2	
53	1	561.3577	0	460	1105	2857	4205	851	-5.0	200	0	1	562.0616	0	2	
54	1	584.9774	0	460	1105	2857	4205	851	-5.0	200	0	0	586.6014	1	2	
55	0	598.3558	0	730	2058	2857	4205	751	-7.0	200	1	1	599.0855	1	3	
56	0	618.8283	0	460	1105	2857	4205	801	-5.0	200	0	0	619.5182	1	1	
57	0	637.8925	0	730	2058	2857	4205	1001	-7.0	200	1	1	638.4284	1	3	
58	0	645.3857	1	730	2058	2857	4205	501	-7.0	200	1	1	645.8035	1	1	
59	0	651.2378	0	460	1105	2857	4205	601	-5.0	200	0	1	655.2185	0	0	
60	1	661.8365	0	460	1105	2857	4205	601	-5.0	200	0	0	663.6813	1	0	
61	0	672.9089	1	730	2058	2857	4205	951	-7.0	200	1	1	673.3403	1	0	
62	0	680.0441	0	730	2058	2857	4205	701	-7.0	200	1	1	684.2524	1	2	
63	0	691.1264	0	460	1105	2857	4205	851	-5.0	200	0	1	692.3009	0	3	
64	1	699.6985	0	460	1105	2857	4205	851	-5.0	200	0	1	700.1281	0	3	
65	1	708.7798	0	460	1105	2857	4205	851	-5.0	200	0	1	709.2622	0	3	
66	1	715.3867	0	460	1105	2857	4205	851	-5.0	200	0	1	716.0329	0	3	
67	1	722.9109	0	460	1105	2857	4205	851	-5.0	200	0	0	727.0277	1	3	
68	0	732.1236	0	460	1105	2857	4205	951	-5.0	200	0	1	732.6251	0	3	
69	1	755.1462	0	460	1105	2857	4205	951	-5.0	200	0	1	755.5379	0	3	
