Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	14.4234	1	936	1551	2975	4263	511	-20.0	200	1	1	24.7362	1	2	
2	0	29.0797	0	437	2761	2975	4263	505	-10.5	200	0	0	30.6977	1	5	
3	0	34.4775	1	936	1551	2975	4263	504	-20.0	200	1	1	36.5067	1	5	
4	0	39.1313	0	936	1551	2975	4263	501	-11.0	200	1	1	40.0330	1	5	
5	0	42.8446	1	936	1551	2975	4263	502	-11.0	200	1	1	45.6712	1	1	
6	0	49.1463	0	437	2761	2975	4263	509	-12.8	200	0	0	50.6205	1	5	
7	0	55.6608	0	936	1551	2975	4263	507	-20.0	200	1	1	56.3079	1	3	
8	0	58.9628	0	936	1551	2975	4263	506	-11.0	200	1	0	60.2688	0	2	
9	1	70.5801	0	936	1551	2975	4263	506	-11.0	200	1	1	71.3275	1	2	
10	0	74.2785	0	437	2761	2975	4263	503	-6.0	200	0	1	75.2653	0	1	
11	1	79.0935	1	437	2761	2975	4263	503	-6.0	200	0	0	81.5456	1	1	
12	0	85.1984	1	437	2761	2975	4263	510	-10.5	200	0	0	87.6645	1	2	
13	0	91.8281	0	437	2761	2975	4263	509	-6.0	200	0	1	92.5424	0	4	
14	1	96.1985	0	437	2761	2975	4263	509	-6.0	200	0	0	97.3909	1	4	
15	0	101.9991	0	936	1551	2975	4263	504	-11.0	200	1	0	103.0075	0	3	
16	1	105.0311	0	936	1551	2975	4263	504	-11.0	200	1	1	105.7293	1	3	
17	0	108.6927	0	437	2761	2975	4263	511	-15.0	200	0	0	109.8761	1	5	
18	0	113.9875	0	936	1551	2975	4263	502	-20.0	200	1	1	114.6385	1	4	
19	0	117.5639	0	936	1551	2975	4263	505	-13.3	200	1	1	118.4525	1	3	
20	0	121.9488	1	936	1551	2975	4263	503	-20.0	200	1	0	123.8750	0	0	
21	1	128.5566	0	936	1551	2975	4263	503	-20.0	200	1	1	128.7560	1	0	
22	0	131.3160	1	936	1551	2975	4263	508	-13.3	200	1	1	133.2046	1	0	
23	0	136.3018	1	437	2761	2975	4263	510	-10.5	200	0	1	138.5071	0	1	
24	1	142.5420	0	437	2761	2975	4263	510	-10.5	200	0	0	143.8049	1	1	
25	0	149.9641	1	936	1551	2975	4263	501	-17.8	200	1	1	150.4211	1	3	
26	0	153.1653	1	437	2761	2975	4263	506	-15.0	200	0	1	155.9555	0	4	
27	1	159.9384	0	437	2761	2975	4263	506	-15.0	200	0	0	160.6948	1	4	
28	0	165.0409	1	437	2761	2975	4263	511	-15.0	200	0	1	166.9873	0	0	
29	1	173.2197	0	437	2761	2975	4263	511	-15.0	200	0	1	173.8087	0	0	
30	1	177.2784	0	437	2761	2975	4263	511	-15.0	200	0	0	178.1879	1	0	
31	0	182.1526	1	936	1551	2975	4263	502	-11.0	200	1	1	182.8661	1	0	
32	0	185.3885	0	437	2761	2975	4263	505	-10.5	200	0	1	186.9257	0	3	
33	1	190.5376	1	437	2761	2975	4263	505	-10.5	200	0	0	193.0534	1	3	
34	0	198.0580	0	437	2761	2975	4263	510	-12.8	200	0	0	199.1449	1	3	
35	0	203.0451	0	437	2761	2975	4263	503	-15.0	200	0	1	203.7676	0	2	
36	1	207.7436	1	437	2761	2975	4263	503	-15.0	200	0	0	210.0492	1	2	
37	0	214.1027	1	936	1551	2975	4263	507	-15.5	200	1	0	217.8965	0	1	
38	1	219.8736	0	936	1551	2975	4263	507	-15.5	200	1	1	220.0862	1	1	
39	0	224.4984	1	936	1551	2975	4263	504	-13.3	200	1	1	226.5568	1	5	
40	0	229.7983	0	936	1551	2975	4263	506	-15.5	200	1	0	231.3467	0	4	
41	1	235.4593	1	936	1551	2975	4263	506	-15.5	200	1	1	238.5447	1	4	
42	0	241.5784	1	936	1551	2975	4263	508	-11.0	200	1	1	243.4485	1	4	
43	0	246.2970	1	936	1551	2975	4263	509	-17.8	200	1	1	248.6311	1	5	
44	0	251.7071	1	437	2761	2975	4263	506	-10.5	200	0	0	254.1707	1	0	
45	0	257.2088	1	437	2761	2975	4263	504	-6.0	200	0	0	260.2818	1	3	
46	0	265.1944	0	437	2761	2975	4263	502	-8.3	200	0	1	266.1602	0	4	
47	1	267.9061	0	437	2761	2975	4263	502	-8.3	200	0	1	269.1006	0	4	
48	1	274.8731	1	437	2761	2975	4263	502	-8.3	200	0	0	277.0503	1	4	
49	0	281.2565	1	437	2761	2975	4263	505	-12.8	200	0	0	284.5823	1	4	
50	0	289.7415	1	437	2761	2975	4263	503	-15.0	200	0	0	292.2171	1	1	
51	0	295.7959	0	437	2761	2975	4263	509	-15.0	200	0	0	297.3117	1	3	
52	0	303.2256	1	936	1551	2975	4263	508	-20.0	200	1	1	304.1307	1	1	
53	0	306.7971	1	936	1551	2975	4263	511	-15.5	200	1	1	309.9361	1	0	
54	0	313.0912	0	936	1551	2975	4263	501	-13.3	200	1	1	314.0197	1	4	
55	0	316.9726	0	936	1551	2975	4263	507	-15.5	200	1	1	317.7476	1	2	
56	0	321.6921	1	437	2761	2975	4263	510	-12.8	200	0	0	324.1423	1	2	
57	0	327.1981	1	437	2761	2975	4263	503	-8.3	200	0	0	329.4228	1	5	
58	0	331.9698	1	936	1551	2975	4263	508	-13.3	200	1	0	332.3590	0	1	
59	1	335.9550	0	936	1551	2975	4263	508	-13.3	200	1	0	336.0459	0	1	
60	1	338.9130	1	936	1551	2975	4263	508	-13.3	200	1	0	338.9647	0	1	
61	1	342.6833	1	936	1551	2975	4263	508	-13.3	200	1	0	342.8052	0	1	
62	1	346.5632	1	936	1551	2975	4263	508	-13.3	200	1	0	346.6457	0	1	
63	1	350.3920	1	936	1551	2975	4263	508	-13.3	200	1	1	353.4278	1	1	
64	0	358.2027	0	437	2761	2975	4263	509	-12.8	200	0	0	359.8069	1	0	
65	0	363.7964	0	936	1551	2975	4263	502	-13.3	200	1	0	364.8456	0	2	
66	1	366.6214	1	936	1551	2975	4263	502	-13.3	200	1	0	368.5870	0	2	
67	1	371.2763	1	936	1551	2975	4263	502	-13.3	200	1	1	373.7315	1	2	
68	0	384.0769	1	437	2761	2975	4263	501	-6.0	200	0	0	386.4972	1	5	
69	0	389.9169	0	437	2761	2975	4263	507	-8.3	200	0	0	391.3459	1	0	
70	0	396.2662	0	437	2761	2975	4263	506	-12.8	200	0	1	397.2175	0	1	
71	1	404.9623	0	437	2761	2975	4263	506	-12.8	200	0	1	405.4993	0	1	
72	1	409.4738	1	437	2761	2975	4263	506	-12.8	200	0	0	411.9427	1	1	
73	0	416.3086	1	936	1551	2975	4263	511	-17.8	200	1	1	418.2561	1	4	
74	0	420.9086	1	936	1551	2975	4263	504	-17.8	200	1	1	423.5206	1	1	
75	0	426.7980	1	437	2761	2975	4263	511	-10.5	200	0	0	428.7467	1	4	
76	0	433.2128	1	936	1551	2975	4263	510	-15.5	200	1	1	436.0752	1	5	
77	0	438.7918	0	437	2761	2975	4263	503	-8.3	200	0	0	440.6383	1	3	
78	0	447.3640	0	437	2761	2975	4263	507	-8.3	200	0	0	448.3706	1	1	
79	0	451.5099	0	437	2761	2975	4263	504	-8.3	200	0	1	452.1844	0	2	
80	1	456.7958	0	437	2761	2975	4263	504	-8.3	200	0	0	457.9983	1	2	
81	0	464.1126	0	437	2761	2975	4263	501	-6.0	200	0	1	465.0652	0	0	
82	1	471.8599	0	437	2761	2975	4263	501	-6.0	200	0	0	472.6876	1	0	
83	0	476.0797	1	936	1551	2975	4263	508	-17.8	200	1	1	476.8100	1	2	
84	0	479.6617	1	437	2761	2975	4263	502	-6.0	200	0	1	482.3171	0	2	
85	1	486.7328	0	437	2761	2975	4263	502	-6.0	200	0	0	488.3469	1	2	
86	0	492.3654	0	936	1551	2975	4263	505	-17.8	200	1	0	493.2389	0	0	
87	1	495.0487	0	936	1551	2975	4263	505	-17.8	200	1	1	496.1046	1	0	
88	0	498.6309	1	936	1551	2975	4263	509	-15.5	200	1	1	500.2360	1	3	
89	0	502.8614	0	936	1551	2975	4263	509	-11.0	200	1	1	503.9258	1	4	
90	0	507.7380	0	936	1551	2975	4263	507	-17.8	200	1	1	508.7796	1	2	
91	0	511.7763	0	936	1551	2975	4263	503	-17.8	200	1	0	513.4160	0	4	
92	1	516.8070	1	936	1551	2975	4263	503	-17.8	200	1	1	519.0441	1	4	
