Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	13.8807	0	460	1105	2857	4205	701	-15.0	200	1	0	15.4020	0	4	
2	1	20.3904	0	460	1105	2857	4205	701	-15.0	200	1	1	22.7642	1	4	
3	0	28.0995	0	460	1105	2857	4205	551	-15.0	200	1	1	28.7399	1	5	
4	0	33.3218	0	460	1105	2857	4205	501	-15.0	200	1	1	33.6458	1	0	
5	0	40.0514	0	460	1105	2857	4205	801	-15.0	200	1	1	40.2555	1	3	
6	0	49.8553	0	730	2058	2857	4205	901	-17.0	200	0	1	50.1014	0	3	
7	1	54.1716	0	730	2058	2857	4205	901	-17.0	200	0	0	54.8209	1	3	
8	0	60.1137	0	730	2058	2857	4205	851	-17.0	200	0	0	60.3605	1	0	
9	0	66.1849	0	730	2058	2857	4205	1001	-17.0	200	0	0	66.4386	1	1	
10	0	71.6946	1	460	1105	2857	4205	651	-15.0	200	1	1	72.0853	1	2	
11	0	76.8586	0	730	2058	2857	4205	951	-17.0	200	0	1	78.2566	0	4	
12	1	85.9098	0	730	2058	2857	4205	951	-17.0	200	0	0	86.3104	1	4	
13	0	90.9063	1	730	2058	2857	4205	751	-17.0	200	0	0	91.1469	1	0	
14	0	96.2801	0	460	1105	2857	4205	651	-15.0	200	1	0	98.8798	0	5	
15	1	103.5842	1	460	1105	2857	4205	651	-15.0	200	1	1	103.8652	1	5	
16	0	108.6821	0	730	2058	2857	4205	901	-17.0	200	0	1	110.5277	0	4	
17	1	115.1195	0	730	2058	2857	4205	901	-17.0	200	0	0	115.5487	1	4	
18	0	119.7927	0	730	2058	2857	4205	851	-17.0	200	0	0	119.9115	1	2	
19	0	124.3861	0	730	2058	2857	4205	1001	-17.0	200	0	0	124.5789	1	3	
20	0	130.1983	0	460	1105	2857	4205	801	-15.0	200	1	0	130.4071	0	0	
21	1	135.5490	0	460	1105	2857	4205	801	-15.0	200	1	1	135.7557	1	0	
22	0	140.0073	1	730	2058	2857	4205	701	-17.0	200	0	0	140.3103	1	0	
23	0	144.6869	0	460	1105	2857	4205	951	-15.0	200	1	0	146.8369	0	2	
24	1	155.6282	0	460	1105	2857	4205	951	-15.0	200	1	1	155.8333	1	2	
25	0	160.7059	0	460	1105	2857	4205	751	-15.0	200	1	1	161.3979	1	4	
26	0	164.8952	0	460	1105	2857	4205	551	-15.0	200	1	1	165.1730	1	1	
27	0	169.9863	0	730	2058	2857	4205	501	-17.0	200	0	1	170.5508	0	5	
28	1	176.0893	0	730	2058	2857	4205	501	-17.0	200	0	0	176.5510	1	5	
29	0	181.9075	0	730	2058	2857	4205	751	-17.0	200	0	0	182.1825	1	2	
30	0	187.5866	1	460	1105	2857	4205	951	-15.0	200	1	1	188.0994	1	3	
31	0	191.8471	0	460	1105	2857	4205	851	-15.0	200	1	1	193.3492	1	4	
32	0	197.5768	1	460	1105	2857	4205	701	-15.0	200	1	1	197.8120	1	5	
33	0	201.2987	0	730	2058	2857	4205	601	-17.0	200	0	1	203.3182	0	5	
34	1	207.4621	0	730	2058	2857	4205	601	-17.0	200	0	0	207.8783	1	5	
35	0	214.3518	0	460	1105	2857	4205	551	-15.0	200	1	1	214.9159	1	1	
36	0	218.8311	0	730	2058	2857	4205	651	-17.0	200	0	0	219.1320	1	4	
37	0	223.2528	0	730	2058	2857	4205	801	-17.0	200	0	0	223.4192	1	2	
38	0	230.0683	0	730	2058	2857	4205	501	-17.0	200	0	1	230.6818	0	1	
39	1	236.6636	0	730	2058	2857	4205	501	-17.0	200	0	1	237.0594	0	1	
40	1	241.7928	0	730	2058	2857	4205	501	-17.0	200	0	1	242.1352	0	1	
41	1	246.0988	0	730	2058	2857	4205	501	-17.0	200	0	1	246.6337	0	1	
42	1	250.2478	0	730	2058	2857	4205	501	-17.0	200	0	0	251.2152	1	1	
43	0	258.9628	0	730	2058	2857	4205	901	-17.0	200	0	0	259.1513	1	5	
44	0	264.8945	0	730	2058	2857	4205	501	-17.0	200	0	1	265.6194	0	1	
45	1	269.7490	0	730	2058	2857	4205	501	-17.0	200	0	0	270.2948	1	1	
46	0	275.2340	0	730	2058	2857	4205	551	-17.0	200	0	0	275.6683	1	3	
47	0	283.7337	0	460	1105	2857	4205	951	-15.0	200	1	1	284.2246	1	1	
48	0	288.4785	1	460	1105	2857	4205	701	-15.0	200	1	0	288.8559	0	0	
49	1	296.6734	0	460	1105	2857	4205	701	-15.0	200	1	0	297.4540	0	0	
50	1	302.1544	0	460	1105	2857	4205	701	-15.0	200	1	1	302.4126	1	0	
51	0	306.8698	0	460	1105	2857	4205	751	-15.0	200	1	1	307.1699	1	2	
52	0	311.9320	0	460	1105	2857	4205	601	-15.0	200	1	1	312.2788	1	3	
53	0	324.4098	0	730	2058	2857	4205	1001	-17.0	200	0	0	324.6757	1	0	
54	0	330.5716	0	730	2058	2857	4205	901	-17.0	200	0	0	330.7152	1	0	
55	0	337.2906	0	460	1105	2857	4205	851	-15.0	200	1	1	337.5565	1	1	
56	0	341.1964	0	460	1105	2857	4205	801	-15.0	200	1	1	341.3703	1	0	
57	0	346.9377	0	730	2058	2857	4205	751	-17.0	200	0	1	347.4654	0	1	
58	1	351.5545	0	730	2058	2857	4205	751	-17.0	200	0	0	351.9080	1	1	
59	0	355.8772	0	460	1105	2857	4205	551	-15.0	200	1	1	356.4410	1	4	
60	0	363.3322	0	460	1105	2857	4205	1001	-15.0	200	1	1	363.5231	1	5	
61	0	373.6236	0	730	2058	2857	4205	901	-17.0	200	0	0	374.2192	1	5	
62	0	377.8898	0	730	2058	2857	4205	651	-17.0	200	0	0	378.2483	1	0	
63	0	384.2612	0	730	2058	2857	4205	851	-17.0	200	0	1	385.0486	0	5	
64	1	391.8980	0	730	2058	2857	4205	851	-17.0	200	0	0	392.4285	1	5	
65	0	396.8645	0	460	1105	2857	4205	601	-15.0	200	1	0	397.2185	0	0	
66	1	401.7424	0	460	1105	2857	4205	601	-15.0	200	1	1	402.0408	1	0	
67	0	405.4102	0	460	1105	2857	4205	501	-15.0	200	1	1	405.8931	1	1	
68	0	409.6120	0	460	1105	2857	4205	951	-15.0	200	1	1	409.8676	1	2	
69	0	413.1735	0	730	2058	2857	4205	701	-17.0	200	0	0	413.8992	1	4	
70	0	418.5477	0	730	2058	2857	4205	651	-17.0	200	0	1	419.1567	0	1	
71	1	423.6289	0	730	2058	2857	4205	651	-17.0	200	0	1	424.0162	0	1	
72	1	429.7617	0	730	2058	2857	4205	651	-17.0	200	0	0	430.1765	1	1	
73	0	435.1219	0	730	2058	2857	4205	551	-17.0	200	0	0	435.4953	1	2	
74	0	440.2715	0	460	1105	2857	4205	701	-15.0	200	1	1	440.5510	1	2	
75	0	452.4713	0	460	1105	2857	4205	951	-15.0	200	1	1	452.8584	1	3	
76	0	456.2482	1	460	1105	2857	4205	851	-15.0	200	1	1	456.6811	1	4	
77	0	459.8856	0	460	1105	2857	4205	1001	-15.0	200	1	1	461.1113	1	4	
78	0	464.7496	0	730	2058	2857	4205	801	-17.0	200	0	0	465.0949	1	2	
79	0	471.3843	0	730	2058	2857	4205	901	-17.0	200	0	0	471.6311	1	4	
80	0	475.4742	0	460	1105	2857	4205	501	-15.0	200	1	1	476.3188	1	5	
81	0	479.3038	0	460	1105	2857	4205	601	-15.0	200	1	1	479.6211	1	1	
82	0	482.9954	0	730	2058	2857	4205	501	-17.0	200	0	0	483.3862	1	4	
83	0	487.7708	0	730	2058	2857	4205	651	-17.0	200	0	1	488.5792	0	3	
84	1	495.8269	1	730	2058	2857	4205	651	-17.0	200	0	0	496.2410	1	3	
85	0	500.4445	0	730	2058	2857	4205	951	-17.0	200	0	0	502.5443	1	2	
86	0	507.4118	0	730	2058	2857	4205	901	-17.0	200	0	0	507.9114	1	5	
87	0	511.8000	0	460	1105	2857	4205	851	-15.0	200	1	1	512.1785	1	5	
88	0	515.1213	0	460	1105	2857	4205	551	-15.0	200	1	1	515.6470	1	3	
89	0	518.7522	0	460	1105	2857	4205	701	-15.0	200	1	0	519.4543	0	0	
90	1	524.2550	0	460	1105	2857	4205	701	-15.0	200	1	1	524.9399	1	0	
91	0	527.9086	0	460	1105	2857	4205	601	-15.0	200	1	1	529.0075	1	3	
92	0	533.7070	0	460	1105	2857	4205	1001	-15.0	200	1	1	534.0670	1	2	
93	0	537.6768	0	730	2058	2857	4205	801	-17.0	200	0	0	538.1739	1	3	
94	0	542.3003	0	730	2058	2857	4205	851	-17.0	200	0	0	542.7127	1	3	
95	0	546.3521	0	730	2058	2857	4205	901	-17.0	200	0	1	546.7561	0	1	
96	1	561.4907	0	730	2058	2857	4205	901	-17.0	200	0	0	562.1156	1	1	
97	0	566.6404	0	460	1105	2857	4205	951	-15.0	200	1	1	567.1155	1	2	
98	0	570.3373	0	730	2058	2857	4205	751	-17.0	200	0	0	571.4534	1	2	
99	0	575.0374	0	730	2058	2857	4205	701	-17.0	200	0	0	575.5013	1	0	
100	0	580.3749	0	460	1105	2857	4205	1001	-15.0	200	1	1	587.7296	1	1	
101	0	591.0367	0	460	1105	2857	4205	801	-15.0	200	1	1	591.3825	1	3	
102	0	596.2852	0	730	2058	2857	4205	601	-17.0	200	0	0	597.0362	1	4	
103	0	601.3631	0	730	2058	2857	4205	501	-17.0	200	0	1	601.9717	0	5	
104	1	619.7307	0	730	2058	2857	4205	501	-17.0	200	0	1	619.9445	0	5	
105	1	656.9244	0	730	2058	2857	4205	501	-17.0	200	0	0	657.8463	1	5	
