Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	26.8107	0	730	2058	2857	4205	601	-17.0	200	0	1	30.2070	0	2	
2	1	37.8020	0	730	2058	2857	4205	601	-17.0	200	0	1	38.5819	0	2	
3	1	42.4386	0	730	2058	2857	4205	601	-17.0	200	0	0	44.1074	1	2	
4	0	51.7723	0	460	1105	2857	4205	801	-15.0	200	1	0	54.3283	0	3	
5	1	59.4209	0	460	1105	2857	4205	801	-15.0	200	1	1	59.9965	1	3	
6	0	71.1936	0	460	1105	2857	4205	851	-15.0	200	1	0	72.7944	0	2	
7	1	79.3775	0	460	1105	2857	4205	851	-15.0	200	1	0	81.3488	0	2	
8	1	88.0711	0	460	1105	2857	4205	851	-15.0	200	1	1	88.9722	1	2	
9	0	101.6675	0	460	1105	2857	4205	1001	-15.0	200	1	0	103.0118	0	0	
10	1	112.3935	0	460	1105	2857	4205	1001	-15.0	200	1	1	116.9455	1	0	
11	0	130.5439	0	460	1105	2857	4205	651	-15.0	200	1	1	131.0270	1	2	
12	0	142.2810	0	460	1105	2857	4205	551	-15.0	200	1	1	143.0948	1	5	
13	0	151.5353	0	460	1105	2857	4205	901	-15.0	200	1	0	152.6004	0	0	
14	1	165.7308	0	460	1105	2857	4205	901	-15.0	200	1	1	170.3635	1	0	
15	0	191.9632	0	730	2058	2857	4205	951	-17.0	200	0	1	192.2481	0	3	
16	1	201.6480	1	730	2058	2857	4205	951	-17.0	200	0	0	204.0266	1	3	
17	0	210.2002	0	460	1105	2857	4205	751	-15.0	200	1	0	213.3513	0	1	
18	1	218.4324	0	460	1105	2857	4205	751	-15.0	200	1	1	218.9280	1	1	
19	0	220.8508	0	460	1105	2857	4205	701	-15.0	200	1	1	221.3188	1	5	
20	0	244.9389	0	730	2058	2857	4205	651	-17.0	200	0	0	247.5801	1	4	
21	0	258.2613	0	730	2058	2857	4205	601	-17.0	200	0	0	259.0444	1	3	
22	0	264.9422	0	730	2058	2857	4205	751	-17.0	200	0	0	265.8369	1	5	
23	0	271.9652	0	460	1105	2857	4205	801	-15.0	200	1	0	272.7518	0	4	
