Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	1.3338	1	936	1551	2975	4263	501	-6.0	200	0	0	2.8402	1	1	
2	0	6.5125	1	437	2761	2975	4263	511	-15.0	200	1	0	8.1107	0	4	
3	1	10.5977	1	437	2761	2975	4263	511	-15.0	200	1	0	14.3162	0	4	
4	1	16.3026	1	437	2761	2975	4263	511	-15.0	200	1	0	19.7373	0	4	
5	1	22.1525	0	437	2761	2975	4263	511	-15.0	200	1	1	23.3465	1	4	
6	0	25.2059	1	936	1551	2975	4263	505	-10.5	200	0	0	27.6957	1	3	
7	0	31.0949	0	936	1551	2975	4263	504	-8.3	200	0	0	32.0708	1	2	
8	0	35.1304	0	437	2761	2975	4263	510	-15.0	200	1	1	36.2431	1	1	
9	0	39.2023	0	437	2761	2975	4263	507	-6.0	200	1	1	40.4928	1	1	
10	0	43.4728	1	437	2761	2975	4263	506	-8.3	200	1	0	45.2446	0	0	
11	1	47.7174	1	437	2761	2975	4263	506	-8.3	200	1	1	50.8743	1	0	
12	0	58.7606	1	437	2761	2975	4263	502	-6.0	200	1	0	61.2022	0	0	
13	1	63.3367	1	437	2761	2975	4263	502	-6.0	200	1	1	65.6390	1	0	
14	0	69.7716	1	936	1551	2975	4263	503	-10.5	200	0	0	72.3504	1	4	
15	0	75.4772	0	936	1551	2975	4263	509	-12.8	200	0	0	76.3749	1	5	
16	0	79.4654	0	437	2761	2975	4263	507	-10.5	200	1	1	80.6489	1	5	
17	0	85.0842	1	437	2761	2975	4263	502	-10.5	200	1	0	87.8321	0	1	
18	1	90.0102	1	437	2761	2975	4263	502	-10.5	200	1	1	92.1088	1	1	
19	0	98.7901	1	437	2761	2975	4263	509	-15.0	200	1	0	103.2766	0	5	
20	1	105.5112	1	437	2761	2975	4263	509	-15.0	200	1	1	107.3215	1	5	
21	0	112.5479	0	437	2761	2975	4263	503	-15.0	200	1	1	113.7061	1	2	
22	0	119.5852	1	437	2761	2975	4263	508	-12.8	200	1	1	122.2074	1	4	
23	0	127.3704	0	936	1551	2975	4263	510	-10.5	200	0	0	128.3200	1	0	
24	0	131.2628	0	437	2761	2975	4263	501	-6.0	200	1	0	132.2913	0	5	
25	1	134.6815	0	437	2761	2975	4263	501	-6.0	200	1	1	135.9064	1	5	
26	0	141.6894	1	437	2761	2975	4263	511	-10.5	200	1	0	143.7646	0	0	
27	1	147.6267	1	437	2761	2975	4263	511	-10.5	200	1	1	150.3128	1	0	
28	0	155.2898	1	936	1551	2975	4263	504	-8.3	200	0	0	157.0075	1	4	
29	0	160.0658	0	437	2761	2975	4263	506	-12.8	200	1	0	161.0829	0	3	
30	1	163.3498	0	437	2761	2975	4263	506	-12.8	200	1	1	164.2858	1	3	
31	0	168.4914	0	936	1551	2975	4263	502	-15.0	200	0	0	169.4700	1	3	
32	0	172.6758	1	936	1551	2975	4263	508	-15.0	200	0	0	174.0251	1	1	
33	0	177.1767	0	437	2761	2975	4263	511	-6.0	200	1	0	178.2354	0	2	
34	1	180.6216	0	437	2761	2975	4263	511	-6.0	200	1	1	181.6583	1	2	
35	0	186.8034	0	936	1551	2975	4263	509	-12.8	200	0	0	187.5139	1	4	
36	0	190.7871	0	437	2761	2975	4263	506	-12.8	200	1	1	192.0184	1	5	
37	0	196.3295	1	936	1551	2975	4263	507	-12.8	200	0	0	197.3033	1	0	
38	0	200.3000	0	437	2761	2975	4263	503	-12.8	200	1	1	201.1086	1	1	
39	0	206.7244	1	437	2761	2975	4263	504	-8.3	200	1	1	210.1161	1	1	
40	0	213.8792	0	936	1551	2975	4263	505	-15.0	200	0	0	214.6246	1	4	
41	0	218.2901	0	936	1551	2975	4263	510	-10.5	200	0	0	219.1487	1	2	
42	0	222.2301	1	437	2761	2975	4263	504	-8.3	200	1	1	224.7938	1	5	
43	0	231.7402	0	437	2761	2975	4263	508	-10.5	200	1	1	233.0151	1	3	
44	0	239.0206	0	936	1551	2975	4263	511	-10.5	200	0	0	239.8901	1	5	
45	0	242.7493	1	437	2761	2975	4263	501	-10.5	200	1	0	245.3337	0	2	
46	1	247.0592	1	437	2761	2975	4263	501	-10.5	200	1	1	249.8835	1	2	
47	0	255.6031	0	936	1551	2975	4263	503	-15.0	200	0	0	256.6464	1	5	
48	0	259.9500	1	936	1551	2975	4263	509	-6.0	200	0	1	262.9100	0	3	
49	1	265.0308	0	936	1551	2975	4263	509	-6.0	200	0	0	265.9646	1	3	
50	0	269.0903	0	936	1551	2975	4263	510	-12.8	200	0	0	270.0491	1	3	
51	0	274.1581	0	936	1551	2975	4263	502	-8.3	200	0	0	274.9506	1	3	
52	0	278.2845	1	437	2761	2975	4263	507	-8.3	200	1	0	280.3460	0	2	
53	1	282.8365	1	437	2761	2975	4263	507	-8.3	200	1	1	285.2106	1	2	
