Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	605.6199	0	437	2761	2975	4263	505	-6.0	200	1	1	608.1977	1	0	
2	0	620.1324	0	437	2761	2975	4263	510	-8.3	200	1	0	621.3993	0	4	
3	1	624.7860	0	437	2761	2975	4263	510	-8.3	200	1	1	626.2658	1	4	
4	0	654.1360	0	936	1551	2975	4263	506	-6.0	200	0	0	655.3379	1	3	
5	0	661.1082	1	437	2761	2975	4263	504	-15.0	200	1	0	662.2249	0	5	
6	1	664.9246	1	437	2761	2975	4263	504	-15.0	200	1	1	668.5398	1	5	
7	0	670.7378	0	437	2761	2975	4263	509	-15.0	200	1	0	671.9623	0	3	
8	1	674.5074	0	437	2761	2975	4263	509	-15.0	200	1	1	676.2728	1	3	
9	0	688.2406	1	437	2761	2975	4263	507	-10.5	200	1	0	691.7046	0	2	
10	1	694.5836	0	437	2761	2975	4263	507	-10.5	200	1	1	695.9936	1	2	
11	0	698.5276	1	936	1551	2975	4263	501	-10.5	200	0	0	702.5222	1	3	
12	0	706.8298	1	936	1551	2975	4263	511	-15.0	200	0	0	710.7962	1	5	
13	0	715.2920	1	936	1551	2975	4263	502	-10.5	200	0	0	718.4441	1	0	
14	0	723.6077	1	936	1551	2975	4263	508	-6.0	200	0	0	728.6657	1	1	
15	0	731.8471	0	936	1551	2975	4263	507	-15.0	200	0	0	732.5802	1	2	
16	0	739.2339	0	936	1551	2975	4263	510	-6.0	200	0	0	740.3927	1	5	
17	0	744.5053	0	437	2761	2975	4263	501	-12.8	200	1	1	745.4328	1	4	
18	0	752.9930	1	437	2761	2975	4263	508	-8.3	200	1	0	753.5158	0	0	
19	1	759.6797	0	437	2761	2975	4263	508	-8.3	200	1	1	760.9819	1	0	
20	0	763.4426	1	936	1551	2975	4263	503	-10.5	200	0	0	766.1418	1	2	
21	0	769.7197	1	936	1551	2975	4263	511	-8.3	200	0	1	770.4299	0	0	
22	1	775.1202	1	936	1551	2975	4263	511	-8.3	200	0	1	779.6738	0	0	
23	1	781.5862	1	936	1551	2975	4263	511	-8.3	200	0	0	784.3254	1	0	
24	0	789.3040	0	437	2761	2975	4263	505	-6.0	200	1	1	790.5586	1	2	
25	0	793.1662	0	936	1551	2975	4263	509	-10.5	200	0	0	794.0085	1	1	
26	0	797.7995	1	437	2761	2975	4263	504	-10.5	200	1	0	800.4338	0	4	
27	1	803.6304	0	437	2761	2975	4263	504	-10.5	200	1	1	804.9132	1	4	
28	0	814.1450	1	437	2761	2975	4263	506	-8.3	200	1	0	814.7957	0	3	
29	1	816.6125	1	437	2761	2975	4263	506	-8.3	200	1	0	822.7874	0	3	
30	1	828.3374	1	437	2761	2975	4263	506	-8.3	200	1	0	832.3620	0	3	
31	1	835.0236	1	437	2761	2975	4263	506	-8.3	200	1	1	836.0780	1	3	
32	0	838.2104	0	936	1551	2975	4263	507	-10.5	200	0	1	841.9017	0	5	
33	1	844.0354	0	936	1551	2975	4263	507	-10.5	200	0	0	844.6522	1	5	
34	0	852.2940	0	936	1551	2975	4263	501	-6.0	200	0	0	853.0106	1	4	
35	0	856.4652	1	437	2761	2975	4263	505	-6.0	200	1	1	857.2039	1	5	
36	0	858.8145	1	437	2761	2975	4263	510	-10.5	200	1	0	862.7198	0	0	
37	1	866.0383	1	437	2761	2975	4263	510	-10.5	200	1	1	869.5824	1	0	
38	0	882.6021	1	437	2761	2975	4263	502	-10.5	200	1	1	886.3726	1	1	
39	0	888.3922	1	936	1551	2975	4263	503	-15.0	200	0	0	888.9676	1	3	
40	0	892.6193	0	437	2761	2975	4263	506	-15.0	200	1	0	895.6057	0	1	
41	1	904.5152	1	437	2761	2975	4263	506	-15.0	200	1	0	907.3698	0	1	
42	1	909.0641	1	437	2761	2975	4263	506	-15.0	200	1	1	919.7466	1	1	
43	0	920.7365	0	437	2761	2975	4263	509	-10.5	200	1	0	921.7449	0	3	
44	1	923.7028	1	437	2761	2975	4263	509	-10.5	200	1	1	927.0388	1	3	
45	0	935.7024	1	437	2761	2975	4263	508	-12.8	200	1	0	936.2750	0	3	
46	1	938.0222	1	437	2761	2975	4263	508	-12.8	200	1	1	947.0181	1	3	
47	0	952.3823	0	437	2761	2975	4263	511	-15.0	200	1	0	953.2754	0	0	
48	1	955.7623	1	437	2761	2975	4263	511	-15.0	200	1	1	958.3215	1	0	
49	0	964.2226	0	936	1551	2975	4263	506	-12.8	200	0	1	965.6037	0	1	
50	1	967.2289	1	936	1551	2975	4263	506	-12.8	200	0	0	970.4337	1	1	
51	0	974.7488	0	437	2761	2975	4263	503	-8.3	200	1	1	976.0111	1	1	
52	0	987.9242	0	437	2761	2975	4263	510	-6.0	200	1	0	988.9157	0	1	
53	1	998.6748	1	437	2761	2975	4263	510	-6.0	200	1	0	1002.6123	0	1	
54	1	1008.0341	0	437	2761	2975	4263	510	-6.0	200	1	1	1010.2968	1	1	
55	0	1012.6234	1	936	1551	2975	4263	502	-12.8	200	0	0	1013.4266	1	5	
56	0	1017.2071	1	936	1551	2975	4263	507	-12.8	200	0	0	1021.9102	1	0	
57	0	1027.0478	0	437	2761	2975	4263	505	-10.5	200	1	1	1028.2946	1	5	
58	0	1030.2036	1	437	2761	2975	4263	504	-12.8	200	1	0	1033.0397	0	0	
59	1	1034.6711	1	437	2761	2975	4263	504	-12.8	200	1	0	1038.5867	0	0	
60	1	1042.8418	0	437	2761	2975	4263	504	-12.8	200	1	1	1044.0330	1	0	
61	0	1055.7621	0	437	2761	2975	4263	509	-12.8	200	1	0	1056.5757	0	2	
62	1	1062.0713	1	437	2761	2975	4263	509	-12.8	200	1	0	1065.5307	0	2	
63	1	1068.4352	0	437	2761	2975	4263	509	-12.8	200	1	1	1071.5460	1	2	
64	0	1073.3263	1	936	1551	2975	4263	511	-12.8	200	0	1	1075.3117	0	3	
65	1	1077.9984	0	936	1551	2975	4263	511	-12.8	200	0	0	1078.9475	1	3	
66	0	1083.1964	0	437	2761	2975	4263	501	-12.8	200	1	1	1084.5246	1	5	
67	0	1086.4495	0	936	1551	2975	4263	511	-8.3	200	0	0	1088.1688	1	2	
68	0	1094.2078	0	936	1551	2975	4263	507	-15.0	200	0	0	1095.0357	1	0	
69	0	1098.9788	1	936	1551	2975	4263	504	-15.0	200	0	0	1101.4093	1	1	
70	0	1105.0139	0	437	2761	2975	4263	510	-8.3	200	1	1	1105.9950	1	5	
71	0	1115.1235	0	936	1551	2975	4263	503	-10.5	200	0	0	1116.0518	1	4	
72	0	1121.1202	0	437	2761	2975	4263	505	-15.0	200	1	1	1122.1859	1	4	
73	0	1127.7222	1	936	1551	2975	4263	509	-12.8	200	0	0	1128.0656	1	4	
74	0	1131.7373	1	437	2761	2975	4263	502	-8.3	200	1	0	1136.5645	0	2	
75	1	1140.3592	0	437	2761	2975	4263	502	-8.3	200	1	1	1141.2328	1	2	
76	0	1145.8144	0	936	1551	2975	4263	501	-6.0	200	0	0	1146.7812	1	2	
77	0	1150.0052	1	936	1551	2975	4263	506	-8.3	200	0	0	1152.3372	1	3	
78	0	1155.6939	0	437	2761	2975	4263	511	-12.8	200	1	1	1157.2593	1	1	
79	0	1161.7300	1	936	1551	2975	4263	503	-8.3	200	0	0	1163.6953	1	4	
80	0	1167.1453	0	936	1551	2975	4263	507	-8.3	200	0	0	1168.1663	1	1	
81	0	1171.9189	0	437	2761	2975	4263	501	-6.0	200	1	0	1172.6863	0	4	
82	1	1177.5853	1	437	2761	2975	4263	501	-6.0	200	1	0	1179.6326	0	4	
83	1	1189.0205	1	437	2761	2975	4263	501	-6.0	200	1	1	1193.0520	1	4	
84	0	1196.9046	0	936	1551	2975	4263	510	-15.0	200	0	0	1198.3331	1	4	
85	0	1201.7086	0	437	2761	2975	4263	509	-15.0	200	1	1	1202.8935	1	2	
86	0	1204.8508	0	437	2761	2975	4263	508	-6.0	200	1	1	1205.6252	1	3	
87	0	1217.0326	1	936	1551	2975	4263	505	-8.3	200	0	0	1219.0781	1	5	
88	0	1222.3223	0	936	1551	2975	4263	506	-6.0	200	0	1	1223.4485	0	0	
