Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	768.8254	1	730	2058	2857	4205	509	-12.5	200	1	0	778.0823	0	4	
2	1	791.4301	0	730	2058	2857	4205	509	-12.5	200	1	1	793.5665	1	4	
3	0	805.1076	0	730	2058	2857	4205	510	-0.5	200	1	0	806.3219	0	5	
4	1	811.8917	1	730	2058	2857	4205	510	-0.5	200	1	1	823.4919	1	5	
5	0	833.8537	0	460	1105	2857	4205	502	2.5	200	0	0	835.1559	1	2	
6	0	841.6378	0	730	2058	2857	4205	511	2.5	200	1	0	847.2309	0	4	
7	1	851.7498	0	730	2058	2857	4205	511	2.5	200	1	0	853.0794	0	4	
8	1	860.0469	0	730	2058	2857	4205	511	2.5	200	1	1	861.4974	1	4	
9	0	877.0779	0	460	1105	2857	4205	508	-9.5	200	0	0	878.4696	1	0	
10	0	885.3937	0	460	1105	2857	4205	507	-3.5	200	0	1	886.9312	0	0	
11	1	894.8723	0	460	1105	2857	4205	507	-3.5	200	0	0	896.0513	1	0	
12	0	901.8764	0	460	1105	2857	4205	505	-0.5	200	0	0	902.9271	1	5	
13	0	909.0741	0	730	2058	2857	4205	501	-0.5	200	1	0	910.9558	0	0	
14	1	917.4674	0	730	2058	2857	4205	501	-0.5	200	1	0	922.5391	0	0	
15	1	930.3911	0	730	2058	2857	4205	501	-0.5	200	1	0	931.6436	0	0	
16	1	944.2433	0	730	2058	2857	4205	501	-0.5	200	1	1	945.8759	1	0	
17	0	952.0003	0	460	1105	2857	4205	504	-9.5	200	0	0	953.1309	1	3	
18	0	957.9148	0	460	1105	2857	4205	503	-0.5	200	0	0	959.2042	1	1	
19	0	963.3265	1	730	2058	2857	4205	506	-12.5	200	1	1	976.0667	1	1	
20	0	982.8153	0	460	1105	2857	4205	508	-9.5	200	0	1	983.9196	0	1	
21	1	987.5872	0	460	1105	2857	4205	508	-9.5	200	0	0	988.8504	1	1	
22	0	994.0043	0	730	2058	2857	4205	502	-6.5	200	1	1	995.8478	1	1	
23	0	1001.9289	0	730	2058	2857	4205	511	-3.5	200	1	1	1003.2398	1	5	
24	0	1008.9173	0	730	2058	2857	4205	507	-6.5	200	1	1	1010.5018	1	2	
25	0	1015.1339	0	460	1105	2857	4205	501	-12.5	200	0	0	1016.6622	1	2	
26	0	1022.9302	0	730	2058	2857	4205	510	-6.5	200	1	1	1028.1693	1	3	
27	0	1029.8199	0	460	1105	2857	4205	505	-0.5	200	0	1	1036.2082	0	3	
28	1	1042.5337	0	460	1105	2857	4205	505	-0.5	200	0	1	1047.0383	0	3	
29	1	1057.5322	1	460	1105	2857	4205	505	-0.5	200	0	1	1063.1433	0	3	
30	1	1071.5933	0	460	1105	2857	4205	505	-0.5	200	0	1	1073.1676	0	3	
31	1	1077.4813	0	460	1105	2857	4205	505	-0.5	200	0	0	1079.0851	1	3	
32	0	1084.1459	0	730	2058	2857	4205	504	-6.5	200	1	1	1085.9174	1	0	
33	0	1090.9135	0	730	2058	2857	4205	503	2.5	200	1	0	1092.7664	0	1	
34	1	1099.0944	0	730	2058	2857	4205	503	2.5	200	1	0	1100.8971	0	1	
35	1	1108.3542	1	730	2058	2857	4205	503	2.5	200	1	0	1116.2223	0	1	
36	1	1120.0256	0	730	2058	2857	4205	503	2.5	200	1	1	1122.9505	1	1	
37	0	1133.6317	1	730	2058	2857	4205	502	-6.5	200	1	0	1139.0779	0	4	
38	1	1145.3670	0	730	2058	2857	4205	502	-6.5	200	1	0	1146.6097	0	4	
39	1	1153.1701	0	730	2058	2857	4205	502	-6.5	200	1	1	1153.9715	1	4	
40	0	1163.1986	0	730	2058	2857	4205	510	-0.5	200	1	0	1165.1415	0	2	
41	1	1169.7781	0	730	2058	2857	4205	510	-0.5	200	1	0	1171.5178	0	2	
42	1	1178.4495	1	730	2058	2857	4205	510	-0.5	200	1	1	1184.3718	1	2	
43	0	1190.7915	0	730	2058	2857	4205	504	-3.5	200	1	1	1192.6858	1	3	
44	0	1197.4442	0	460	1105	2857	4205	509	2.5	200	0	0	1199.0349	1	3	
45	0	1205.7406	0	460	1105	2857	4205	503	2.5	200	0	1	1207.5881	0	1	
46	1	1211.1934	0	460	1105	2857	4205	503	2.5	200	0	0	1213.0904	1	1	
47	0	1225.6073	0	460	1105	2857	4205	508	-6.5	200	0	0	1227.2852	1	4	
48	0	1232.5574	0	460	1105	2857	4205	506	-3.5	200	0	0	1234.1604	1	4	
49	0	1240.4251	0	730	2058	2857	4205	505	-9.5	200	1	1	1241.8494	1	3	
50	0	1246.9322	0	460	1105	2857	4205	501	-3.5	200	0	0	1248.6587	1	1	
51	0	1257.7135	1	730	2058	2857	4205	511	-12.5	200	1	1	1264.3707	1	3	
52	0	1278.4344	0	730	2058	2857	4205	505	-12.5	200	1	1	1280.1467	1	5	
53	0	1285.0302	1	460	1105	2857	4205	506	2.5	200	0	1	1289.9297	0	0	
54	1	1293.8081	0	460	1105	2857	4205	506	2.5	200	0	1	1295.5917	0	0	
55	1	1303.5521	0	460	1105	2857	4205	506	2.5	200	0	1	1304.5815	0	0	
56	1	1315.4745	0	460	1105	2857	4205	506	2.5	200	0	0	1317.4012	1	0	
