Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	18.2870	0	460	1105	2857	4205	509	2.5	200	0	0	29.5216	1	1	
2	0	35.1481	1	730	2058	2857	4205	508	-0.5	200	1	1	38.3279	1	3	
3	0	40.8102	1	730	2058	2857	4205	504	-9.5	200	1	0	48.1641	0	1	
4	1	51.8710	1	730	2058	2857	4205	504	-9.5	200	1	0	56.6409	0	1	
5	1	60.8802	0	730	2058	2857	4205	504	-9.5	200	1	0	62.6907	0	1	
6	1	67.5638	0	730	2058	2857	4205	504	-9.5	200	1	1	69.3519	1	1	
7	0	81.6140	0	730	2058	2857	4205	505	-9.5	200	1	0	83.2238	0	0	
8	1	91.0143	0	730	2058	2857	4205	505	-9.5	200	1	1	94.1719	1	0	
9	0	111.1247	0	460	1105	2857	4205	511	-9.5	200	0	0	112.2203	1	4	
10	0	116.4455	0	460	1105	2857	4205	507	2.5	200	0	1	117.9659	0	2	
11	1	124.7588	0	460	1105	2857	4205	507	2.5	200	0	0	126.0892	1	2	
12	0	131.9474	0	460	1105	2857	4205	510	-6.5	200	0	0	133.3761	1	0	
13	0	138.1333	1	730	2058	2857	4205	502	-6.5	200	1	0	143.9204	0	3	
14	1	148.1789	1	730	2058	2857	4205	502	-6.5	200	1	1	153.7041	1	3	
15	0	160.3195	0	460	1105	2857	4205	501	-6.5	200	0	0	165.8340	1	1	
16	0	170.8454	1	730	2058	2857	4205	506	-9.5	200	1	0	175.8240	0	2	
17	1	184.5687	0	730	2058	2857	4205	506	-9.5	200	1	1	191.0636	1	2	
18	0	200.1247	0	730	2058	2857	4205	508	-6.5	200	1	0	201.5146	0	5	
19	1	214.4037	0	730	2058	2857	4205	508	-6.5	200	1	1	216.5358	1	5	
20	0	227.0391	0	460	1105	2857	4205	511	-6.5	200	0	0	228.6760	1	5	
21	0	233.5277	0	460	1105	2857	4205	505	-0.5	200	0	0	235.0100	1	0	
22	0	239.9097	0	460	1105	2857	4205	501	-3.5	200	0	0	241.3598	1	4	
23	0	245.6414	0	460	1105	2857	4205	510	-6.5	200	0	0	246.8983	1	3	
24	0	251.2275	0	460	1105	2857	4205	507	2.5	200	0	1	252.9827	0	3	
25	1	258.6258	1	460	1105	2857	4205	507	2.5	200	0	0	263.6616	1	3	
26	0	267.8911	0	460	1105	2857	4205	506	-0.5	200	0	0	269.6335	1	4	
27	0	274.1982	1	730	2058	2857	4205	502	-12.5	200	1	1	280.3798	1	2	
28	0	289.9249	1	460	1105	2857	4205	509	-3.5	200	0	1	297.3895	0	0	
29	1	301.9271	1	460	1105	2857	4205	509	-3.5	200	0	0	308.7049	1	0	
30	0	312.8750	1	460	1105	2857	4205	504	-0.5	200	0	0	317.9138	1	3	
31	0	321.8657	0	730	2058	2857	4205	505	-3.5	200	1	0	323.7553	0	1	
32	1	329.2204	1	730	2058	2857	4205	505	-3.5	200	1	1	335.4970	1	1	
33	0	342.3259	1	460	1105	2857	4205	506	-9.5	200	0	0	352.1108	1	1	
34	0	355.9941	0	730	2058	2857	4205	508	2.5	200	1	1	358.0425	1	0	
35	0	363.1573	1	460	1105	2857	4205	510	-3.5	200	0	0	367.7760	1	5	
36	0	371.3559	1	730	2058	2857	4205	507	-3.5	200	1	0	375.9702	0	3	
37	1	382.0397	0	730	2058	2857	4205	507	-3.5	200	1	1	384.0570	1	3	
38	0	395.4201	1	460	1105	2857	4205	502	-12.5	200	0	0	399.8271	1	4	
39	0	403.6929	1	460	1105	2857	4205	509	-3.5	200	0	0	408.1078	1	3	
40	0	412.2969	1	730	2058	2857	4205	501	-6.5	200	1	0	416.4770	0	2	
41	1	420.7938	1	730	2058	2857	4205	501	-6.5	200	1	1	425.8469	1	2	
42	0	430.9524	0	730	2058	2857	4205	504	-3.5	200	1	0	437.1723	0	5	
43	1	441.8154	0	730	2058	2857	4205	504	-3.5	200	1	1	444.6124	1	5	
44	0	449.7141	1	460	1105	2857	4205	503	-0.5	200	0	1	454.3560	0	5	
45	1	458.4075	1	460	1105	2857	4205	503	-0.5	200	0	0	462.7611	1	5	
46	0	466.9565	1	460	1105	2857	4205	508	-3.5	200	0	0	470.7088	1	2	
47	0	475.5787	0	730	2058	2857	4205	501	-3.5	200	1	1	477.6897	1	0	
48	0	482.7604	0	730	2058	2857	4205	507	-0.5	200	1	1	484.7906	1	5	
49	0	490.0950	1	730	2058	2857	4205	502	-12.5	200	1	1	494.7298	1	5	
50	0	500.8189	0	730	2058	2857	4205	510	-3.5	200	1	1	502.5084	1	4	
51	0	507.6550	1	730	2058	2857	4205	503	-0.5	200	1	1	511.2293	1	2	
52	0	516.4038	1	460	1105	2857	4205	509	-6.5	200	0	1	520.3119	0	2	
53	1	523.9940	1	460	1105	2857	4205	509	-6.5	200	0	0	529.9046	1	2	
54	0	533.3189	1	460	1105	2857	4205	504	-0.5	200	0	1	537.6682	0	1	
55	1	541.8376	1	460	1105	2857	4205	504	-0.5	200	0	0	546.4987	1	1	
