Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	11.4311	1	437	2761	2975	4263	506	0.0	200	1	0	21.0036	0	3	
2	1	25.0678	1	437	2761	2975	4263	506	0.0	200	1	1	31.7056	1	3	
3	0	39.8088	1	437	2761	2975	4263	505	-3.0	200	1	0	47.2909	0	0	
4	1	54.2236	0	437	2761	2975	4263	505	-3.0	200	1	1	56.2442	1	0	
5	0	63.8501	0	437	2761	2975	4263	510	3.0	200	1	0	66.0230	0	2	
6	1	67.6465	0	437	2761	2975	4263	510	3.0	200	1	1	69.3202	1	2	
7	0	77.3687	0	936	1551	2975	4263	508	1.5	200	0	0	79.4646	1	5	
8	0	83.3149	1	936	1551	2975	4263	511	3.0	200	0	1	89.1904	0	1	
9	1	90.9761	0	936	1551	2975	4263	511	3.0	200	0	0	92.7617	1	1	
10	0	98.5791	1	437	2761	2975	4263	507	3.0	200	1	0	104.4544	0	5	
11	1	106.8148	0	437	2761	2975	4263	507	3.0	200	1	1	108.3960	1	5	
12	0	114.6199	1	936	1551	2975	4263	509	-1.5	200	0	1	118.9279	0	1	
13	1	121.0461	1	936	1551	2975	4263	509	-1.5	200	0	1	125.5572	0	1	
14	1	127.9097	1	936	1551	2975	4263	509	-1.5	200	0	0	133.4798	1	1	
15	0	138.5400	0	437	2761	2975	4263	501	-3.0	200	1	1	141.3569	1	5	
16	0	148.1254	1	437	2761	2975	4263	502	1.5	200	1	0	153.7523	0	5	
17	1	155.7812	0	437	2761	2975	4263	502	1.5	200	1	1	157.7856	1	5	
18	0	164.7472	0	437	2761	2975	4263	504	1.5	200	1	0	166.5407	0	0	
19	1	168.1676	1	437	2761	2975	4263	504	1.5	200	1	1	173.1193	1	0	
20	0	179.6740	0	437	2761	2975	4263	503	-1.5	200	1	0	182.4896	0	3	
21	1	184.1875	1	437	2761	2975	4263	503	-1.5	200	1	1	189.7468	1	3	
22	0	196.2776	0	936	1551	2975	4263	509	3.0	200	0	1	198.1583	0	0	
23	1	203.9668	0	936	1551	2975	4263	509	3.0	200	0	0	205.1874	1	0	
24	0	217.3838	1	437	2761	2975	4263	508	1.5	200	1	1	222.6575	1	2	
25	0	230.1478	1	437	2761	2975	4263	504	0.0	200	1	0	234.1865	0	4	
26	1	236.1194	1	437	2761	2975	4263	504	0.0	200	1	0	240.8915	0	4	
27	1	242.8222	0	437	2761	2975	4263	504	0.0	200	1	1	244.1075	1	4	
28	0	250.9788	1	936	1551	2975	4263	501	-1.5	200	0	1	256.1976	0	5	
29	1	258.5099	1	936	1551	2975	4263	501	-1.5	200	0	0	262.4265	1	5	
30	0	268.4043	1	437	2761	2975	4263	502	-1.5	200	1	1	273.5573	1	0	
31	0	280.0015	1	437	2761	2975	4263	506	0.0	200	1	0	284.9325	0	1	
32	1	287.6717	1	437	2761	2975	4263	506	0.0	200	1	1	294.1506	1	1	
33	0	302.4161	1	936	1551	2975	4263	510	-1.5	200	0	0	306.4850	1	4	
34	0	310.8524	0	437	2761	2975	4263	505	0.0	200	1	1	312.7262	1	5	
35	0	319.5029	0	936	1551	2975	4263	511	0.0	200	0	0	321.0865	1	0	
36	0	326.9821	1	936	1551	2975	4263	509	1.5	200	0	1	331.9284	0	0	
37	1	334.0308	1	936	1551	2975	4263	509	1.5	200	0	1	340.2916	0	0	
38	1	341.9247	0	936	1551	2975	4263	509	1.5	200	0	0	343.3875	1	0	
39	0	349.3089	0	437	2761	2975	4263	510	1.5	200	1	1	351.2147	1	3	
40	0	358.8950	1	437	2761	2975	4263	511	-1.5	200	1	0	363.8570	0	1	
41	1	365.7836	1	437	2761	2975	4263	511	-1.5	200	1	1	370.8948	1	1	
42	0	377.8186	0	437	2761	2975	4263	508	1.5	200	1	0	379.4887	0	1	
43	1	381.8264	0	437	2761	2975	4263	508	1.5	200	1	1	383.2816	1	1	
44	0	392.5680	1	437	2761	2975	4263	502	-1.5	200	1	1	398.2656	1	5	
45	0	408.7014	0	437	2761	2975	4263	506	-1.5	200	1	0	410.3500	0	4	
46	1	412.4647	1	437	2761	2975	4263	506	-1.5	200	1	0	417.0561	0	4	
47	1	419.4379	1	437	2761	2975	4263	506	-1.5	200	1	1	425.1037	1	4	
48	0	431.1254	0	936	1551	2975	4263	503	0.0	200	0	0	432.6949	1	4	
49	0	437.4326	0	936	1551	2975	4263	505	0.0	200	0	1	439.4217	0	1	
50	1	447.0829	1	936	1551	2975	4263	505	0.0	200	0	1	454.0479	0	1	
51	1	455.7681	1	936	1551	2975	4263	505	0.0	200	0	0	460.3037	1	1	
52	0	476.8664	0	936	1551	2975	4263	507	1.5	200	0	0	477.8814	1	4	
53	0	482.2528	1	437	2761	2975	4263	501	-3.0	200	1	0	485.8657	0	3	
54	1	535.6668	0	437	2761	2975	4263	501	-3.0	200	1	0	536.5243	0	3	
55	1	556.9918	0	437	2761	2975	4263	501	-3.0	200	1	1	580.6558	1	3	
