Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	37.3270	0	730	2058	2857	4205	501	-15.5	200	1	1	41.4458	1	2	
2	0	45.3777	0	730	2058	2857	4205	508	-15.5	200	1	0	49.0728	0	0	
3	1	56.6194	0	730	2058	2857	4205	508	-15.5	200	1	1	58.1989	1	0	
4	0	71.2412	0	730	2058	2857	4205	503	5.5	200	1	1	72.5684	1	1	
5	0	94.8486	1	460	1105	2857	4205	504	-15.5	200	0	1	99.6976	0	3	
6	1	113.5354	0	460	1105	2857	4205	504	-15.5	200	0	1	115.0296	0	3	
7	1	124.7090	1	460	1105	2857	4205	504	-15.5	200	0	1	129.1243	0	3	
8	1	133.1302	0	460	1105	2857	4205	504	-15.5	200	0	1	134.7303	0	3	
9	1	143.9761	1	460	1105	2857	4205	504	-15.5	200	0	0	148.7901	1	3	
10	0	156.7302	1	460	1105	2857	4205	511	-15.5	200	0	1	161.9738	0	5	
11	1	178.0224	0	460	1105	2857	4205	511	-15.5	200	0	1	180.4683	0	5	
12	1	191.5385	0	460	1105	2857	4205	511	-15.5	200	0	1	195.1559	0	5	
13	1	199.9204	0	460	1105	2857	4205	511	-15.5	200	0	1	201.6158	0	5	
14	1	205.3136	0	460	1105	2857	4205	511	-15.5	200	0	0	208.3846	1	5	
15	0	214.6717	0	730	2058	2857	4205	509	-15.5	200	1	0	215.9932	0	5	
16	1	220.1962	0	730	2058	2857	4205	509	-15.5	200	1	1	221.7006	1	5	
17	0	233.1509	0	460	1105	2857	4205	502	-15.5	200	0	0	234.3777	1	2	
18	0	241.5158	0	730	2058	2857	4205	505	5.5	200	1	0	242.4435	0	3	
19	1	255.5206	0	730	2058	2857	4205	505	5.5	200	1	1	256.7197	1	3	
20	0	312.0849	1	730	2058	2857	4205	506	5.5	200	1	1	317.3650	1	2	
21	0	327.9192	0	460	1105	2857	4205	507	5.5	200	0	0	329.1965	1	4	
22	0	335.1229	0	730	2058	2857	4205	506	5.5	200	1	0	336.5196	0	5	
23	1	344.8323	0	730	2058	2857	4205	506	5.5	200	1	1	346.3499	1	5	
24	0	362.4367	0	730	2058	2857	4205	511	-15.5	200	1	1	363.9950	1	1	
25	0	380.2684	0	730	2058	2857	4205	503	5.5	200	1	0	381.5104	0	0	
26	1	391.6559	1	730	2058	2857	4205	503	5.5	200	1	1	397.6916	1	0	
27	0	408.1733	0	730	2058	2857	4205	505	5.5	200	1	1	409.8348	1	4	
28	0	420.6181	0	460	1105	2857	4205	510	5.5	200	0	0	421.8664	1	3	
29	0	428.0275	0	460	1105	2857	4205	508	-15.5	200	0	0	429.3725	1	1	
30	0	435.0338	0	460	1105	2857	4205	504	5.5	200	0	1	436.6708	0	2	
31	1	440.9297	1	460	1105	2857	4205	504	5.5	200	0	0	446.1698	1	2	
32	0	461.1562	0	460	1105	2857	4205	509	-15.5	200	0	0	462.2406	1	0	
33	0	467.8390	0	460	1105	2857	4205	501	5.5	200	0	1	469.4487	0	1	
34	1	477.6456	0	460	1105	2857	4205	501	5.5	200	0	0	479.0253	1	1	
35	0	495.3121	0	460	1105	2857	4205	502	-15.5	200	0	0	496.7958	1	4	
36	0	531.2133	0	730	2058	2857	4205	509	-15.5	200	1	0	532.2286	0	4	
37	1	752.4672	0	730	2058	2857	4205	509	-15.5	200	1	1	755.5116	1	4	
38	0	767.9817	0	460	1105	2857	4205	507	5.5	200	0	0	769.6998	1	5	
39	0	774.8470	0	730	2058	2857	4205	506	-15.5	200	1	1	776.3594	1	3	
40	0	793.4437	0	460	1105	2857	4205	505	5.5	200	0	0	795.0937	1	0	
41	0	800.6865	0	460	1105	2857	4205	502	-15.5	200	0	0	802.0393	1	2	
42	0	807.2158	0	730	2058	2857	4205	508	-15.5	200	1	0	808.7487	0	0	
43	1	812.5397	0	730	2058	2857	4205	508	-15.5	200	1	1	814.4035	1	0	
