Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	762.8086	0	460	1105	2857	4205	505	-0.5	200	0	0	805.7291	1	5	
2	0	816.5604	1	730	2058	2857	4205	507	-6.5	200	1	1	823.2357	1	3	
3	0	834.7233	1	730	2058	2857	4205	503	-0.5	200	1	0	840.9115	0	4	
4	1	844.7849	1	730	2058	2857	4205	503	-0.5	200	1	1	851.4976	1	4	
5	0	858.5419	0	460	1105	2857	4205	504	-0.5	200	0	0	860.7735	1	3	
6	0	866.7404	0	730	2058	2857	4205	510	-3.5	200	1	0	869.4025	0	4	
7	1	875.3431	1	730	2058	2857	4205	510	-3.5	200	1	1	881.7793	1	4	
8	0	889.4992	0	460	1105	2857	4205	508	2.5	200	0	1	892.1089	0	2	
9	1	896.4633	1	460	1105	2857	4205	508	2.5	200	0	0	902.6489	1	2	
10	0	907.3316	1	460	1105	2857	4205	511	-6.5	200	0	1	912.4531	0	2	
11	1	916.1385	0	460	1105	2857	4205	511	-6.5	200	0	0	917.4471	1	2	
12	0	922.0379	1	460	1105	2857	4205	506	2.5	200	0	0	926.4122	1	5	
13	0	931.1803	1	730	2058	2857	4205	501	-9.5	200	1	0	935.6630	0	5	
14	1	943.9286	1	730	2058	2857	4205	501	-9.5	200	1	0	949.2791	0	5	
15	1	953.3660	0	730	2058	2857	4205	501	-9.5	200	1	1	956.4887	1	5	
16	0	962.0221	1	460	1105	2857	4205	502	2.5	200	0	1	967.0201	0	0	
17	1	970.7494	0	460	1105	2857	4205	502	2.5	200	0	0	972.1976	1	0	
18	0	977.5532	0	460	1105	2857	4205	508	2.5	200	0	1	980.1839	0	1	
19	1	984.3665	1	460	1105	2857	4205	508	2.5	200	0	0	990.0236	1	1	
20	0	997.1888	0	460	1105	2857	4205	506	2.5	200	0	0	998.7804	1	4	
21	0	1002.4908	0	730	2058	2857	4205	504	-12.5	200	1	1	1005.0307	1	3	
22	0	1013.7207	0	730	2058	2857	4205	511	2.5	200	1	1	1016.0400	1	3	
23	0	1021.0026	0	730	2058	2857	4205	502	-12.5	200	1	0	1022.8405	0	4	
24	1	1026.6248	0	730	2058	2857	4205	502	-12.5	200	1	0	1028.0650	0	4	
25	1	1032.7686	0	730	2058	2857	4205	502	-12.5	200	1	1	1034.5480	1	4	
26	0	1040.1296	1	730	2058	2857	4205	505	2.5	200	1	1	1044.9930	1	4	
27	0	1051.1307	0	730	2058	2857	4205	501	2.5	200	1	1	1053.2914	1	5	
28	0	1058.3658	0	730	2058	2857	4205	510	-12.5	200	1	1	1060.5770	1	0	
29	0	1065.8860	0	730	2058	2857	4205	503	-9.5	200	1	0	1067.4414	0	1	
30	1	1072.0102	0	730	2058	2857	4205	503	-9.5	200	1	1	1073.7272	1	1	
