Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	1152.1538	0	460	1105	2857	4205	509	-6.5	200	0	0	1155.9539	1	3	
2	0	1162.3018	0	730	2058	2857	4205	505	5.5	200	1	1	1168.1609	1	1	
3	0	1178.3862	1	460	1105	2857	4205	502	-0.5	200	0	0	1179.2764	1	4	
4	0	1190.8516	0	460	1105	2857	4205	503	-3.5	200	0	0	1195.7402	1	1	
5	0	1212.2178	1	460	1105	2857	4205	508	8.5	200	0	0	1216.4565	1	3	
6	0	1228.1480	0	460	1105	2857	4205	506	-3.5	200	0	1	1229.8240	0	2	
7	1	1239.6895	0	460	1105	2857	4205	506	-3.5	200	0	1	1241.3447	0	2	
8	1	1245.5715	0	460	1105	2857	4205	506	-3.5	200	0	0	1246.8153	1	2	
9	0	1257.0214	0	730	2058	2857	4205	510	-6.5	200	1	0	1258.1887	0	4	
10	1	1264.3095	0	730	2058	2857	4205	510	-6.5	200	1	1	1265.6737	1	4	
11	0	1278.0740	0	460	1105	2857	4205	501	-6.5	200	0	0	1278.9823	1	2	
12	0	1286.8556	0	460	1105	2857	4205	507	-3.5	200	0	0	1288.0616	1	5	
13	0	1294.5655	1	460	1105	2857	4205	504	5.5	200	0	1	1300.0686	0	0	
14	1	1308.0574	0	460	1105	2857	4205	504	5.5	200	0	0	1309.2056	1	0	
15	0	1315.2791	1	730	2058	2857	4205	506	-6.5	200	1	0	1320.0607	0	1	
16	1	1328.0328	0	730	2058	2857	4205	506	-6.5	200	1	0	1329.2498	0	1	
17	1	1339.6505	0	730	2058	2857	4205	506	-6.5	200	1	1	1341.0388	1	1	
18	0	1351.6154	0	730	2058	2857	4205	509	2.5	200	1	0	1353.2474	0	4	
19	1	1360.3258	1	730	2058	2857	4205	509	2.5	200	1	0	1365.2199	0	4	
20	1	1368.8416	0	730	2058	2857	4205	509	2.5	200	1	1	1371.6994	1	4	
21	0	1384.1877	0	730	2058	2857	4205	508	-0.5	200	1	1	1385.7690	1	0	
22	0	1396.1562	1	460	1105	2857	4205	504	8.5	200	0	0	1400.5815	1	1	
23	0	1410.4007	0	730	2058	2857	4205	502	-6.5	200	1	1	1412.5477	1	0	
24	0	1422.5803	0	730	2058	2857	4205	510	-0.5	200	1	1	1427.7666	1	5	
25	0	1433.2348	0	730	2058	2857	4205	503	-0.5	200	1	1	1434.8616	1	1	
26	0	1439.5146	0	460	1105	2857	4205	505	-0.5	200	0	1	1441.4396	0	0	
27	1	1445.3903	0	460	1105	2857	4205	505	-0.5	200	0	0	1446.6695	1	0	
28	0	1460.2723	0	460	1105	2857	4205	501	2.5	200	0	0	1461.5352	1	1	
29	0	1469.1472	0	460	1105	2857	4205	507	2.5	200	0	1	1470.8743	0	2	
30	1	1474.4740	0	460	1105	2857	4205	507	2.5	200	0	0	1475.5458	1	2	
31	0	1483.2379	0	460	1105	2857	4205	501	-3.5	200	0	1	1484.9311	0	0	
32	1	1490.2236	0	460	1105	2857	4205	501	-3.5	200	0	0	1491.2830	1	0	
33	0	1498.5870	1	730	2058	2857	4205	508	-6.5	200	1	1	1504.4403	1	3	
34	0	1509.3155	0	730	2058	2857	4205	506	8.5	200	1	1	1510.9508	1	5	
35	0	1517.1084	0	460	1105	2857	4205	511	8.5	200	0	1	1518.5692	0	0	
36	1	1527.8409	1	460	1105	2857	4205	511	8.5	200	0	0	1532.1042	1	0	
37	0	1535.4536	0	730	2058	2857	4205	502	-3.5	200	1	1	1537.0802	1	3	
38	0	1541.6764	0	730	2058	2857	4205	505	8.5	200	1	1	1543.2465	1	1	
39	0	1548.1315	1	730	2058	2857	4205	509	2.5	200	1	0	1553.4403	0	3	
