Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature
1,0,5.4249,0,460,1105,2857,4205,651,10.0,200,0,0,9.6501,1,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
2,0,15.2161,0,460,1105,2857,4205,701,10.0,200,0,1,16.3344,0,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
3,1,22.9088,0,460,1105,2857,4205,701,10.0,200,0,1,23.8198,0,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
4,1,43.3916,0,460,1105,2857,4205,701,10.0,200,0,1,43.9734,0,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
5,1,65.141,0,460,1105,2857,4205,701,10.0,200,0,0,65.7737,1,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
6,0,71.1764,0,460,1105,2857,4205,901,10.0,200,0,0,71.8206,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
7,0,77.2989,1,730,2058,2857,4205,601,10.0,200,1,1,79.0783,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
8,0,89.0657,0,730,2058,2857,4205,851,10.0,200,1,0,90.0143,0,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
9,1,99.1844,0,730,2058,2857,4205,851,10.0,200,1,0,99.6454,0,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
10,1,109.0176,1,730,2058,2857,4205,851,10.0,200,1,1,110.0949,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
11,0,124.005,0,730,2058,2857,4205,951,10.0,200,1,0,124.9325,0,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37
