Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,Mask,originalFile,LeftTemperature,RightTemperature
1,0,12.287,0,437,2761,2975,4263,576,-11.3,200,0,0,12.9087,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
2,0,20.3939,0,936,1551,2975,4263,626,-11.3,200,1,0,20.7317,0,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
3,1,27.0817,0,936,1551,2975,4263,626,-11.3,200,1,0,28.0524,0,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
4,1,34.9309,0,936,1551,2975,4263,626,-11.3,200,1,1,35.6662,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
5,0,42.0879,0,437,2761,2975,4263,501,-10.0,200,0,0,42.7145,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
6,0,47.0409,0,936,1551,2975,4263,726,-12.5,200,1,0,47.4917,0,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
7,1,58.8421,0,936,1551,2975,4263,726,-12.5,200,1,0,59.4841,0,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
8,1,67.7714,0,936,1551,2975,4263,726,-12.5,200,1,0,68.476,0,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
9,1,77.5373,0,936,1551,2975,4263,726,-12.5,200,1,1,78.2295,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
10,0,84.7535,0,936,1551,2975,4263,526,-12.5,200,1,1,85.3159,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
11,0,91.0703,0,936,1551,2975,4263,701,-12.5,200,1,1,91.8121,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
12,0,101.7852,0,437,2761,2975,4263,601,-10.0,200,0,0,102.55,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
13,0,112.7718,0,437,2761,2975,4263,751,-11.3,200,0,0,113.4605,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
14,0,118.002,0,936,1551,2975,4263,651,-15.0,200,1,1,118.5504,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
15,0,124.2897,1,437,2761,2975,4263,676,-12.5,200,0,0,124.7889,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
16,0,129.9123,0,437,2761,2975,4263,726,-15.0,200,0,0,130.1716,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
17,0,134.8299,0,936,1551,2975,4263,751,-15.0,200,1,1,135.3295,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
18,0,140.5874,0,437,2761,2975,4263,601,-13.8,200,0,0,141.5767,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
19,0,147.1293,0,437,2761,2975,4263,651,-15.0,200,0,0,147.5257,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
20,0,152.0834,0,936,1551,2975,4263,526,-10.0,200,1,1,152.5542,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
21,0,158.7088,0,936,1551,2975,4263,701,-10.0,200,1,0,159.0599,0,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
22,1,165.8925,0,936,1551,2975,4263,701,-10.0,200,1,1,166.6843,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
23,0,172.7781,0,437,2761,2975,4263,501,-13.8,200,0,0,173.2685,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
