Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
1,0,3.0629,1,936,1551,2975,4263,508,-6,200,0,0,4.0701,1,2,735935.409757672,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
2,0,7.8397,0,437,2761,2975,4263,501,-6,200,1,0,8.6794,0,3,735935.409812959,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
3,1,12.2676,0,437,2761,2975,4263,501,-6,200,1,1,13.7294,1,3,735935.409864208,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
4,0,18.5086,1,437,2761,2975,4263,507,-12.8,200,1,0,21.2692,0,2,735935.409936442,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
5,1,29.9378,1,437,2761,2975,4263,507,-12.8,200,1,1,33.4829,1,2,735935.410068725,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
6,0,35.0257,1,437,2761,2975,4263,505,-12.8,200,1,1,38.2811,1,0,735935.410127612,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
7,0,40.5428,1,936,1551,2975,4263,509,-8.3,200,0,0,42.2971,1,0,735935.410191468,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
8,0,45.6769,0,936,1551,2975,4263,506,-15,200,0,0,46.6333,1,2,735935.41025089,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
9,0,49.8429,0,936,1551,2975,4263,511,-6,200,0,0,50.8347,1,3,735935.410299108,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
10,0,54.1396,0,936,1551,2975,4263,503,-15,200,0,0,55.1004,1,3,735935.410348838,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
11,0,58.1612,0,437,2761,2975,4263,510,-8.3,200,1,1,59.5496,1,1,735935.410395384,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
