Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
1,0,105.1037,0,730,2058,2857,4205,507,-3.5,200,1,1,106.1627,1,3,736363.43184399,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
2,0,134.3373,0,460,1105,2857,4205,501,-9.5,200,0,0,135.358,1,0,736363.432182341,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
3,0,141.0749,0,730,2058,2857,4205,506,-3.5,200,1,1,141.8843,1,5,736363.432260323,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
4,0,148.2831,1,460,1105,2857,4205,510,2.5,200,0,0,152.5579,1,3,736363.432343751,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
5,0,156.9302,0,460,1105,2857,4205,508,-9.5,200,0,0,158.5277,1,3,736363.432443833,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
6,0,164.3674,0,730,2058,2857,4205,504,-0.5,200,1,1,165.8945,1,1,736363.432529912,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
7,0,173.9895,0,460,1105,2857,4205,502,-3.5,200,0,0,175.1143,1,2,736363.432641279,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
8,0,180.0592,0,460,1105,2857,4205,505,2.5,200,0,0,181.0875,1,5,736363.43271153,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
9,0,185.3892,0,730,2058,2857,4205,509,2.5,200,1,1,186.6331,1,3,736363.43277322,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
10,0,192.3763,0,730,2058,2857,4205,503,-0.5,200,1,0,193.5661,0,0,736363.432854089,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
11,1,198.885,0,730,2058,2857,4205,503,-0.5,200,1,1,200.4902,1,0,736363.432929421,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
12,0,212.8085,0,460,1105,2857,4205,506,-6.5,200,0,0,214.1681,1,0,736363.433090573,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
13,0,218.9304,0,730,2058,2857,4205,504,-3.5,200,1,1,220.3929,1,1,736363.433161428,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
14,0,226.7965,0,460,1105,2857,4205,502,-12.5,200,0,0,228.1624,1,4,736363.433252471,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
15,0,232.8639,0,460,1105,2857,4205,510,-6.5,200,0,0,233.9777,1,3,736363.433322696,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
16,0,238.4338,0,460,1105,2857,4205,505,2.5,200,0,1,239.5157,0,0,736363.433387162,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
17,1,243.1212,0,460,1105,2857,4205,505,2.5,200,0,0,243.9475,1,0,736363.433441414,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
18,0,249.485,0,730,2058,2857,4205,511,-9.5,200,1,1,250.7412,1,5,736363.433515069,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
19,0,256.7155,1,730,2058,2857,4205,501,-9.5,200,1,1,260.802,1,1,736363.433598756,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
20,0,266.8992,0,730,2058,2857,4205,503,-3.5,200,1,0,268.3054,0,2,736363.433716623,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
21,1,273.4977,0,730,2058,2857,4205,503,-3.5,200,1,1,274.6824,1,2,736363.433792994,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
22,0,280.6862,0,460,1105,2857,4205,508,-9.5,200,0,0,281.8269,1,1,736363.433876194,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
23,0,285.8663,0,460,1105,2857,4205,507,-3.5,200,0,0,286.9107,1,5,736363.433936149,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
24,0,290.9748,0,730,2058,2857,4205,508,-6.5,200,1,1,292.2804,1,1,736363.433995276,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
25,0,297.5161,0,730,2058,2857,4205,501,-9.5,200,1,1,298.5191,1,3,736363.434070985,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
26,0,303.9434,1,730,2058,2857,4205,505,-12.5,200,1,1,307.969,1,3,736363.434145375,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
27,0,314.7248,0,730,2058,2857,4205,510,2.5,200,1,0,315.7972,0,1,736363.43427016,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
28,1,321.1508,0,730,2058,2857,4205,510,2.5,200,1,1,322.5669,1,1,736363.434344535,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
29,0,328.1181,0,730,2058,2857,4205,503,-0.5,200,1,1,329.4968,1,4,736363.434425175,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
30,0,335.4545,0,460,1105,2857,4205,507,-6.5,200,0,0,336.5554,1,5,736363.434510087,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
31,0,340.6553,0,460,1105,2857,4205,506,2.5,200,0,0,341.8973,1,2,736363.434570281,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
32,0,346.4373,0,730,2058,2857,4205,502,-6.5,200,1,0,346.5059,0,0,736363.434637203,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
33,1,350.6174,1,730,2058,2857,4205,502,-6.5,200,1,0,350.6536,0,0,736363.434685583,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
34,1,354.4002,0,730,2058,2857,4205,502,-6.5,200,1,0,354.4942,0,0,736363.434729366,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
35,1,358.467,0,730,2058,2857,4205,502,-6.5,200,1,0,358.4883,0,0,736363.434776435,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
