Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
0,12,2,2014,15,44,12,5537,20.6,5537,20.3
1,12,2,2014,15,44,13,5537,20.6,5537,20.3
2,12,2,2014,15,44,14,5537,20.6,5537,20.3
3,12,2,2014,15,44,15,5537,20.6,5537,20.3
4,12,2,2014,15,44,16,5537,20.6,5537,20.3
5,12,2,2014,15,44,17,5537,20.6,5537,20.3
6,12,2,2014,15,44,18,5537,20.6,5537,20.3
7,12,2,2014,15,44,19,5537,20.6,5537,20.3
8,12,2,2014,15,44,20,5537,20.6,5537,20.3
9,12,2,2014,15,44,21,5537,20.6,5537,20.3
10,12,2,2014,15,44,22,5537,20.6,5537,20.3
11,12,2,2014,15,44,23,5537,20.6,5537,20.3
12,12,2,2014,15,44,25,5537,20.6,5537,20.3
13,12,2,2014,15,44,26,5537,20.6,5537,20.3
14,12,2,2014,15,44,27,5537,20.6,5537,20.3
15,12,2,2014,15,44,28,5537,20.6,5537,20.3
16,12,2,2014,15,44,29,5537,20.6,5537,20.3
17,12,2,2014,15,44,30,5537,20.6,5537,20.3
18,12,2,2014,15,44,31,5537,20.6,5537,20.3
19,12,2,2014,15,44,32,5537,20.6,5537,20.3
20,12,2,2014,15,44,33,5537,20.6,5537,20.3
21,12,2,2014,15,44,34,5537,20.6,5537,20.3
22,12,2,2014,15,44,35,5537,20.6,5537,20.3
23,12,2,2014,15,44,36,5537,20.6,5537,20.3
24,12,2,2014,15,44,37,5537,20.6,5537,20.3
25,12,2,2014,15,44,38,5537,20.6,5537,20.3
26,12,2,2014,15,44,39,5537,20.6,5537,20.3
27,12,2,2014,15,44,40,5537,20.6,5537,20.3
28,12,2,2014,15,44,41,5537,20.6,5537,20.3
29,12,2,2014,15,44,42,5537,20.6,5537,20.3
30,12,2,2014,15,44,43,5537,20.6,5537,20.3
31,12,2,2014,15,44,44,5537,20.6,5537,20.3
32,12,2,2014,15,44,45,5537,20.6,5537,20.3
33,12,2,2014,15,44,46,5537,20.6,5537,20.3
34,12,2,2014,15,44,47,5537,20.6,5537,20.3
35,12,2,2014,15,44,48,5537,20.6,5537,20.3
36,12,2,2014,15,44,49,5537,20.6,5537,20.3
37,12,2,2014,15,44,50,5537,20.6,5537,20.3
38,12,2,2014,15,44,51,5537,20.6,5537,20.3
39,12,2,2014,15,44,52,5537,20.6,5537,20.3
40,12,2,2014,15,44,53,5537,20.6,5537,20.3
41,12,2,2014,15,44,54,5537,20.6,5537,20.3
42,12,2,2014,15,44,55,5537,20.6,5537,20.3
43,12,2,2014,15,44,56,5537,20.6,5537,20.3
44,12,2,2014,15,44,57,5537,20.6,5537,20.3
45,12,2,2014,15,44,58,5537,20.6,5537,20.3
46,12,2,2014,15,44,59,5537,20.6,5537,20.3
47,12,2,2014,15,45,0,5537,20.6,5537,20.3
48,12,2,2014,15,45,1,5537,20.6,5537,20.3
49,12,2,2014,15,45,2,5537,20.6,5537,20.3
50,12,2,2014,15,45,3,5537,20.6,5537,20.3
51,12,2,2014,15,45,4,5537,20.6,5537,20.3
52,12,2,2014,15,45,5,5537,20.6,5537,20.3
53,12,2,2014,15,45,6,5537,20.6,5537,20.3
54,12,2,2014,15,45,7,5537,20.6,5537,20.3
55,12,2,2014,15,45,8,5537,20.6,5537,20.3
56,12,2,2014,15,45,9,5537,20.6,5537,20.3
57,12,2,2014,15,45,10,5537,20.6,5537,20.3
58,12,2,2014,15,45,11,5537,20.6,5537,20.3
59,12,2,2014,15,45,12,5537,20.6,5537,20.3
60,12,2,2014,15,45,13,5537,20.6,5537,20.3
61,12,2,2014,15,45,14,5537,20.6,5537,20.3
62,12,2,2014,15,45,15,5537,20.6,5537,20.3
63,12,2,2014,15,45,16,5537,20.6,5537,20.3
64,12,2,2014,15,45,17,5537,20.6,5537,20.3
65,12,2,2014,15,45,18,5537,20.6,5537,20.3
66,12,2,2014,15,45,19,5537,20.6,5537,20.3
67,12,2,2014,15,45,20,5537,20.6,5537,20.3
68,12,2,2014,15,45,21,5537,20.6,5537,20.3
69,12,2,2014,15,45,22,5537,20.6,5537,20.3
70,12,2,2014,15,45,23,5537,20.6,5537,20.3
71,12,2,2014,15,45,24,5537,20.6,5537,20.3
72,12,2,2014,15,45,25,5537,20.6,5537,20.3
73,12,2,2014,15,45,26,5537,20.6,5537,20.3
74,12,2,2014,15,45,27,5537,20.6,5537,20.3
75,12,2,2014,15,45,28,5537,20.6,5537,20.3
76,12,2,2014,15,45,29,5537,20.6,5537,20.3
77,12,2,2014,15,45,30,5537,20.6,5537,20.3
78,12,2,2014,15,45,31,5537,20.6,5537,20.3
79,12,2,2014,15,45,32,5537,20.6,5537,20.3
80,12,2,2014,15,45,33,5537,20.6,5537,20.3
81,12,2,2014,15,45,34,5537,20.6,5537,20.3
82,12,2,2014,15,45,35,5537,20.6,5537,20.3
83,12,2,2014,15,45,36,5537,20.6,5537,20.3
84,12,2,2014,15,45,38,5537,20.6,5537,20.3
85,12,2,2014,15,45,39,5537,20.6,5537,20.3
86,12,2,2014,15,45,40,5537,20.6,5537,20.3
87,12,2,2014,15,45,41,5537,20.6,5537,20.3
88,12,2,2014,15,45,42,5537,20.6,5537,20.3
89,12,2,2014,15,45,43,5537,20.6,5537,20.3
90,12,2,2014,15,45,44,5537,20.6,5537,20.3
91,12,2,2014,15,45,45,5537,20.6,5537,20.3
