Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
0,12,5,2014,15,28,48,5537,20.6,5537,20.3
1,12,5,2014,15,28,50,5537,20.6,5537,20.3
2,12,5,2014,15,28,51,5537,20.6,5537,20.3
3,12,5,2014,15,28,52,5537,20.6,5537,20.3
4,12,5,2014,15,28,53,5537,20.6,5537,20.3
5,12,5,2014,15,28,54,5537,20.6,5537,20.3
6,12,5,2014,15,28,55,5537,20.6,5537,20.3
7,12,5,2014,15,28,56,5537,20.6,5537,20.3
8,12,5,2014,15,28,57,5537,20.6,5537,20.3
9,12,5,2014,15,28,58,5537,20.6,5537,20.3
10,12,5,2014,15,28,59,5537,20.6,5537,20.3
11,12,5,2014,15,29,0,5537,20.6,5537,20.3
12,12,5,2014,15,29,1,5537,20.6,5537,20.3
13,12,5,2014,15,29,2,5537,20.6,5537,20.3
14,12,5,2014,15,29,3,5537,20.6,5537,20.3
15,12,5,2014,15,29,4,5537,20.6,5537,20.3
16,12,5,2014,15,29,5,5537,20.6,5537,20.3
17,12,5,2014,15,29,6,5537,20.6,5537,20.3
18,12,5,2014,15,29,7,5537,20.6,5537,20.3
19,12,5,2014,15,29,8,5537,20.6,5537,20.3
20,12,5,2014,15,29,9,5537,20.6,5537,20.3
21,12,5,2014,15,29,10,5537,20.6,5537,20.3
22,12,5,2014,15,29,11,5537,20.6,5537,20.3
23,12,5,2014,15,29,12,5537,20.6,5537,20.3
24,12,5,2014,15,29,13,5537,20.6,5537,20.3
25,12,5,2014,15,29,14,5537,20.6,5537,20.3
26,12,5,2014,15,29,15,5537,20.6,5537,20.3
27,12,5,2014,15,29,16,5537,20.6,5537,20.3
28,12,5,2014,15,29,17,5537,20.6,5537,20.3
29,12,5,2014,15,29,18,5537,20.6,5537,20.3
30,12,5,2014,15,29,19,5537,20.6,5537,20.3
31,12,5,2014,15,29,20,5537,20.6,5537,20.3
32,12,5,2014,15,29,21,5537,20.6,5537,20.3
33,12,5,2014,15,29,22,5537,20.6,5537,20.3
34,12,5,2014,15,29,23,5537,20.6,5537,20.3
35,12,5,2014,15,29,24,5537,20.6,5537,20.3
36,12,5,2014,15,29,25,5537,20.6,5537,20.3
37,12,5,2014,15,29,26,5537,20.6,5537,20.3
38,12,5,2014,15,29,27,5537,20.6,5537,20.3
39,12,5,2014,15,29,28,5537,20.6,5537,20.3
40,12,5,2014,15,29,29,5537,20.6,5537,20.3
41,12,5,2014,15,29,30,5537,20.6,5537,20.3
42,12,5,2014,15,29,31,5537,20.6,5537,20.3
43,12,5,2014,15,29,32,5537,20.6,5537,20.3
44,12,5,2014,15,29,33,5537,20.6,5537,20.3
45,12,5,2014,15,29,34,5537,20.6,5537,20.3
46,12,5,2014,15,29,35,5537,20.6,5537,20.3
47,12,5,2014,15,29,36,5537,20.6,5537,20.3
48,12,5,2014,15,29,37,5537,20.6,5537,20.3
49,12,5,2014,15,29,38,5537,20.6,5537,20.3
50,12,5,2014,15,29,39,5537,20.6,5537,20.3
51,12,5,2014,15,29,40,5537,20.6,5537,20.3
52,12,5,2014,15,29,41,5537,20.6,5537,20.3
53,12,5,2014,15,29,42,5537,20.6,5537,20.3
54,12,5,2014,15,29,43,5537,20.6,5537,20.3
55,12,5,2014,15,29,44,5537,20.6,5537,20.3
56,12,5,2014,15,29,45,5537,20.6,5537,20.3
57,12,5,2014,15,29,46,5537,20.6,5537,20.3
58,12,5,2014,15,29,47,5537,20.6,5537,20.3
59,12,5,2014,15,29,48,5537,20.6,5537,20.3
60,12,5,2014,15,29,49,5537,20.6,5537,20.3
61,12,5,2014,15,29,50,5537,20.6,5537,20.3
62,12,5,2014,15,29,51,5537,20.6,5537,20.3
63,12,5,2014,15,29,52,5537,20.6,5537,20.3
64,12,5,2014,15,29,53,5537,20.6,5537,20.3
65,12,5,2014,15,29,54,5537,20.6,5537,20.3
66,12,5,2014,15,29,55,5537,20.6,5537,20.3
67,12,5,2014,15,29,56,5537,20.6,5537,20.3
68,12,5,2014,15,29,57,5537,20.6,5537,20.3
69,12,5,2014,15,29,58,5537,20.6,5537,20.3
70,12,5,2014,15,29,59,5537,20.6,5537,20.3
71,12,5,2014,15,30,1,5537,20.6,5537,20.3
72,12,5,2014,15,30,2,5537,20.6,5537,20.3
73,12,5,2014,15,30,3,5537,20.6,5537,20.3
74,12,5,2014,15,30,4,5537,20.6,5537,20.3
75,12,5,2014,15,30,5,5537,20.6,5537,20.3
76,12,5,2014,15,30,6,5537,20.6,5537,20.3
77,12,5,2014,15,30,7,5537,20.6,5537,20.3
78,12,5,2014,15,30,8,5537,20.6,5537,20.3
79,12,5,2014,15,30,9,5537,20.6,5537,20.3
80,12,5,2014,15,30,10,5537,20.6,5537,20.3
81,12,5,2014,15,30,11,5537,20.6,5537,20.3
82,12,5,2014,15,30,12,5537,20.6,5537,20.3
83,12,5,2014,15,30,13,5537,20.6,5537,20.3
84,12,5,2014,15,30,14,5537,20.6,5537,20.3
85,12,5,2014,15,30,15,5537,20.6,5537,20.3
86,12,5,2014,15,30,16,5537,20.6,5537,20.3
87,12,5,2014,15,30,17,5537,20.6,5537,20.3
88,12,5,2014,15,30,18,5537,20.6,5537,20.3
89,12,5,2014,15,30,19,5537,20.6,5537,20.3
90,12,5,2014,15,30,20,5537,20.6,5537,20.3
91,12,5,2014,15,30,21,5537,20.6,5537,20.3
92,12,5,2014,15,30,22,5537,20.6,5537,20.3
93,12,5,2014,15,30,23,5537,20.6,5537,20.3
94,12,5,2014,15,30,24,5537,20.6,5537,20.3
95,12,5,2014,15,30,25,5537,20.6,5537,20.3
96,12,5,2014,15,30,26,5537,20.6,5537,20.3
97,12,5,2014,15,30,27,5537,20.6,5537,20.3
98,12,5,2014,15,30,28,5537,20.6,5537,20.3
99,12,5,2014,15,30,29,5537,20.6,5537,20.3
100,12,5,2014,15,30,30,5537,20.6,5537,20.3
101,12,5,2014,15,30,31,5537,20.6,5537,20.3
102,12,5,2014,15,30,32,5537,20.6,5537,20.3
103,12,5,2014,15,30,33,5537,20.6,5537,20.3
104,12,5,2014,15,30,34,5537,20.6,5537,20.3
105,12,5,2014,15,30,35,5537,20.6,5537,20.3
106,12,5,2014,15,30,36,5537,20.6,5537,20.3
107,12,5,2014,15,30,37,5537,20.6,5537,20.3
108,12,5,2014,15,30,38,5537,20.6,5537,20.3
109,12,5,2014,15,30,39,5537,20.6,5537,20.3
110,12,5,2014,15,30,40,5537,20.6,5537,20.3
111,12,5,2014,15,30,41,5537,20.6,5537,20.3
112,12,5,2014,15,30,42,5537,20.6,5537,20.3
113,12,5,2014,15,30,43,5537,20.6,5537,20.3
114,12,5,2014,15,30,44,5537,20.6,5537,20.3
115,12,5,2014,15,30,45,5537,20.6,5537,20.3
116,12,5,2014,15,30,46,5537,20.6,5537,20.3
117,12,5,2014,15,30,47,5537,20.6,5537,20.3
118,12,5,2014,15,30,48,5537,20.6,5537,20.3
119,12,5,2014,15,30,49,5537,20.6,5537,20.3
120,12,5,2014,15,30,50,5537,20.6,5537,20.3
121,12,5,2014,15,30,51,5537,20.6,5537,20.3
122,12,5,2014,15,30,52,5537,20.6,5537,20.3
123,12,5,2014,15,30,53,5537,20.6,5537,20.3
124,12,5,2014,15,30,54,5537,20.6,5537,20.3
125,12,5,2014,15,30,55,5537,20.6,5537,20.3
126,12,5,2014,15,30,56,5537,20.6,5537,20.3
127,12,5,2014,15,30,57,5537,20.6,5537,20.3
128,12,5,2014,15,30,58,5537,20.6,5537,20.3
129,12,5,2014,15,30,59,5537,20.6,5537,20.3
130,12,5,2014,15,31,0,5537,20.6,5537,20.3
131,12,5,2014,15,31,1,5537,20.6,5537,20.3
132,12,5,2014,15,31,2,5537,20.6,5537,20.3
133,12,5,2014,15,31,3,5537,20.6,5537,20.3
134,12,5,2014,15,31,4,5537,20.6,5537,20.3
135,12,5,2014,15,31,5,5537,20.6,5537,20.3
136,12,5,2014,15,31,6,5537,20.6,5537,20.3
137,12,5,2014,15,31,7,5537,20.6,5537,20.3
138,12,5,2014,15,31,8,5537,20.6,5537,20.3
139,12,5,2014,15,31,9,5537,20.6,5537,20.3
140,12,5,2014,15,31,10,5537,20.6,5537,20.3
141,12,5,2014,15,31,11,5537,20.6,5537,20.3
142,12,5,2014,15,31,13,5537,20.6,5537,20.3
143,12,5,2014,15,31,14,5537,20.6,5537,20.3
144,12,5,2014,15,31,15,5537,20.6,5537,20.3
145,12,5,2014,15,31,16,5537,20.6,5537,20.3
146,12,5,2014,15,31,17,5537,20.6,5537,20.3
147,12,5,2014,15,31,18,5537,20.6,5537,20.3
148,12,5,2014,15,31,19,5537,20.6,5537,20.3
149,12,5,2014,15,31,20,5537,20.6,5537,20.3
150,12,5,2014,15,31,21,5537,20.6,5537,20.3
151,12,5,2014,15,31,22,5537,20.6,5537,20.3
152,12,5,2014,15,31,23,5537,20.6,5537,20.3
153,12,5,2014,15,31,24,5537,20.6,5537,20.3
154,12,5,2014,15,31,25,5537,20.6,5537,20.3
155,12,5,2014,15,31,26,5537,20.6,5537,20.3
156,12,5,2014,15,31,27,5537,20.6,5537,20.3
157,12,5,2014,15,31,28,5537,20.6,5537,20.3
158,12,5,2014,15,31,29,5537,20.6,5537,20.3
159,12,5,2014,15,31,30,5537,20.6,5537,20.3
160,12,5,2014,15,31,31,5537,20.6,5537,20.3
161,12,5,2014,15,31,32,5537,20.6,5537,20.3
162,12,5,2014,15,31,33,5537,20.6,5537,20.3
163,12,5,2014,15,31,34,5537,20.6,5537,20.3
164,12,5,2014,15,31,35,5537,20.6,5537,20.3
165,12,5,2014,15,31,36,5537,20.6,5537,20.3
166,12,5,2014,15,31,37,5537,20.6,5537,20.3
167,12,5,2014,15,31,38,5537,20.6,5537,20.3
168,12,5,2014,15,31,39,5537,20.6,5537,20.3
169,12,5,2014,15,31,40,5537,20.6,5537,20.3
170,12,5,2014,15,31,41,5537,20.6,5537,20.3
171,12,5,2014,15,31,42,5537,20.6,5537,20.3
172,12,5,2014,15,31,43,5537,20.6,5537,20.3
173,12,5,2014,15,31,44,5537,20.6,5537,20.3
174,12,5,2014,15,31,45,5537,20.6,5537,20.3
175,12,5,2014,15,31,46,5537,20.6,5537,20.3
176,12,5,2014,15,31,47,5537,20.6,5537,20.3
177,12,5,2014,15,31,48,5537,20.6,5537,20.3
178,12,5,2014,15,31,49,5537,20.6,5537,20.3
