Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
0,12,12,2014,14,6,34,5537,20.3,5537,20.3
1,12,12,2014,14,6,35,5537,20.3,5537,20.3
2,12,12,2014,14,6,36,5537,20.3,5537,20.3
3,12,12,2014,14,6,38,5537,20.3,5537,20.3
4,12,12,2014,14,6,39,5537,20.3,5537,20.3
5,12,12,2014,14,6,40,5537,20.3,5537,20.3
6,12,12,2014,14,6,41,5537,20.3,5537,20.3
7,12,12,2014,14,6,42,5537,20.3,5537,20.3
8,12,12,2014,14,6,43,5537,20.3,5537,20.3
9,12,12,2014,14,6,44,5537,20.3,5537,20.3
10,12,12,2014,14,6,45,5537,20.3,5537,20.3
11,12,12,2014,14,6,46,5537,20.3,5537,20.3
12,12,12,2014,14,6,47,5537,20.3,5537,20.3
13,12,12,2014,14,6,48,5537,20.3,5537,20.3
14,12,12,2014,14,6,49,5537,20.3,5537,20.3
15,12,12,2014,14,6,50,5537,20.3,5537,20.3
16,12,12,2014,14,6,51,5537,20.3,5537,20.3
17,12,12,2014,14,6,52,5537,20.3,5537,20.3
18,12,12,2014,14,6,53,5537,20.3,5537,20.3
19,12,12,2014,14,6,54,5537,20.3,5537,20.3
20,12,12,2014,14,6,55,5537,20.3,5537,20.3
21,12,12,2014,14,6,56,5537,20.3,5537,20.3
22,12,12,2014,14,6,57,5537,20.3,5537,20.3
23,12,12,2014,14,6,58,5537,20.3,5537,20.3
24,12,12,2014,14,6,59,5537,20.3,5537,20.3
25,12,12,2014,14,7,0,5537,20.3,5537,20.3
26,12,12,2014,14,7,1,5537,20.3,5537,20.3
27,12,12,2014,14,7,2,5537,20.3,5537,20.3
28,12,12,2014,14,7,3,5537,20.3,5537,20.3
29,12,12,2014,14,7,4,5537,20.3,5537,20.3
30,12,12,2014,14,7,5,5537,20.3,5537,20.3
31,12,12,2014,14,7,6,5537,20.3,5537,20.3
32,12,12,2014,14,7,7,5537,20.3,5537,20.3
33,12,12,2014,14,7,8,5537,20.3,5537,20.3
34,12,12,2014,14,7,9,5537,20.3,5537,20.3
35,12,12,2014,14,7,10,5537,20.3,5537,20.3
36,12,12,2014,14,7,11,5537,20.3,5537,20.3
37,12,12,2014,14,7,12,5537,20.3,5537,20.3
38,12,12,2014,14,7,13,5537,20.3,5537,20.3
39,12,12,2014,14,7,14,5537,20.3,5537,20.3
40,12,12,2014,14,7,15,5537,20.3,5537,20.3
41,12,12,2014,14,7,16,5537,20.3,5537,20.3
42,12,12,2014,14,7,17,5537,20.3,5537,20.3
43,12,12,2014,14,7,18,5537,20.3,5537,20.3
44,12,12,2014,14,7,19,5537,20.3,5537,20.3
45,12,12,2014,14,7,20,5537,20.3,5537,20.3
46,12,12,2014,14,7,21,5537,20.3,5537,20.3
47,12,12,2014,14,7,22,5537,20.3,5537,20.3
48,12,12,2014,14,7,23,5537,20.3,5537,20.3
49,12,12,2014,14,7,24,5537,20.3,5537,20.3
50,12,12,2014,14,7,25,5537,20.3,5537,20.3
51,12,12,2014,14,7,26,5537,20.3,5537,20.3
52,12,12,2014,14,7,27,5537,20.3,5537,20.3
53,12,12,2014,14,7,28,5537,20.3,5537,20.3
54,12,12,2014,14,7,29,5537,20.3,5537,20.3
55,12,12,2014,14,7,30,5537,20.3,5537,20.3
56,12,12,2014,14,7,31,5537,20.3,5537,20.3
57,12,12,2014,14,7,32,5537,20.3,5537,20.3
58,12,12,2014,14,7,33,5537,20.3,5537,20.3
59,12,12,2014,14,7,34,5537,20.3,5537,20.3
60,12,12,2014,14,7,35,5537,20.3,5537,20.3
61,12,12,2014,14,7,36,5537,20.3,5537,20.3
62,12,12,2014,14,7,37,5537,20.3,5537,20.3
63,12,12,2014,14,7,38,5537,20.3,5537,20.3
64,12,12,2014,14,7,39,5537,20.3,5537,20.3
65,12,12,2014,14,7,40,5537,20.3,5537,20.3
66,12,12,2014,14,7,41,5537,20.3,5537,20.3
67,12,12,2014,14,7,42,5537,20.3,5537,20.3
68,12,12,2014,14,7,43,5537,20.3,5537,20.3
69,12,12,2014,14,7,44,5537,20.3,5537,20.3
70,12,12,2014,14,7,45,5537,20.3,5537,20.3
71,12,12,2014,14,7,46,5537,20.3,5537,20.3
72,12,12,2014,14,7,47,5537,20.3,5537,20.3
73,12,12,2014,14,7,48,5537,20.3,5537,20.3
74,12,12,2014,14,7,49,5537,20.3,5537,20.3
75,12,12,2014,14,7,51,5537,20.3,5537,20.3
76,12,12,2014,14,7,52,5537,20.3,5537,20.3
77,12,12,2014,14,7,53,5537,20.3,5537,20.3
78,12,12,2014,14,7,54,5537,20.3,5537,20.3
79,12,12,2014,14,7,55,5537,20.3,5537,20.3
80,12,12,2014,14,7,56,5537,20.3,5537,20.3
81,12,12,2014,14,7,57,5537,20.3,5537,20.3
82,12,12,2014,14,7,58,5537,20.3,5537,20.3
83,12,12,2014,14,7,59,5537,20.3,5537,20.3
84,12,12,2014,14,8,0,5537,20.3,5537,20.3
85,12,12,2014,14,8,1,5537,20.3,5537,20.3
86,12,12,2014,14,8,2,5537,20.3,5537,20.3
87,12,12,2014,14,8,3,5537,20.3,5537,20.3
88,12,12,2014,14,8,4,5537,20.3,5537,20.3
89,12,12,2014,14,8,5,5537,20.3,5537,20.3
90,12,12,2014,14,8,6,5537,20.3,5537,20.3
91,12,12,2014,14,8,7,5537,20.3,5537,20.3
92,12,12,2014,14,8,8,5537,20.3,5537,20.3
93,12,12,2014,14,8,9,5537,20.3,5537,20.3
94,12,12,2014,14,8,10,5537,20.3,5537,20.3
95,12,12,2014,14,8,11,5537,20.3,5537,20.3
96,12,12,2014,14,8,12,5537,20.3,5537,20.3
97,12,12,2014,14,8,13,5537,20.3,5537,20.3
98,12,12,2014,14,8,14,5537,20.3,5537,20.3
99,12,12,2014,14,8,15,5537,20.3,5537,20.3
100,12,12,2014,14,8,16,5537,20.3,5537,20.3
101,12,12,2014,14,8,17,5537,20.3,5537,20.3
102,12,12,2014,14,8,18,5537,20.3,5537,20.3
103,12,12,2014,14,8,19,5537,20.3,5537,20.3
104,12,12,2014,14,8,20,5537,20.3,5537,20.3
105,12,12,2014,14,8,21,5537,20.3,5537,20.3
106,12,12,2014,14,8,22,5537,20.3,5537,20.3
107,12,12,2014,14,8,23,5537,20.3,5537,20.3
108,12,12,2014,14,8,24,5537,20.3,5537,20.3
109,12,12,2014,14,8,25,5537,20.3,5537,20.3
110,12,12,2014,14,8,26,5537,20.3,5537,20.3
111,12,12,2014,14,8,27,5537,20.3,5537,20.3
112,12,12,2014,14,8,28,5537,20.3,5537,20.3
113,12,12,2014,14,8,29,5537,20.3,5537,20.3
