Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
0,1,22,2016,17,3,12,5537,19.3,0,0
1,1,22,2016,17,3,13,5537,19.3,0,0
2,1,22,2016,17,3,14,5537,19.3,0,0
3,1,22,2016,17,3,15,5537,19.3,0,0
4,1,22,2016,17,3,16,5537,19.3,0,0
5,1,22,2016,17,3,17,5537,19.3,0,0
6,1,22,2016,17,3,18,5537,19.3,0,0
7,1,22,2016,17,3,19,5537,19.3,0,0
8,1,22,2016,17,3,20,5537,19.3,0,0
9,1,22,2016,17,3,21,5537,19.3,0,0
10,1,22,2016,17,3,22,5537,19.3,0,0
11,1,22,2016,17,3,23,5537,19.3,0,0
12,1,22,2016,17,3,24,5537,19.3,0,0
13,1,22,2016,17,3,25,5537,19.3,0,0
14,1,22,2016,17,3,26,5537,19.3,0,0
15,1,22,2016,17,3,28,5537,19.3,0,0
16,1,22,2016,17,3,29,5537,19.3,0,0
17,1,22,2016,17,3,30,5537,19.3,0,0
18,1,22,2016,17,3,31,5537,19.3,0,0
19,1,22,2016,17,3,32,5537,19.3,0,0
20,1,22,2016,17,3,33,5537,19.3,0,0
21,1,22,2016,17,3,34,5537,19.3,0,0
22,1,22,2016,17,3,35,5537,19.3,0,0
23,1,22,2016,17,3,36,5537,19.3,0,0
24,1,22,2016,17,3,37,5537,19.3,0,0
25,1,22,2016,17,3,38,5537,19.3,0,0
26,1,22,2016,17,3,39,5537,19.3,0,0
27,1,22,2016,17,3,40,5537,19.3,0,0
28,1,22,2016,17,3,41,5537,19.3,0,0
29,1,22,2016,17,3,42,5537,19.3,0,0
30,1,22,2016,17,3,43,5537,19.3,0,0
31,1,22,2016,17,3,44,5537,19.3,0,0
32,1,22,2016,17,3,45,5537,19.3,0,0
33,1,22,2016,17,3,46,5537,19.3,0,0
34,1,22,2016,17,3,47,5537,19.3,0,0
35,1,22,2016,17,3,48,5537,19.3,0,0
36,1,22,2016,17,3,49,5537,19.3,0,0
37,1,22,2016,17,3,50,5537,19.3,0,0
38,1,22,2016,17,3,51,5537,19.3,0,0
39,1,22,2016,17,3,52,5537,19.3,0,0
40,1,22,2016,17,3,53,5537,19.3,0,0
41,1,22,2016,17,3,54,5537,19.3,0,0
42,1,22,2016,17,3,55,5537,19.3,0,0
43,1,22,2016,17,3,56,5537,19.3,0,0
44,1,22,2016,17,3,57,5537,19.3,0,0
45,1,22,2016,17,3,58,5537,19.3,0,0
46,1,22,2016,17,3,59,5537,19.3,0,0
47,1,22,2016,17,4,0,5537,19.3,0,0
48,1,22,2016,17,4,1,5537,19.3,0,0
49,1,22,2016,17,4,2,5537,19.3,0,0
50,1,22,2016,17,4,3,5537,19.3,0,0
51,1,22,2016,17,4,4,5537,19.3,0,0
52,1,22,2016,17,4,5,5537,19.3,0,0
53,1,22,2016,17,4,6,5537,19.3,0,0
54,1,22,2016,17,4,7,5537,19.3,0,0
55,1,22,2016,17,4,8,5537,19.3,0,0
56,1,22,2016,17,4,9,5537,19.3,0,0
57,1,22,2016,17,4,10,5537,19.3,0,0
58,1,22,2016,17,4,11,5537,19.3,0,0
59,1,22,2016,17,4,12,5537,19.3,0,0
60,1,22,2016,17,4,13,5537,19.3,0,0
