Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
0	12/02/2014	15:44:12	5537	20.6	5537	20.3
1	12/02/2014	15:44:13	5537	20.6	5537	20.3
2	12/02/2014	15:44:14	5537	20.6	5537	20.3
3	12/02/2014	15:44:15	5537	20.6	5537	20.3
4	12/02/2014	15:44:16	5537	20.6	5537	20.3
5	12/02/2014	15:44:17	5537	20.6	5537	20.3
6	12/02/2014	15:44:18	5537	20.6	5537	20.3
7	12/02/2014	15:44:19	5537	20.6	5537	20.3
8	12/02/2014	15:44:20	5537	20.6	5537	20.3
9	12/02/2014	15:44:21	5537	20.6	5537	20.3
10	12/02/2014	15:44:22	5537	20.6	5537	20.3
11	12/02/2014	15:44:23	5537	20.6	5537	20.3
12	12/02/2014	15:44:25	5537	20.6	5537	20.3
13	12/02/2014	15:44:26	5537	20.6	5537	20.3
14	12/02/2014	15:44:27	5537	20.6	5537	20.3
15	12/02/2014	15:44:28	5537	20.6	5537	20.3
16	12/02/2014	15:44:29	5537	20.6	5537	20.3
17	12/02/2014	15:44:30	5537	20.6	5537	20.3
18	12/02/2014	15:44:31	5537	20.6	5537	20.3
19	12/02/2014	15:44:32	5537	20.6	5537	20.3
20	12/02/2014	15:44:33	5537	20.6	5537	20.3
21	12/02/2014	15:44:34	5537	20.6	5537	20.3
22	12/02/2014	15:44:35	5537	20.6	5537	20.3
23	12/02/2014	15:44:36	5537	20.6	5537	20.3
24	12/02/2014	15:44:37	5537	20.6	5537	20.3
25	12/02/2014	15:44:38	5537	20.6	5537	20.3
26	12/02/2014	15:44:39	5537	20.6	5537	20.3
27	12/02/2014	15:44:40	5537	20.6	5537	20.3
28	12/02/2014	15:44:41	5537	20.6	5537	20.3
29	12/02/2014	15:44:42	5537	20.6	5537	20.3
30	12/02/2014	15:44:43	5537	20.6	5537	20.3
31	12/02/2014	15:44:44	5537	20.6	5537	20.3
32	12/02/2014	15:44:45	5537	20.6	5537	20.3
33	12/02/2014	15:44:46	5537	20.6	5537	20.3
34	12/02/2014	15:44:47	5537	20.6	5537	20.3
35	12/02/2014	15:44:48	5537	20.6	5537	20.3
36	12/02/2014	15:44:49	5537	20.6	5537	20.3
37	12/02/2014	15:44:50	5537	20.6	5537	20.3
38	12/02/2014	15:44:51	5537	20.6	5537	20.3
39	12/02/2014	15:44:52	5537	20.6	5537	20.3
40	12/02/2014	15:44:53	5537	20.6	5537	20.3
41	12/02/2014	15:44:54	5537	20.6	5537	20.3
42	12/02/2014	15:44:55	5537	20.6	5537	20.3
43	12/02/2014	15:44:56	5537	20.6	5537	20.3
44	12/02/2014	15:44:57	5537	20.6	5537	20.3
45	12/02/2014	15:44:58	5537	20.6	5537	20.3
46	12/02/2014	15:44:59	5537	20.6	5537	20.3
47	12/02/2014	15:45:00	5537	20.6	5537	20.3
48	12/02/2014	15:45:01	5537	20.6	5537	20.3
49	12/02/2014	15:45:02	5537	20.6	5537	20.3
50	12/02/2014	15:45:03	5537	20.6	5537	20.3
51	12/02/2014	15:45:04	5537	20.6	5537	20.3
52	12/02/2014	15:45:05	5537	20.6	5537	20.3
53	12/02/2014	15:45:06	5537	20.6	5537	20.3
54	12/02/2014	15:45:07	5537	20.6	5537	20.3
55	12/02/2014	15:45:08	5537	20.6	5537	20.3
56	12/02/2014	15:45:09	5537	20.6	5537	20.3
57	12/02/2014	15:45:10	5537	20.6	5537	20.3
58	12/02/2014	15:45:11	5537	20.6	5537	20.3
59	12/02/2014	15:45:12	5537	20.6	5537	20.3
60	12/02/2014	15:45:13	5537	20.6	5537	20.3
61	12/02/2014	15:45:14	5537	20.6	5537	20.3
62	12/02/2014	15:45:15	5537	20.6	5537	20.3
63	12/02/2014	15:45:16	5537	20.6	5537	20.3
