Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
0	12/04/2014	15:29:59	5537	20.6	5537	20.3
1	12/04/2014	15:30:00	5537	20.6	5537	20.3
2	12/04/2014	15:30:01	5537	20.6	5537	20.3
3	12/04/2014	15:30:02	5537	20.6	5537	20.3
4	12/04/2014	15:30:03	5537	20.6	5537	20.3
5	12/04/2014	15:30:04	5537	20.6	5537	20.3
6	12/04/2014	15:30:05	5537	20.6	5537	20.3
7	12/04/2014	15:30:06	5537	20.6	5537	20.3
8	12/04/2014	15:30:07	5537	20.6	5537	20.3
9	12/04/2014	15:30:08	5537	20.6	5537	20.3
10	12/04/2014	15:30:09	5537	20.6	5537	20.3
11	12/04/2014	15:30:10	5537	20.6	5537	20.3
12	12/04/2014	15:30:11	5537	20.6	5537	20.3
13	12/04/2014	15:30:12	5537	20.6	5537	20.3
14	12/04/2014	15:30:13	5537	20.6	5537	20.3
15	12/04/2014	15:30:14	5537	20.6	5537	20.3
16	12/04/2014	15:30:15	5537	20.6	5537	20.3
17	12/04/2014	15:30:16	5537	20.6	5537	20.3
18	12/04/2014	15:30:17	5537	20.6	5537	20.3
19	12/04/2014	15:30:18	5537	20.6	5537	20.3
20	12/04/2014	15:30:19	5537	20.6	5537	20.3
21	12/04/2014	15:30:20	5537	20.6	5537	20.3
22	12/04/2014	15:30:21	5537	20.6	5537	20.3
23	12/04/2014	15:30:22	5537	20.6	5537	20.3
24	12/04/2014	15:30:23	5537	20.6	5537	20.3
25	12/04/2014	15:30:24	5537	20.6	5537	20.3
26	12/04/2014	15:30:25	5537	20.6	5537	20.3
27	12/04/2014	15:30:26	5537	20.6	5537	20.3
28	12/04/2014	15:30:27	5537	20.6	5537	20.3
29	12/04/2014	15:30:28	5537	20.6	5537	20.3
30	12/04/2014	15:30:29	5537	20.6	5537	20.3
31	12/04/2014	15:30:30	5537	20.6	5537	20.3
32	12/04/2014	15:30:31	5537	20.6	5537	20.3
33	12/04/2014	15:30:32	5537	20.6	5537	20.3
34	12/04/2014	15:30:33	5537	20.6	5537	20.3
35	12/04/2014	15:30:34	5537	20.6	5537	20.3
36	12/04/2014	15:30:35	5537	20.6	5537	20.3
37	12/04/2014	15:30:36	5537	20.6	5537	20.3
38	12/04/2014	15:30:37	-18	-17.8	5537	20.3
39	12/04/2014	15:30:38	-18	-17.8	5537	20.3
40	12/04/2014	15:30:39	-18	-17.8	5537	20.3
41	12/04/2014	15:30:40	-18	-17.8	5537	20.3
42	12/04/2014	15:30:41	-18	-17.8	5537	20.3
43	12/04/2014	15:30:42	-18	-17.8	5537	20.3
44	12/04/2014	15:30:43	-18	-17.8	5537	20.3
45	12/04/2014	15:30:44	-18	-17.8	5537	20.3
