Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
0	12/13/2014	15:42:01	5537	20.0	5537	19.8
1	12/13/2014	15:42:02	5537	20.0	5537	19.8
2	12/13/2014	15:42:03	5537	20.0	5537	19.8
3	12/13/2014	15:42:04	5537	20.0	5537	19.8
4	12/13/2014	15:42:05	5537	20.0	5537	19.8
5	12/13/2014	15:42:06	5537	20.0	5537	19.8
6	12/13/2014	15:42:07	5537	20.0	5537	19.8
7	12/13/2014	15:42:08	5537	20.0	5537	19.8
8	12/13/2014	15:42:09	5537	20.0	5537	19.8
9	12/13/2014	15:42:10	5537	20.0	5537	19.8
10	12/13/2014	15:42:12	5537	20.0	5537	19.8
11	12/13/2014	15:42:13	5537	20.0	5537	19.8
12	12/13/2014	15:42:14	5537	20.0	5537	19.8
13	12/13/2014	15:42:15	5537	20.0	5537	19.8
14	12/13/2014	15:42:16	5537	20.0	5537	19.8
15	12/13/2014	15:42:17	5537	20.0	5537	19.8
16	12/13/2014	15:42:18	5537	20.0	5537	19.8
17	12/13/2014	15:42:19	5537	20.0	5537	19.8
18	12/13/2014	15:42:20	5537	20.0	5537	19.8
19	12/13/2014	15:42:21	5537	20.0	5537	19.8
20	12/13/2014	15:42:22	5537	20.0	5537	19.8
21	12/13/2014	15:42:23	5537	20.0	5537	19.8
22	12/13/2014	15:42:24	5537	20.0	5537	19.8
23	12/13/2014	15:42:25	5537	20.0	5537	19.8
24	12/13/2014	15:42:26	5537	20.0	5537	19.8
25	12/13/2014	15:42:27	5537	20.0	5537	19.8
26	12/13/2014	15:42:28	5537	20.0	5537	19.8
27	12/13/2014	15:42:29	5537	20.0	5537	19.8
28	12/13/2014	15:42:30	5537	20.0	5537	19.8
29	12/13/2014	15:42:31	5537	20.0	5537	19.8
30	12/13/2014	15:42:32	5537	20.0	5537	19.8
31	12/13/2014	15:42:33	5537	20.0	5537	19.8
32	12/13/2014	15:42:34	5537	20.0	5537	19.8
33	12/13/2014	15:42:35	5537	20.0	5537	19.8
34	12/13/2014	15:42:36	5537	20.0	5537	19.8
35	12/13/2014	15:42:37	5537	20.0	5537	19.8
36	12/13/2014	15:42:38	5537	20.0	5537	19.8
37	12/13/2014	15:42:39	5537	20.0	5537	19.8
38	12/13/2014	15:42:40	5537	20.0	5537	19.8
39	12/13/2014	15:42:41	5537	20.0	5537	19.8
40	12/13/2014	15:42:42	5537	20.0	5537	19.8
41	12/13/2014	15:42:43	5537	20.0	5537	19.8
42	12/13/2014	15:42:44	5537	20.0	5537	19.8
43	12/13/2014	15:42:45	5537	20.0	5537	19.8
44	12/13/2014	15:42:46	5537	20.0	5537	19.8
45	12/13/2014	15:42:47	5537	20.0	5537	19.8
46	12/13/2014	15:42:48	5537	20.0	5537	19.8
47	12/13/2014	15:42:49	5537	20.0	5537	19.8
48	12/13/2014	15:42:50	5537	20.0	5537	19.8
49	12/13/2014	15:42:51	5537	20.0	5537	19.8
50	12/13/2014	15:42:52	5537	20.0	5537	19.8
51	12/13/2014	15:42:53	5537	20.0	5537	19.8
52	12/13/2014	15:42:54	5537	20.0	5537	19.8
53	12/13/2014	15:42:55	5537	20.0	5537	19.8
54	12/13/2014	15:42:56	5537	20.0	5537	19.8
55	12/13/2014	15:42:57	5537	20.0	5537	19.8
56	12/13/2014	15:42:58	5537	20.0	5537	19.8
57	12/13/2014	15:42:59	5537	20.0	5537	19.8
58	12/13/2014	15:43:00	5537	20.0	5537	19.8
59	12/13/2014	15:43:01	5537	20.0	5537	19.8
60	12/13/2014	15:43:02	5537	20.0	5537	19.8
61	12/13/2014	15:43:03	5537	20.0	5537	19.8
62	12/13/2014	15:43:04	5537	20.0	5537	19.8
63	12/13/2014	15:43:05	5537	20.0	5537	19.8
64	12/13/2014	15:43:06	5537	20.0	5537	19.8
65	12/13/2014	15:43:07	5537	20.0	5537	19.8
66	12/13/2014	15:43:08	5537	20.0	5537	19.8
67	12/13/2014	15:43:09	5537	20.0	5537	19.8
68	12/13/2014	15:43:10	5537	20.0	5537	19.8
69	12/13/2014	15:43:11	5537	20.0	5537	19.8
70	12/13/2014	15:43:12	5537	20.0	5537	19.8
71	12/13/2014	15:43:13	5537	20.0	5537	19.8
72	12/13/2014	15:43:14	5537	20.0	5537	19.8
73	12/13/2014	15:43:15	5537	20.0	5537	19.8
74	12/13/2014	15:43:16	5537	20.0	5537	19.8
75	12/13/2014	15:43:17	5537	20.0	5537	19.8
76	12/13/2014	15:43:18	5537	20.0	5537	19.8
77	12/13/2014	15:43:19	5537	20.0	5537	19.8
78	12/13/2014	15:43:20	5537	20.0	5537	19.8
79	12/13/2014	15:43:21	5537	20.0	5537	19.8
80	12/13/2014	15:43:22	5537	20.0	5537	19.8
81	12/13/2014	15:43:24	5537	20.0	5537	19.8
82	12/13/2014	15:43:25	5537	20.0	5537	19.8
83	12/13/2014	15:43:26	5537	20.0	5537	19.8
84	12/13/2014	15:43:27	5537	20.0	5537	19.8
85	12/13/2014	15:43:28	5537	20.0	5537	19.8
86	12/13/2014	15:43:29	5537	20.0	5537	19.8
87	12/13/2014	15:43:30	5537	20.0	5537	19.8
88	12/13/2014	15:43:31	5537	20.0	5537	19.8
89	12/13/2014	15:43:32	5537	20.0	5537	19.8
90	12/13/2014	15:43:33	5537	20.0	5537	19.8
91	12/13/2014	15:43:34	5537	20.0	5537	19.8
92	12/13/2014	15:43:35	5537	20.0	5537	19.8
93	12/13/2014	15:43:36	5537	20.0	5537	19.8
94	12/13/2014	15:43:37	5537	20.0	5537	19.8
95	12/13/2014	15:43:38	5537	20.0	5537	19.8
96	12/13/2014	15:43:39	5537	20.0	5537	19.8
97	12/13/2014	15:43:40	5537	20.0	5537	19.8
98	12/13/2014	15:43:41	5537	20.0	5537	19.8
99	12/13/2014	15:43:42	5537	20.0	5537	19.8
100	12/13/2014	15:43:43	5537	20.0	5537	19.8
101	12/13/2014	15:43:44	5537	20.0	5537	19.8
102	12/13/2014	15:43:45	5537	20.0	5537	19.8
103	12/13/2014	15:43:46	5537	20.0	5537	19.8
104	12/13/2014	15:43:47	5537	20.0	5537	19.8
105	12/13/2014	15:43:48	5537	20.0	5537	19.8
106	12/13/2014	15:43:49	5537	20.0	5537	19.8
107	12/13/2014	15:43:50	5537	20.0	5537	19.8
108	12/13/2014	15:43:51	5537	20.0	5537	19.8
109	12/13/2014	15:43:52	5537	20.0	5537	19.8
110	12/13/2014	15:43:53	5537	20.0	5537	19.8
111	12/13/2014	15:43:54	5537	20.0	5537	19.8
112	12/13/2014	15:43:55	5537	20.0	5537	19.8
113	12/13/2014	15:43:56	5537	20.0	5537	19.8
114	12/13/2014	15:43:57	5537	20.0	5537	19.8
115	12/13/2014	15:43:58	5537	20.0	5537	19.8
116	12/13/2014	15:43:59	5537	20.0	5537	19.8
117	12/13/2014	15:44:00	5537	20.0	5537	19.8
118	12/13/2014	15:44:01	5537	20.0	5537	19.8
119	12/13/2014	15:44:02	5537	20.0	5537	19.8
120	12/13/2014	15:44:03	5537	20.0	5537	19.8
121	12/13/2014	15:44:04	5537	20.0	5537	19.8
122	12/13/2014	15:44:05	5537	20.0	5537	19.8
123	12/13/2014	15:44:06	5537	20.0	5537	19.8
124	12/13/2014	15:44:07	5537	20.0	5537	19.8
125	12/13/2014	15:44:08	5537	20.0	5537	19.8
126	12/13/2014	15:44:09	5537	20.0	5537	19.8
127	12/13/2014	15:44:10	5537	20.0	5537	19.8
128	12/13/2014	15:44:11	5537	20.0	5537	19.8
129	12/13/2014	15:44:12	5537	20.0	5537	19.8
130	12/13/2014	15:44:13	5537	20.0	5537	19.8
131	12/13/2014	15:44:14	5537	20.0	5537	19.8
132	12/13/2014	15:44:15	5537	20.0	5537	19.8
133	12/13/2014	15:44:16	5537	20.0	5537	19.8
134	12/13/2014	15:44:17	5537	20.0	5537	19.8
135	12/13/2014	15:44:18	5537	20.0	5537	19.8
136	12/13/2014	15:44:19	5537	20.0	5537	19.8
137	12/13/2014	15:44:20	5537	20.0	5537	19.8
138	12/13/2014	15:44:21	5537	20.0	5537	19.8
139	12/13/2014	15:44:22	5537	20.0	5537	19.8
140	12/13/2014	15:44:23	5537	20.0	5537	19.8
141	12/13/2014	15:44:24	5537	20.0	5537	19.8
142	12/13/2014	15:44:25	-18	-17.8	5537	19.8
143	12/13/2014	15:44:26	-18	-17.8	5537	19.8
144	12/13/2014	15:44:27	-18	-17.8	5537	19.8
145	12/13/2014	15:44:28	-18	-17.8	5537	19.8
146	12/13/2014	15:44:29	-18	-17.8	5537	19.8
147	12/13/2014	15:44:30	-18	-17.8	5537	19.8
148	12/13/2014	15:44:31	-18	-17.8	5537	19.8
149	12/13/2014	15:44:32	-18	-17.8	5537	19.8
150	12/13/2014	15:44:33	-18	-17.8	5537	19.8
151	12/13/2014	15:44:34	-18	-17.8	5537	19.8
152	12/13/2014	15:44:35	-18	-17.8	5537	19.8
153	12/13/2014	15:44:37	-18	-17.8	5537	19.8
154	12/13/2014	15:44:38	-18	-17.8	5537	19.8
155	12/13/2014	15:44:39	-18	-17.8	5537	19.8
156	12/13/2014	15:44:40	-18	-17.8	5537	19.8
157	12/13/2014	15:44:41	-18	-17.8	5537	19.8
158	12/13/2014	15:44:42	5537	20.0	5537	19.8
159	12/13/2014	15:44:43	5537	20.0	5537	19.8
160	12/13/2014	15:44:44	5537	20.0	5537	19.8
161	12/13/2014	15:44:45	5537	20.0	5537	19.8
162	12/13/2014	15:44:46	5537	20.0	5537	19.8
163	12/13/2014	15:44:47	5537	20.0	5537	19.8
164	12/13/2014	15:44:48	5537	20.0	5537	19.8
165	12/13/2014	15:44:49	5537	20.0	5537	19.8
166	12/13/2014	15:44:50	5537	20.0	5537	19.8
167	12/13/2014	15:44:51	5537	20.0	5537	19.8
168	12/13/2014	15:44:52	5537	20.0	5537	19.8
169	12/13/2014	15:44:53	5537	20.0	5537	19.8
170	12/13/2014	15:44:54	5537	20.0	5537	19.8
171	12/13/2014	15:44:55	5537	20.0	5537	19.8
172	12/13/2014	15:44:56	5537	20.0	5537	19.8
173	12/13/2014	15:44:57	5537	20.0	5537	19.8
174	12/13/2014	15:44:58	5537	20.0	5537	19.8
175	12/13/2014	15:44:59	5537	20.0	5537	19.8
176	12/13/2014	15:45:00	5537	20.0	5537	19.8
177	12/13/2014	15:45:01	5537	20.0	5537	19.8
178	12/13/2014	15:45:02	5537	20.0	5537	19.8
179	12/13/2014	15:45:03	5537	20.0	5537	19.8
