Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
0	01/21/2016	16:44:46	37	19.3	0.00	0.0
1	01/21/2016	16:44:47	37	19.3	0.00	0.0
2	01/21/2016	16:44:48	37	19.3	0.00	0.0
3	01/21/2016	16:44:49	37	19.3	0.00	0.0
4	01/21/2016	16:44:50	37	19.3	0.00	0.0
5	01/21/2016	16:44:51	37	19.3	0.00	0.0
6	01/21/2016	16:44:52	37	19.3	0.00	0.0
7	01/21/2016	16:44:53	37	19.3	0.00	0.0
8	01/21/2016	16:44:54	37	19.3	0.00	0.0
9	01/21/2016	16:44:55	37	19.3	0.00	0.0
10	01/21/2016	16:44:56	37	19.3	0.00	0.0
11	01/21/2016	16:44:57	37	19.3	0.00	0.0
12	01/21/2016	16:44:58	37	19.3	0.00	0.0
13	01/21/2016	16:44:59	37	19.3	0.00	0.0
14	01/21/2016	16:45:00	37	19.3	0.00	0.0
15	01/21/2016	16:45:01	37	19.3	0.00	0.0
16	01/21/2016	16:45:02	37	19.3	0.00	0.0
17	01/21/2016	16:45:03	37	19.3	0.00	0.0
18	01/21/2016	16:45:04	37	19.3	0.00	0.0
19	01/21/2016	16:45:05	37	19.3	0.00	0.0
20	01/21/2016	16:45:06	37	19.3	0.00	0.0
21	01/21/2016	16:45:07	37	19.3	0.00	0.0
22	01/21/2016	16:45:08	37	19.3	0.00	0.0
23	01/21/2016	16:45:09	37	19.3	0.00	0.0
24	01/21/2016	16:45:10	37	19.3	0.00	0.0
25	01/21/2016	16:45:11	37	19.3	0.00	0.0
26	01/21/2016	16:45:12	37	19.3	0.00	0.0
27	01/21/2016	16:45:13	37	19.3	0.00	0.0
28	01/21/2016	16:45:14	37	19.3	0.00	0.0
29	01/21/2016	16:45:15	37	19.3	0.00	0.0
30	01/21/2016	16:45:16	37	19.3	0.00	0.0
31	01/21/2016	16:45:17	37	19.3	0.00	0.0
32	01/21/2016	16:45:18	37	19.3	0.00	0.0
33	01/21/2016	16:45:19	37	19.3	0.00	0.0
34	01/21/2016	16:45:20	37	19.3	0.00	0.0
35	01/21/2016	16:45:21	37	19.3	0.00	0.0
36	01/21/2016	16:45:22	37	19.3	0.00	0.0
37	01/21/2016	16:45:24	37	19.3	0.00	0.0
38	01/21/2016	16:45:25	37	19.3	0.00	0.0
39	01/21/2016	16:45:26	37	19.3	0.00	0.0
40	01/21/2016	16:45:27	37	19.3	0.00	0.0
41	01/21/2016	16:45:28	37	19.3	0.00	0.0
42	01/21/2016	16:45:29	37	19.3	0.00	0.0
43	01/21/2016	16:45:30	37	19.3	0.00	0.0
44	01/21/2016	16:45:31	37	19.3	0.00	0.0
45	01/21/2016	16:45:32	37	19.3	0.00	0.0
46	01/21/2016	16:45:33	37	19.3	0.00	0.0
